1,木谷 賢太,木谷 賢太.1,2,永松 良教,永松 良教.1,3,佐藤 右京,佐藤 右京.1,4,高山 敬悟,高山 敬悟.1,5,原田　才一郎,原田　才一郎.1,6,中野 仁照,中野 仁照.1
2.0,3.0,66.4,1.0,3.0,377.6,1.0,2.0,308.4,1.0,2.0,490.1,1.0,2.0,30.5,1.0,2.0,150.4
2.0,4.0,125.1,1.0,4.0,539.1,1.0,4.0,385.6,1.0,3.0,609.0,1.0,3.0,29.6,1.0,3.0,171.7
2.0,5.0,25.5,1.0,5.0,175.7,1.0,5.0,101.5,1.0,5.0,241.6,1.0,4.0,46.2,1.0,4.0,210.5
2.0,6.0,50.6,1.0,6.0,317.1,1.0,6.0,161.5,1.0,6.0,326.0,1.0,6.0,10.5,1.0,5.0,46.1
3.0,2.0,62.6,3.0,1.0,583.4,2.0,1.0,548.2,2.0,1.0,782.6,2.0,1.0,97.2,2.0,1.0,356.7
3.0,4.0,98.8,3.0,4.0,871.6,2.0,4.0,609.0,2.0,3.0,933.1,2.0,3.0,207.5,2.0,3.0,651.3
3.0,5.0,21.1,3.0,5.0,588.1,2.0,5.0,467.3,2.0,5.0,699.8,2.0,4.0,235.5,2.0,4.0,648.4
3.0,6.0,40.4,3.0,6.0,788.9,2.0,6.0,639.8,2.0,6.0,797.6,2.0,6.0,101.1,2.0,5.0,281.8
4.0,2.0,150.2,4.0,1.0,1032.0,4.0,1.0,641.2,3.0,1.0,750.3,3.0,1.0,72.3,3.0,1.0,358.5
4.0,3.0,161.5,4.0,3.0,1271.0,4.0,2.0,791.1,3.0,2.0,976.9,3.0,2.0,206.1,3.0,2.0,660.1
4.0,5.0,69.8,4.0,5.0,921.3,4.0,5.0,386.1,3.0,5.0,460.6,3.0,4.0,206.6,3.0,4.0,364.8
4.0,6.0,117.2,4.0,6.0,848.7,4.0,6.0,245.6,3.0,6.0,258.3,3.0,6.0,70.6,3.0,5.0,234.9
5.0,2.0,15.1,5.0,1.0,235.1,5.0,1.0,110.0,5.0,1.0,260.1,4.0,1.0,119.0,4.0,1.0,420.7
5.0,3.0,14.5,5.0,3.0,532.2,5.0,2.0,313.3,5.0,2.0,501.0,4.0,2.0,243.4,4.0,2.0,735.1
5.0,4.0,37.5,5.0,4.0,748.4,5.0,4.0,294.9,5.0,3.0,459.9,4.0,3.0,245.4,4.0,3.0,393.4
5.0,6.0,7.0,5.0,6.0,319.5,5.0,6.0,111.2,5.0,6.0,182.0,4.0,6.0,90.3,4.0,5.0,253.3
6.0,2.0,55.9,6.0,1.0,551.3,6.0,1.0,289.6,6.0,1.0,449.9,6.0,1.0,13.4,5.0,1.0,43.0
6.0,3.0,52.8,6.0,3.0,853.7,6.0,2.0,560.9,6.0,2.0,646.9,6.0,2.0,45.5,5.0,2.0,128.0
6.0,4.0,104.9,6.0,4.0,945.2,6.0,4.0,302.0,6.0,3.0,337.3,6.0,3.0,41.7,5.0,3.0,129.9
6.0,5.0,15.9,6.0,5.0,440.4,6.0,5.0,186.0,6.0,5.0,231.2,6.0,4.0,43.2,5.0,4.0,117.1
