1,長尾　京志郎,長尾　京志郎.1,2,山谷 央,山谷 央.1,3,福田 理,福田 理.1,4,松崎　祐太郎,松崎　祐太郎.1,5,林 祐介,林 祐介.1,6,植竹 玲奈,植竹 玲奈.1
2.0,3.0,45.9,1.0,3.0,81.0,1.0,2.0,257.4,1.0,2.0,19.5,1.0,2.0,123.0,1.0,2.0,2461.0
2.0,4.0,12.6,1.0,4.0,25.7,1.0,4.0,152.2,1.0,3.0,54.2,1.0,3.0,212.5,1.0,3.0,3480.0
2.0,5.0,23.5,1.0,5.0,38.9,1.0,5.0,211.6,1.0,5.0,16.5,1.0,4.0,68.6,1.0,4.0,3882.0
2.0,6.0,655.4,1.0,6.0,848.2,1.0,6.0,1577.0,1.0,6.0,296.8,1.0,6.0,770.5,1.0,5.0,4037.0
3.0,2.0,65.3,3.0,1.0,159.9,2.0,1.0,295.1,2.0,1.0,30.2,2.0,1.0,146.0,2.0,1.0,3738.0
3.0,4.0,41.3,3.0,4.0,69.5,2.0,4.0,125.5,2.0,3.0,56.2,2.0,3.0,229.4,2.0,3.0,3604.0
3.0,5.0,70.9,3.0,5.0,112.4,2.0,5.0,199.0,2.0,5.0,16.1,2.0,4.0,77.6,2.0,4.0,2194.0
3.0,6.0,848.2,3.0,6.0,1261.0,2.0,6.0,1941.0,2.0,6.0,327.7,2.0,6.0,893.2,2.0,5.0,4588.0
4.0,2.0,15.4,4.0,1.0,27.8,4.0,1.0,154.1,3.0,1.0,113.0,3.0,1.0,413.6,3.0,1.0,5046.0
4.0,3.0,27.7,4.0,3.0,44.1,4.0,2.0,122.0,3.0,2.0,98.1,3.0,2.0,531.2,3.0,2.0,4388.0
4.0,5.0,17.2,4.0,5.0,21.8,4.0,5.0,118.1,3.0,5.0,74.9,3.0,4.0,268.4,3.0,4.0,5607.0
4.0,6.0,478.3,4.0,6.0,485.2,4.0,6.0,1552.0,3.0,6.0,1062.0,3.0,6.0,1904.0,3.0,5.0,5312.0
5.0,2.0,46.2,5.0,1.0,78.1,5.0,1.0,323.5,5.0,1.0,15.9,4.0,1.0,52.0,4.0,1.0,3882.0
5.0,3.0,93.6,5.0,3.0,126.9,5.0,2.0,342.1,5.0,2.0,13.9,4.0,2.0,47.7,4.0,2.0,2243.0
5.0,4.0,30.6,5.0,4.0,47.1,5.0,4.0,216.1,5.0,3.0,43.0,4.0,3.0,124.9,4.0,3.0,2968.0
5.0,6.0,604.4,5.0,6.0,834.2,5.0,6.0,1979.0,5.0,6.0,123.5,4.0,6.0,258.8,4.0,5.0,2194.0
6.0,2.0,1009.0,6.0,1.0,1441.0,6.0,1.0,2059.0,6.0,1.0,770.5,6.0,1.0,2656.0,5.0,1.0,3058.0
6.0,3.0,1160.0,6.0,3.0,2968.0,6.0,2.0,3154.0,6.0,2.0,855.4,6.0,2.0,2523.0,5.0,2.0,4205.0
6.0,4.0,1246.0,6.0,4.0,1628.0,6.0,4.0,4205.0,6.0,3.0,1577.0,6.0,3.0,3882.0,5.0,3.0,5312.0
6.0,5.0,2656.0,6.0,5.0,2403.0,6.0,5.0,3154.0,6.0,5.0,647.0,6.0,4.0,1484.0,5.0,4.0,1654.0
