1,前田 将太,前田 将太.1,2,溝口　海義也,溝口　海義也.1,3,國弘 翔平,國弘 翔平.1,4,水摩 敦,水摩 敦.1,5,藤森 拓海,藤森 拓海.1,6,齊藤 廉,齊藤 廉.1
2.0,3.0,7.7,1.0,3.0,46.7,1.0,2.0,197.1,1.0,2.0,40.0,1.0,2.0,941.7,1.0,2.0,242.3
2.0,4.0,2.8,1.0,4.0,18.4,1.0,4.0,203.6,1.0,3.0,153.8,1.0,3.0,1087.0,1.0,3.0,598.6
2.0,5.0,41.5,1.0,5.0,146.3,1.0,5.0,368.9,1.0,5.0,144.5,1.0,4.0,919.7,1.0,4.0,295.9
2.0,6.0,16.6,1.0,6.0,79.3,1.0,6.0,588.5,1.0,6.0,99.8,1.0,6.0,1095.0,1.0,5.0,906.5
3.0,2.0,19.7,3.0,1.0,193.0,2.0,1.0,341.4,2.0,1.0,61.8,2.0,1.0,1130.0,2.0,1.0,391.8
3.0,4.0,21.4,3.0,4.0,252.1,2.0,4.0,460.5,2.0,3.0,271.9,2.0,3.0,2842.0,2.0,3.0,1069.0
3.0,5.0,108.6,3.0,5.0,1048.0,2.0,5.0,1427.0,2.0,5.0,288.6,2.0,4.0,1714.0,2.0,4.0,546.7
3.0,6.0,77.4,3.0,6.0,792.6,2.0,6.0,1421.0,2.0,6.0,157.1,2.0,6.0,2302.0,2.0,5.0,1733.0
4.0,2.0,6.4,4.0,1.0,52.2,4.0,1.0,368.9,3.0,1.0,351.3,3.0,1.0,1440.0,3.0,1.0,1577.0
4.0,3.0,19.2,4.0,3.0,182.8,4.0,2.0,508.0,3.0,2.0,455.8,3.0,2.0,3092.0,3.0,2.0,2302.0
4.0,5.0,50.9,4.0,5.0,477.9,4.0,5.0,1246.0,3.0,5.0,1194.0,3.0,4.0,3186.0,3.0,4.0,2544.0
4.0,6.0,27.2,4.0,6.0,235.2,4.0,6.0,1164.0,3.0,6.0,693.3,3.0,6.0,2696.0,3.0,5.0,3668.0
5.0,2.0,197.7,5.0,1.0,878.7,5.0,1.0,876.3,5.0,1.0,315.1,4.0,1.0,1159.0,4.0,1.0,506.3
5.0,3.0,264.8,5.0,3.0,1696.0,5.0,2.0,2175.0,5.0,2.0,439.3,4.0,2.0,1433.0,4.0,2.0,638.6
5.0,4.0,219.9,5.0,4.0,1232.0,5.0,4.0,1122.0,5.0,3.0,941.7,4.0,3.0,2696.0,4.0,3.0,1554.0
5.0,6.0,259.8,5.0,6.0,1705.0,5.0,6.0,2206.0,5.0,6.0,412.9,4.0,6.0,1447.0,4.0,5.0,1696.0
6.0,2.0,54.2,6.0,1.0,359.7,6.0,1.0,1440.0,6.0,1.0,204.8,6.0,1.0,2009.0,5.0,1.0,2336.0
6.0,3.0,142.0,6.0,3.0,1213.0,6.0,2.0,1996.0,6.0,2.0,268.7,6.0,2.0,2719.0,5.0,2.0,2696.0
6.0,4.0,75.0,6.0,4.0,545.8,6.0,4.0,1823.0,6.0,3.0,690.3,6.0,3.0,3943.0,5.0,3.0,3668.0
6.0,5.0,251.1,6.0,5.0,1802.0,6.0,5.0,3092.0,6.0,5.0,475.1,6.0,4.0,2117.0,5.0,4.0,2445.0
