1,作間 章,作間 章.1,2,松本 庸平,松本 庸平.1,3,馬野 耀,馬野 耀.1,4,犬童 千秋,犬童 千秋.1,5,畔柳 俊吾,畔柳 俊吾.1,6,渡辺 真至,渡辺 真至.1
2.0,3.0,29.0,1.0,3.0,82.1,1.0,2.0,36.0,1.0,2.0,249.0,1.0,2.0,263.9,1.0,2.0,550.2
2.0,4.0,56.4,1.0,4.0,188.8,1.0,4.0,18.1,1.0,3.0,104.9,1.0,3.0,101.3,1.0,3.0,275.1
2.0,5.0,61.2,1.0,5.0,177.8,1.0,5.0,15.9,1.0,5.0,181.3,1.0,4.0,291.7,1.0,4.0,462.8
2.0,6.0,66.7,1.0,6.0,175.2,1.0,6.0,14.7,1.0,6.0,145.0,1.0,6.0,150.8,1.0,5.0,507.1
3.0,2.0,18.8,3.0,1.0,132.2,2.0,1.0,82.9,2.0,1.0,432.0,2.0,1.0,600.6,2.0,1.0,964.9
3.0,4.0,10.7,3.0,4.0,325.4,2.0,4.0,174.3,2.0,3.0,556.6,2.0,3.0,693.4,2.0,3.0,1148.0
3.0,5.0,10.3,3.0,5.0,286.6,2.0,5.0,134.9,2.0,5.0,724.0,2.0,4.0,1352.0,2.0,4.0,1600.0
3.0,6.0,11.5,3.0,6.0,251.7,2.0,6.0,114.3,2.0,6.0,617.5,2.0,6.0,848.0,2.0,5.0,1595.0
4.0,2.0,65.2,4.0,1.0,425.7,4.0,1.0,32.8,3.0,1.0,105.4,3.0,1.0,134.8,3.0,1.0,306.0
4.0,3.0,25.9,4.0,3.0,405.0,4.0,2.0,103.8,3.0,2.0,308.2,3.0,2.0,437.8,3.0,2.0,895.7
4.0,5.0,59.7,4.0,5.0,738.2,4.0,5.0,46.0,3.0,5.0,163.1,3.0,4.0,312.6,3.0,4.0,437.0
4.0,6.0,47.1,4.0,6.0,698.0,4.0,6.0,38.1,3.0,6.0,126.6,3.0,6.0,145.4,3.0,5.0,441.4
5.0,2.0,76.7,5.0,1.0,505.7,5.0,1.0,39.0,5.0,1.0,292.7,4.0,1.0,531.3,4.0,1.0,641.7
5.0,3.0,29.9,5.0,3.0,583.2,5.0,2.0,134.0,5.0,2.0,664.4,4.0,2.0,1182.0,4.0,2.0,1426.0
5.0,4.0,81.6,5.0,4.0,1296.0,5.0,4.0,62.3,5.0,3.0,307.8,4.0,3.0,505.7,4.0,3.0,565.6
5.0,6.0,49.7,5.0,6.0,930.7,5.0,6.0,41.1,5.0,6.0,264.3,4.0,6.0,500.8,4.0,5.0,874.8
6.0,2.0,136.3,6.0,1.0,627.1,6.0,1.0,56.0,6.0,1.0,270.4,6.0,1.0,343.0,5.0,1.0,767.4
6.0,3.0,48.1,6.0,3.0,820.1,6.0,2.0,169.6,6.0,2.0,686.1,6.0,2.0,664.4,5.0,2.0,1645.0
6.0,4.0,94.2,6.0,4.0,1286.0,6.0,4.0,82.5,6.0,3.0,282.2,6.0,3.0,337.7,5.0,3.0,611.8
6.0,5.0,95.1,6.0,5.0,897.3,6.0,5.0,73.3,6.0,5.0,376.8,6.0,4.0,621.2,5.0,4.0,954.4
