1,谷村 一哉,谷村 一哉.1,2,待鳥 雄紀,待鳥 雄紀.1,3,清水 攻二,清水 攻二.1,4,松尾 怜実,松尾 怜実.1,5,岸本 隆,岸本 隆.1,6,金山 立樹,金山 立樹.1
2.0,3.0,4.0,1.0,3.0,31.0,1.0,2.0,79.5,1.0,2.0,752.9,1.0,2.0,85.5,1.0,2.0,522.9
2.0,4.0,23.9,1.0,4.0,111.8,1.0,4.0,269.7,1.0,3.0,1031.0,1.0,3.0,109.6,1.0,3.0,819.6
2.0,5.0,7.3,1.0,5.0,43.0,1.0,5.0,109.6,1.0,5.0,801.8,1.0,4.0,452.1,1.0,4.0,1958.0
2.0,6.0,12.0,1.0,6.0,74.3,1.0,6.0,234.5,1.0,6.0,768.5,1.0,6.0,116.8,1.0,5.0,502.2
3.0,2.0,8.3,3.0,1.0,102.1,2.0,1.0,133.7,2.0,1.0,938.5,2.0,1.0,159.4,2.0,1.0,806.6
3.0,4.0,29.9,3.0,4.0,552.7,2.0,4.0,885.5,2.0,3.0,2275.0,2.0,3.0,263.9,2.0,3.0,1399.0
3.0,5.0,11.6,3.0,5.0,217.1,2.0,5.0,349.0,2.0,5.0,1877.0,2.0,4.0,1170.0,2.0,4.0,2973.0
3.0,6.0,21.1,3.0,6.0,363.0,2.0,6.0,513.6,2.0,6.0,1322.0,2.0,6.0,293.0,2.0,5.0,1144.0
4.0,2.0,56.5,4.0,1.0,555.7,4.0,1.0,1028.0,3.0,1.0,1987.0,3.0,1.0,322.0,3.0,1.0,1834.0
4.0,3.0,64.9,4.0,3.0,1180.0,4.0,2.0,2046.0,3.0,2.0,2733.0,3.0,2.0,422.1,3.0,2.0,2951.0
4.0,5.0,82.8,4.0,5.0,1116.0,4.0,5.0,1305.0,3.0,5.0,3062.0,3.0,4.0,1851.0,3.0,4.0,4114.0
4.0,6.0,86.6,4.0,6.0,1134.0,4.0,6.0,2078.0,3.0,6.0,3954.0,3.0,6.0,594.6,3.0,5.0,2771.0
5.0,2.0,16.9,5.0,1.0,181.6,5.0,1.0,359.5,5.0,1.0,1047.0,4.0,1.0,967.5,4.0,1.0,2662.0
5.0,3.0,21.1,5.0,3.0,314.7,5.0,2.0,529.0,5.0,2.0,1622.0,4.0,2.0,1851.0,4.0,2.0,3511.0
5.0,4.0,78.5,5.0,4.0,889.4,5.0,4.0,1554.0,5.0,3.0,1977.0,4.0,3.0,1755.0,4.0,3.0,4967.0
5.0,6.0,27.2,5.0,6.0,395.0,5.0,6.0,748.7,5.0,6.0,1301.0,4.0,6.0,1385.0,4.0,5.0,3669.0
6.0,2.0,50.0,6.0,1.0,441.8,6.0,1.0,974.5,6.0,1.0,1655.0,6.0,1.0,244.3,5.0,1.0,577.7
6.0,3.0,65.0,6.0,3.0,889.4,6.0,2.0,1525.0,6.0,2.0,2006.0,6.0,2.0,382.4,5.0,2.0,956.2
6.0,4.0,149.2,6.0,4.0,1514.0,6.0,4.0,2973.0,6.0,3.0,3285.0,6.0,3.0,467.6,5.0,3.0,1249.0
6.0,5.0,61.5,6.0,5.0,697.5,6.0,5.0,1044.0,6.0,5.0,1877.0,6.0,4.0,1137.0,5.0,4.0,2715.0
