1,岡崎 恭裕,岡崎 恭裕.1,2,森 晋太郎,森 晋太郎.1,3,中山 雄太,中山 雄太.1,4,岡部 大輔,岡部 大輔.1,5,宮武 英司,宮武 英司.1,6,福島 勇樹,福島 勇樹.1
2.0,3.0,10.8,1.0,3.0,88.4,1.0,2.0,42.1,1.0,2.0,121.8,1.0,2.0,878.5,1.0,2.0,1210.0
2.0,4.0,18.9,1.0,4.0,115.2,1.0,4.0,18.6,1.0,3.0,65.8,1.0,3.0,485.0,1.0,3.0,721.8
2.0,5.0,43.0,1.0,5.0,221.8,1.0,5.0,29.0,1.0,5.0,100.5,1.0,4.0,665.5,1.0,4.0,1138.0
2.0,6.0,53.7,1.0,6.0,248.9,1.0,6.0,51.0,1.0,6.0,118.7,1.0,6.0,977.2,1.0,5.0,1905.0
3.0,2.0,7.6,3.0,1.0,163.7,2.0,1.0,120.4,2.0,1.0,270.3,2.0,1.0,1406.0,2.0,1.0,1852.0
3.0,4.0,5.2,3.0,4.0,308.1,2.0,4.0,195.1,2.0,3.0,451.7,2.0,3.0,1590.0,2.0,3.0,1837.0
3.0,5.0,10.2,3.0,5.0,493.3,2.0,5.0,264.6,2.0,5.0,552.3,2.0,4.0,2353.0,2.0,4.0,2975.0
3.0,6.0,19.0,3.0,6.0,535.0,2.0,6.0,338.1,2.0,6.0,632.7,2.0,6.0,2666.0,2.0,5.0,4755.0
4.0,2.0,22.9,4.0,1.0,262.6,4.0,1.0,43.6,3.0,1.0,102.1,3.0,1.0,595.9,3.0,1.0,817.8
4.0,3.0,13.4,4.0,3.0,398.3,4.0,2.0,143.2,3.0,2.0,310.1,3.0,2.0,1250.0,3.0,2.0,1635.0
4.0,5.0,34.8,4.0,5.0,793.8,4.0,5.0,69.7,3.0,5.0,178.1,3.0,4.0,1127.0,3.0,4.0,1747.0
4.0,6.0,40.7,4.0,6.0,804.9,4.0,6.0,103.0,3.0,6.0,192.2,3.0,6.0,1517.0,3.0,5.0,2729.0
5.0,2.0,92.5,5.0,1.0,770.0,5.0,1.0,113.1,5.0,1.0,217.8,4.0,1.0,831.0,4.0,1.0,1473.0
5.0,3.0,53.9,5.0,3.0,1045.0,5.0,2.0,275.2,5.0,2.0,488.0,4.0,2.0,2165.0,4.0,2.0,2847.0
5.0,4.0,85.7,5.0,4.0,1721.0,5.0,4.0,148.0,5.0,3.0,374.6,4.0,3.0,1302.0,4.0,3.0,2125.0
5.0,6.0,128.0,5.0,6.0,2050.0,5.0,6.0,232.4,5.0,6.0,336.1,4.0,6.0,1579.0,4.0,5.0,3181.0
6.0,2.0,149.4,6.0,1.0,895.6,6.0,1.0,202.0,6.0,1.0,331.1,6.0,1.0,1497.0,5.0,1.0,2453.0
6.0,3.0,84.4,6.0,3.0,1295.0,6.0,2.0,518.2,6.0,2.0,829.5,6.0,2.0,3603.0,5.0,2.0,4155.0
6.0,4.0,112.9,6.0,4.0,1671.0,6.0,4.0,289.3,6.0,3.0,488.6,6.0,3.0,2115.0,5.0,3.0,3575.0
6.0,5.0,192.7,6.0,5.0,2937.0,6.0,5.0,379.9,6.0,5.0,616.6,6.0,4.0,2239.0,5.0,4.0,3843.0
