1,冨田 秀幸,冨田 秀幸.1,2,宮本 夏樹,宮本 夏樹.1,3,秋元 哲,秋元 哲.1,4,池田　奈津美,池田　奈津美.1,5,前沢 丈史,前沢 丈史.1,6,眞田 英二,眞田 英二.1
2.0,3.0,31.6,1.0,3.0,38.0,1.0,2.0,28.1,1.0,2.0,162.6,1.0,2.0,171.7,1.0,2.0,1888.0
2.0,4.0,65.0,1.0,4.0,106.8,1.0,4.0,62.9,1.0,3.0,167.7,1.0,3.0,113.9,1.0,3.0,1231.0
2.0,5.0,54.4,1.0,5.0,57.0,1.0,5.0,19.5,1.0,5.0,270.2,1.0,4.0,366.8,1.0,4.0,2676.0
2.0,6.0,130.4,1.0,6.0,108.4,1.0,6.0,33.0,1.0,6.0,317.6,1.0,6.0,245.4,1.0,5.0,1709.0
3.0,2.0,29.0,3.0,1.0,36.0,2.0,1.0,27.9,2.0,1.0,257.9,2.0,1.0,181.3,2.0,1.0,2024.0
3.0,4.0,58.5,3.0,4.0,71.3,2.0,4.0,61.5,2.0,3.0,232.0,2.0,3.0,69.6,2.0,3.0,803.5
3.0,5.0,32.6,3.0,5.0,17.6,2.0,5.0,13.0,2.0,5.0,326.3,2.0,4.0,258.8,2.0,4.0,2107.0
3.0,6.0,74.3,3.0,6.0,38.4,2.0,6.0,35.6,2.0,6.0,416.4,2.0,6.0,139.3,2.0,5.0,1211.0
4.0,2.0,78.9,4.0,1.0,186.2,4.0,1.0,107.0,3.0,1.0,218.7,3.0,1.0,73.1,3.0,1.0,910.5
4.0,3.0,82.8,4.0,3.0,147.6,4.0,2.0,116.5,3.0,2.0,230.8,3.0,2.0,48.9,3.0,2.0,714.0
4.0,5.0,143.5,4.0,5.0,201.2,4.0,5.0,95.7,3.0,5.0,247.5,3.0,4.0,122.1,3.0,4.0,1853.0
4.0,6.0,222.0,4.0,6.0,277.5,4.0,6.0,146.6,3.0,6.0,442.8,3.0,6.0,56.3,3.0,5.0,490.8
5.0,2.0,91.1,5.0,1.0,82.1,5.0,1.0,19.0,5.0,1.0,504.5,4.0,1.0,517.2,4.0,1.0,3017.0
5.0,3.0,69.3,5.0,3.0,32.0,5.0,2.0,12.7,5.0,2.0,442.1,4.0,2.0,397.1,4.0,2.0,2987.0
5.0,4.0,178.7,5.0,4.0,150.4,5.0,4.0,49.4,5.0,3.0,359.9,4.0,3.0,295.3,4.0,3.0,2630.0
5.0,6.0,170.8,5.0,6.0,73.9,5.0,6.0,17.0,5.0,6.0,590.7,4.0,6.0,495.5,4.0,5.0,2279.0
6.0,2.0,436.5,6.0,1.0,390.5,6.0,1.0,84.5,6.0,1.0,1123.0,6.0,1.0,400.7,5.0,1.0,1594.0
6.0,3.0,327.7,6.0,3.0,151.1,6.0,2.0,80.9,6.0,2.0,946.9,6.0,2.0,255.1,5.0,2.0,1046.0
6.0,4.0,575.2,6.0,4.0,525.1,6.0,4.0,189.7,6.0,3.0,973.9,6.0,3.0,173.6,5.0,3.0,555.5
6.0,5.0,409.8,6.0,5.0,216.8,6.0,5.0,52.8,6.0,5.0,1095.0,6.0,4.0,523.4,5.0,4.0,1972.0
