1,大橋　栄里佳,大橋　栄里佳.1,2,刑部　亜里紗,刑部　亜里紗.1,3,筒井 美琴,筒井 美琴.1,4,岩崎 芳美,岩崎 芳美.1,5,鈴木 成美,鈴木 成美.1,6,赤澤 文香,赤澤 文香.1
2.0,3.0,72.4,1.0,3.0,85.4,1.0,2.0,635.8,1.0,2.0,15.2,1.0,2.0,291.8,1.0,2.0,1183.0
2.0,4.0,9.0,1.0,4.0,11.1,1.0,4.0,648.7,1.0,3.0,140.0,1.0,3.0,999.2,1.0,3.0,2263.0
2.0,5.0,47.6,1.0,5.0,40.0,1.0,5.0,907.3,1.0,5.0,31.3,1.0,4.0,244.1,1.0,4.0,920.3
2.0,6.0,73.1,1.0,6.0,59.6,1.0,6.0,1265.0,1.0,6.0,41.7,1.0,6.0,555.1,1.0,5.0,1849.0
3.0,2.0,187.2,3.0,1.0,160.5,2.0,1.0,582.8,2.0,1.0,14.7,2.0,1.0,307.0,2.0,1.0,1331.0
3.0,4.0,183.2,3.0,4.0,86.8,2.0,4.0,309.5,2.0,3.0,87.8,2.0,3.0,931.5,2.0,3.0,2389.0
3.0,5.0,400.7,3.0,5.0,171.1,2.0,5.0,653.1,2.0,5.0,21.7,2.0,4.0,194.6,2.0,4.0,548.8
3.0,6.0,551.1,3.0,6.0,285.8,2.0,6.0,1007.0,2.0,6.0,30.0,2.0,6.0,456.3,2.0,5.0,1520.0
4.0,2.0,9.1,4.0,1.0,10.6,4.0,1.0,645.4,3.0,1.0,368.4,3.0,1.0,1451.0,3.0,1.0,2635.0
4.0,3.0,78.4,4.0,3.0,45.5,4.0,2.0,344.4,3.0,2.0,265.8,3.0,2.0,1180.0,3.0,2.0,3053.0
4.0,5.0,31.5,4.0,5.0,15.8,4.0,5.0,838.1,3.0,5.0,508.8,3.0,4.0,1637.0,3.0,4.0,2360.0
4.0,6.0,34.8,4.0,6.0,23.8,4.0,6.0,1265.0,3.0,6.0,616.5,3.0,6.0,2690.0,3.0,5.0,3925.0
5.0,2.0,125.6,5.0,1.0,98.0,5.0,1.0,1473.0,5.0,1.0,39.7,4.0,1.0,199.2,4.0,1.0,772.5
5.0,3.0,407.9,5.0,3.0,251.1,5.0,2.0,1308.0,5.0,2.0,34.4,4.0,2.0,165.8,4.0,2.0,482.0
5.0,4.0,102.7,5.0,4.0,58.4,5.0,4.0,1398.0,5.0,3.0,262.2,4.0,3.0,834.5,4.0,3.0,2014.0
5.0,6.0,271.3,5.0,6.0,130.1,5.0,6.0,2514.0,5.0,6.0,49.3,4.0,6.0,241.9,4.0,5.0,721.7
6.0,2.0,302.4,6.0,1.0,259.5,6.0,1.0,2547.0,6.0,1.0,105.5,6.0,1.0,898.8,5.0,1.0,1983.0
6.0,3.0,884.3,6.0,3.0,598.3,6.0,2.0,1983.0,6.0,2.0,77.6,6.0,2.0,662.1,5.0,2.0,1551.0
6.0,4.0,221.0,6.0,4.0,127.4,6.0,4.0,2360.0,6.0,3.0,500.9,6.0,3.0,2198.0,5.0,3.0,3735.0
6.0,5.0,502.2,6.0,5.0,246.4,6.0,5.0,2870.0,6.0,5.0,97.2,6.0,4.0,488.2,5.0,4.0,874.3
