1,村越 篤,村越 篤.1,2,岡本 大,岡本 大.1,3,西尾 亮輔,西尾 亮輔.1,4,長岡 良也,長岡 良也.1,5,古澤 信二,古澤 信二.1,6,富永 修一,富永 修一.1
2.0,3.0,28.6,1.0,3.0,170.6,1.0,2.0,112.3,1.0,2.0,55.6,1.0,2.0,863.0,1.0,2.0,417.7
2.0,4.0,17.8,1.0,4.0,120.5,1.0,4.0,29.2,1.0,3.0,30.9,1.0,3.0,766.6,1.0,3.0,329.7
2.0,5.0,85.4,1.0,5.0,386.8,1.0,5.0,124.4,1.0,5.0,67.7,1.0,4.0,457.2,1.0,4.0,151.7
2.0,6.0,50.5,1.0,6.0,234.5,1.0,6.0,57.7,1.0,6.0,26.6,1.0,6.0,531.1,1.0,5.0,658.0
3.0,2.0,21.8,3.0,1.0,337.4,2.0,1.0,273.3,2.0,1.0,165.0,2.0,1.0,1161.0,2.0,1.0,889.7
3.0,4.0,7.5,3.0,4.0,444.4,2.0,4.0,281.8,2.0,3.0,305.8,2.0,3.0,1735.0,2.0,3.0,1648.0
3.0,5.0,46.4,3.0,5.0,1050.0,2.0,5.0,708.7,2.0,5.0,395.8,2.0,4.0,1406.0,2.0,4.0,871.1
3.0,6.0,20.7,3.0,6.0,805.5,2.0,6.0,453.6,2.0,6.0,238.2,2.0,6.0,1253.0,2.0,5.0,1877.0
4.0,2.0,11.1,4.0,1.0,223.5,4.0,1.0,39.8,3.0,1.0,50.9,3.0,1.0,1116.0,3.0,1.0,475.6
4.0,3.0,7.0,4.0,3.0,441.8,4.0,2.0,156.3,3.0,2.0,198.8,3.0,2.0,1924.0,3.0,2.0,1299.0
4.0,5.0,24.0,4.0,5.0,872.8,4.0,5.0,132.6,3.0,5.0,172.9,3.0,4.0,1038.0,3.0,4.0,409.2
4.0,6.0,9.4,4.0,6.0,430.2,4.0,6.0,58.4,3.0,6.0,68.3,3.0,6.0,1164.0,3.0,5.0,1455.0
5.0,2.0,165.8,5.0,1.0,912.6,5.0,1.0,401.0,5.0,1.0,138.6,4.0,1.0,488.3,4.0,1.0,192.3
5.0,3.0,134.0,5.0,3.0,1642.0,5.0,2.0,889.7,5.0,2.0,318.3,4.0,2.0,1008.0,4.0,2.0,624.1
5.0,4.0,101.1,5.0,4.0,1318.0,5.0,4.0,374.2,5.0,3.0,255.1,4.0,3.0,856.5,4.0,3.0,368.5
5.0,6.0,144.1,5.0,6.0,1533.0,5.0,6.0,426.7,5.0,6.0,133.4,4.0,6.0,456.3,4.0,5.0,585.2
6.0,2.0,88.0,6.0,1.0,629.2,6.0,1.0,191.8,6.0,1.0,57.7,6.0,1.0,755.3,5.0,1.0,966.3
6.0,3.0,60.9,6.0,3.0,1194.0,6.0,2.0,503.2,6.0,2.0,172.2,6.0,2.0,1284.0,5.0,2.0,1892.0
6.0,4.0,38.7,6.0,4.0,793.0,6.0,4.0,150.9,6.0,3.0,102.0,6.0,3.0,1033.0,5.0,3.0,1575.0
6.0,5.0,148.6,6.0,5.0,1488.0,6.0,5.0,419.3,6.0,5.0,138.2,6.0,4.0,605.2,5.0,4.0,733.6
