1,天野 友和,天野 友和.1,2,原田 幸哉,原田 幸哉.1,3,倉尾 大介,倉尾 大介.1,4,國崎 良春,國崎 良春.1,5,高野 心吾,高野 心吾.1,6,金田 大輔,金田 大輔.1
2.0,3.0,6.1,1.0,3.0,11.1,1.0,2.0,61.6,1.0,2.0,105.7,1.0,2.0,571.5,1.0,2.0,217.9
2.0,4.0,7.2,1.0,4.0,12.2,1.0,4.0,75.9,1.0,3.0,179.3,1.0,3.0,767.9,1.0,3.0,339.6
2.0,5.0,38.7,1.0,5.0,53.4,1.0,5.0,164.7,1.0,5.0,335.8,1.0,4.0,1159.0,1.0,4.0,427.1
2.0,6.0,20.4,1.0,6.0,31.1,1.0,6.0,125.0,1.0,6.0,229.1,1.0,6.0,1272.0,1.0,5.0,827.0
3.0,2.0,11.5,3.0,1.0,37.3,2.0,1.0,82.1,2.0,1.0,127.6,2.0,1.0,735.3,2.0,1.0,191.0
3.0,4.0,16.7,3.0,4.0,46.4,2.0,4.0,105.1,2.0,3.0,213.5,2.0,3.0,830.3,2.0,3.0,344.9
3.0,5.0,64.4,3.0,5.0,129.5,2.0,5.0,222.4,2.0,5.0,361.3,2.0,4.0,848.4,2.0,4.0,383.9
3.0,6.0,35.7,3.0,6.0,73.9,2.0,6.0,155.9,2.0,6.0,230.7,2.0,6.0,1056.0,2.0,5.0,832.5
4.0,2.0,22.6,4.0,1.0,41.7,4.0,1.0,155.2,3.0,1.0,259.9,3.0,1.0,1137.0,3.0,1.0,594.4
4.0,3.0,34.5,4.0,3.0,57.9,4.0,2.0,159.8,3.0,2.0,283.7,3.0,2.0,1090.0,3.0,2.0,648.9
4.0,5.0,106.1,4.0,5.0,145.5,4.0,5.0,358.1,3.0,5.0,546.0,3.0,4.0,1167.0,3.0,4.0,687.5
4.0,6.0,64.4,4.0,6.0,82.2,4.0,6.0,217.7,3.0,6.0,387.3,3.0,6.0,1727.0,3.0,5.0,1474.0
5.0,2.0,137.0,5.0,1.0,267.6,5.0,1.0,507.4,5.0,1.0,574.7,4.0,1.0,1379.0,4.0,1.0,802.5
5.0,3.0,193.1,5.0,3.0,346.0,5.0,2.0,441.9,5.0,2.0,505.7,4.0,2.0,1094.0,4.0,2.0,664.1
5.0,4.0,290.3,5.0,4.0,402.3,5.0,4.0,674.1,5.0,3.0,776.6,4.0,3.0,1491.0,4.0,3.0,851.9
5.0,6.0,285.5,5.0,6.0,369.4,5.0,6.0,770.8,5.0,6.0,643.5,4.0,6.0,1491.0,4.0,5.0,1379.0
6.0,2.0,71.9,6.0,1.0,142.7,6.0,1.0,338.7,6.0,1.0,431.5,6.0,1.0,1961.0,5.0,1.0,1839.0
6.0,3.0,117.5,6.0,3.0,210.3,6.0,2.0,379.0,6.0,2.0,365.5,6.0,2.0,1751.0,5.0,2.0,1717.0
6.0,4.0,137.2,6.0,4.0,209.6,6.0,4.0,436.0,6.0,3.0,587.2,6.0,3.0,2058.0,5.0,3.0,1948.0
6.0,5.0,265.0,6.0,5.0,395.6,6.0,5.0,767.9,6.0,5.0,747.7,6.0,4.0,1924.0,5.0,4.0,1797.0
