1,板倉 敦史,板倉 敦史.1,2,桂林 寛,桂林 寛.1,3,志道 吉和,志道 吉和.1,4,檀 将太,檀 将太.1,5,澤 大介,澤 大介.1,6,佐藤 大佑,佐藤 大佑.1
2.0,3.0,11.4,1.0,3.0,36.1,1.0,2.0,80.3,1.0,2.0,445.0,1.0,2.0,65.7,1.0,2.0,130.7
2.0,4.0,44.2,1.0,4.0,81.6,1.0,4.0,235.6,1.0,3.0,690.8,1.0,3.0,78.3,1.0,3.0,229.3
2.0,5.0,12.1,1.0,5.0,25.6,1.0,5.0,58.8,1.0,5.0,339.2,1.0,4.0,260.0,1.0,4.0,526.8
2.0,6.0,13.2,1.0,6.0,31.0,1.0,6.0,82.1,1.0,6.0,382.6,1.0,6.0,50.4,1.0,5.0,116.8
3.0,2.0,16.6,3.0,1.0,71.6,2.0,1.0,116.1,2.0,1.0,542.9,2.0,1.0,109.8,2.0,1.0,175.4
3.0,4.0,55.7,3.0,4.0,178.2,2.0,4.0,247.5,2.0,3.0,1198.0,2.0,3.0,217.7,2.0,3.0,328.6
3.0,5.0,16.0,3.0,5.0,77.2,2.0,5.0,110.6,2.0,5.0,672.8,2.0,4.0,590.3,2.0,4.0,539.8
3.0,6.0,22.1,3.0,6.0,89.0,2.0,6.0,120.0,2.0,6.0,551.3,2.0,6.0,117.0,2.0,5.0,187.6
4.0,2.0,102.8,4.0,1.0,223.4,4.0,1.0,500.7,3.0,1.0,979.1,3.0,1.0,137.0,3.0,1.0,333.2
4.0,3.0,141.9,4.0,3.0,368.7,4.0,2.0,572.4,3.0,2.0,1250.0,3.0,2.0,246.4,3.0,2.0,420.0
4.0,5.0,100.9,4.0,5.0,294.2,4.0,5.0,373.6,3.0,5.0,876.3,3.0,4.0,562.2,3.0,4.0,702.8
4.0,6.0,127.4,4.0,6.0,271.7,4.0,6.0,405.6,3.0,6.0,940.2,3.0,6.0,144.5,3.0,5.0,244.7
5.0,2.0,21.6,5.0,1.0,65.2,5.0,1.0,104.8,5.0,1.0,388.4,4.0,1.0,445.7,4.0,1.0,895.7
5.0,3.0,32.1,5.0,3.0,106.8,5.0,2.0,151.5,5.0,2.0,651.2,4.0,2.0,713.4,4.0,2.0,847.6
5.0,4.0,100.2,5.0,4.0,313.0,5.0,4.0,331.3,5.0,3.0,847.6,4.0,3.0,840.0,4.0,3.0,1017.0
5.0,6.0,22.2,5.0,6.0,66.0,5.0,6.0,92.4,5.0,6.0,336.8,4.0,6.0,430.2,4.0,5.0,669.6
6.0,2.0,34.8,6.0,1.0,89.0,6.0,1.0,166.5,6.0,1.0,538.8,6.0,1.0,68.1,5.0,1.0,119.7
6.0,3.0,63.2,6.0,3.0,156.7,6.0,2.0,198.9,6.0,2.0,669.6,6.0,2.0,106.5,5.0,2.0,147.3
6.0,4.0,154.5,6.0,4.0,178.4,6.0,4.0,418.8,6.0,3.0,962.5,6.0,3.0,115.9,5.0,3.0,194.2
6.0,5.0,34.6,6.0,5.0,90.9,6.0,5.0,115.5,6.0,5.0,379.6,6.0,4.0,295.4,5.0,4.0,417.5
