1,長尾 章平,長尾 章平.1,2,泥谷 一毅,泥谷 一毅.1,3,井内　将太郎,井内　将太郎.1,4,島崎　丈一朗,島崎　丈一朗.1,5,鐘ヶ江　真司,鐘ヶ江　真司.1,6,永田 義紘,永田 義紘.1
2.0,3.0,6.2,1.0,3.0,11.2,1.0,2.0,23.3,1.0,2.0,414.8,1.0,2.0,1331.0,1.0,2.0,84.6
2.0,4.0,30.6,1.0,4.0,36.8,1.0,4.0,58.4,1.0,3.0,503.1,1.0,3.0,1176.0,1.0,3.0,101.0
2.0,5.0,160.4,1.0,5.0,102.4,1.0,5.0,304.0,1.0,5.0,1832.0,1.0,4.0,2035.0,1.0,4.0,297.8
2.0,6.0,22.7,1.0,6.0,23.6,1.0,6.0,38.5,1.0,6.0,623.8,1.0,6.0,2364.0,1.0,5.0,704.3
3.0,2.0,6.4,3.0,1.0,18.0,2.0,1.0,51.8,2.0,1.0,515.1,2.0,1.0,1360.0,2.0,1.0,84.0
3.0,4.0,14.8,3.0,4.0,54.8,2.0,4.0,169.1,2.0,3.0,730.2,2.0,3.0,1426.0,2.0,3.0,111.7
3.0,5.0,136.0,3.0,5.0,136.7,2.0,5.0,532.7,2.0,5.0,2470.0,2.0,4.0,2364.0,2.0,4.0,288.5
3.0,6.0,11.1,3.0,6.0,36.3,2.0,6.0,95.0,2.0,6.0,790.7,2.0,6.0,1866.0,2.0,5.0,480.2
4.0,2.0,67.0,4.0,1.0,102.1,4.0,1.0,221.2,3.0,1.0,626.1,3.0,1.0,1537.0,3.0,1.0,146.0
4.0,3.0,58.2,4.0,3.0,126.4,4.0,2.0,301.3,3.0,2.0,790.7,3.0,2.0,1805.0,3.0,2.0,164.5
4.0,5.0,469.7,4.0,5.0,387.3,4.0,5.0,1523.0,3.0,5.0,2870.0,3.0,4.0,3521.0,3.0,4.0,493.1
4.0,6.0,89.7,4.0,6.0,175.0,4.0,6.0,357.4,3.0,6.0,914.4,3.0,6.0,2599.0,3.0,5.0,1273.0
5.0,2.0,540.9,5.0,1.0,167.3,5.0,1.0,1041.0,5.0,1.0,2973.0,4.0,1.0,3572.0,4.0,1.0,630.9
5.0,3.0,523.8,5.0,3.0,195.1,5.0,2.0,1263.0,5.0,2.0,2903.0,4.0,2.0,3424.0,4.0,2.0,688.7
5.0,4.0,1032.0,5.0,4.0,391.3,5.0,4.0,2257.0,5.0,3.0,4555.0,4.0,3.0,4394.0,4.0,3.0,819.4
5.0,6.0,848.8,5.0,6.0,321.1,5.0,6.0,2168.0,5.0,6.0,3598.0,4.0,6.0,4473.0,4.0,5.0,2288.0
6.0,2.0,32.4,6.0,1.0,41.8,6.0,1.0,106.3,6.0,1.0,1025.0,6.0,1.0,3546.0,5.0,1.0,1542.0
6.0,3.0,29.5,6.0,3.0,49.6,6.0,2.0,133.9,6.0,2.0,1034.0,6.0,2.0,3027.0,5.0,2.0,1601.0
6.0,4.0,79.3,6.0,4.0,122.4,6.0,4.0,332.1,6.0,3.0,1286.0,6.0,3.0,3424.0,5.0,3.0,2206.0
6.0,5.0,351.1,6.0,5.0,222.6,6.0,5.0,1128.0,6.0,5.0,3598.0,6.0,4.0,5172.0,5.0,4.0,2559.0
