1,栗原 謙治,栗原 謙治.1,2,表 健太,表 健太.1,3,田中 孝明,田中 孝明.1,4,青木　幸太郎,青木　幸太郎.1,5,菊池 宏志,菊池 宏志.1,6,津留　浩一郎,津留　浩一郎.1
2.0,3.0,68.2,1.0,3.0,221.6,1.0,2.0,211.3,1.0,2.0,43.5,1.0,2.0,283.0,1.0,2.0,599.7
2.0,4.0,61.3,1.0,4.0,188.5,1.0,4.0,68.6,1.0,3.0,23.1,1.0,3.0,183.7,1.0,3.0,489.8
2.0,5.0,124.3,1.0,5.0,357.7,1.0,5.0,99.1,1.0,5.0,15.7,1.0,4.0,88.2,1.0,4.0,243.2
2.0,6.0,163.4,1.0,6.0,457.7,1.0,6.0,124.9,1.0,6.0,21.5,1.0,6.0,122.2,1.0,5.0,334.0
3.0,2.0,81.9,3.0,1.0,450.9,2.0,1.0,389.1,2.0,1.0,102.5,2.0,1.0,455.4,2.0,1.0,822.3
3.0,4.0,26.9,3.0,4.0,321.6,2.0,4.0,328.0,2.0,3.0,146.9,2.0,3.0,642.1,2.0,3.0,873.7
3.0,5.0,55.6,3.0,5.0,575.1,2.0,5.0,467.1,2.0,5.0,100.2,2.0,4.0,359.1,2.0,4.0,493.8
3.0,6.0,70.7,3.0,6.0,691.0,2.0,6.0,510.5,2.0,6.0,110.4,2.0,6.0,434.7,2.0,5.0,696.3
4.0,2.0,46.5,4.0,1.0,242.6,4.0,1.0,74.8,3.0,1.0,40.4,3.0,1.0,260.7,3.0,1.0,593.9
4.0,3.0,28.9,4.0,3.0,370.8,4.0,2.0,213.8,3.0,2.0,121.8,3.0,2.0,584.3,3.0,2.0,869.5
4.0,5.0,22.2,4.0,5.0,270.4,4.0,5.0,60.9,3.0,5.0,36.9,3.0,4.0,221.6,3.0,4.0,377.8
4.0,6.0,31.1,4.0,6.0,281.7,4.0,6.0,66.1,3.0,6.0,55.6,3.0,6.0,268.0,3.0,5.0,492.5
5.0,2.0,158.5,5.0,1.0,793.6,5.0,1.0,170.8,5.0,1.0,15.0,4.0,1.0,58.1,4.0,1.0,179.5
5.0,3.0,105.1,5.0,3.0,987.7,5.0,2.0,402.0,5.0,2.0,39.8,4.0,2.0,147.9,4.0,2.0,370.1
5.0,4.0,50.2,5.0,4.0,484.6,5.0,4.0,120.4,5.0,3.0,31.0,4.0,3.0,128.6,4.0,3.0,265.3
5.0,6.0,83.8,5.0,6.0,766.8,5.0,6.0,164.3,5.0,6.0,10.8,4.0,6.0,43.4,4.0,5.0,117.0
6.0,2.0,256.6,6.0,1.0,1044.0,6.0,1.0,311.1,6.0,1.0,27.4,6.0,1.0,141.9,5.0,1.0,452.0
6.0,3.0,192.3,6.0,3.0,886.5,6.0,2.0,560.9,6.0,2.0,73.4,6.0,2.0,291.2,5.0,2.0,829.8
6.0,4.0,99.7,6.0,4.0,560.9,6.0,4.0,200.8,6.0,3.0,55.3,6.0,3.0,240.7,5.0,3.0,549.0
6.0,5.0,159.0,6.0,5.0,807.7,6.0,5.0,277.0,6.0,5.0,17.2,6.0,4.0,85.4,5.0,4.0,160.6
