1,眞崎 武蔵,眞崎 武蔵.1,2,上瀧 絢也,上瀧 絢也.1,3,森清 友翔,森清 友翔.1,4,重冨 勇哉,重冨 勇哉.1,5,楠 将太郎,楠 将太郎.1,6,田中 駿兵,田中 駿兵.1
2.0,3.0,21.6,1.0,3.0,52.6,1.0,2.0,74.7,1.0,2.0,63.9,1.0,2.0,127.1,1.0,2.0,397.9
2.0,4.0,18.3,1.0,4.0,35.1,1.0,4.0,64.9,1.0,3.0,95.4,1.0,3.0,123.1,1.0,3.0,618.8
2.0,5.0,35.9,1.0,5.0,64.0,1.0,5.0,56.2,1.0,5.0,75.5,1.0,4.0,121.6,1.0,4.0,395.8
2.0,6.0,53.0,1.0,6.0,80.7,1.0,6.0,100.3,1.0,6.0,81.0,1.0,6.0,141.2,1.0,5.0,575.0
3.0,2.0,31.4,3.0,1.0,80.8,2.0,1.0,102.4,2.0,1.0,74.9,2.0,1.0,170.8,2.0,1.0,521.6
3.0,4.0,32.0,3.0,4.0,83.0,2.0,4.0,83.5,2.0,3.0,115.1,2.0,3.0,196.5,2.0,3.0,806.9
3.0,5.0,34.6,3.0,5.0,77.0,2.0,5.0,91.2,2.0,5.0,92.3,2.0,4.0,150.2,2.0,4.0,302.3
3.0,6.0,64.8,3.0,6.0,146.6,2.0,6.0,158.7,2.0,6.0,77.3,2.0,6.0,172.2,2.0,5.0,676.1
4.0,2.0,23.5,4.0,1.0,56.6,4.0,1.0,91.5,3.0,1.0,148.7,3.0,1.0,139.1,3.0,1.0,586.5
4.0,3.0,40.5,4.0,3.0,90.7,4.0,2.0,88.5,3.0,2.0,133.7,3.0,2.0,174.9,3.0,2.0,1050.0
4.0,5.0,38.2,4.0,5.0,76.8,4.0,5.0,61.0,3.0,5.0,108.6,3.0,4.0,123.6,3.0,4.0,448.0
4.0,6.0,44.9,4.0,6.0,65.0,4.0,6.0,78.4,3.0,6.0,111.3,3.0,6.0,154.0,3.0,5.0,626.8
5.0,2.0,55.2,5.0,1.0,117.3,5.0,1.0,74.1,5.0,1.0,70.8,4.0,1.0,110.6,4.0,1.0,338.8
5.0,3.0,60.0,5.0,3.0,120.1,5.0,2.0,83.1,5.0,2.0,80.2,4.0,2.0,120.6,4.0,2.0,267.5
5.0,4.0,48.3,5.0,4.0,101.5,5.0,4.0,61.1,5.0,3.0,98.2,4.0,3.0,115.6,4.0,3.0,402.3
5.0,6.0,68.2,5.0,6.0,151.9,5.0,6.0,90.4,5.0,6.0,56.6,4.0,6.0,71.9,4.0,5.0,285.8
6.0,2.0,102.7,6.0,1.0,234.0,6.0,1.0,258.5,6.0,1.0,111.4,6.0,1.0,198.1,5.0,1.0,606.0
6.0,3.0,122.6,6.0,3.0,315.4,6.0,2.0,303.6,6.0,2.0,100.3,6.0,2.0,214.7,5.0,2.0,649.1
6.0,4.0,79.9,6.0,4.0,158.9,6.0,4.0,186.5,6.0,3.0,138.3,6.0,3.0,210.1,5.0,3.0,685.7
6.0,5.0,118.6,6.0,5.0,289.7,6.0,5.0,210.4,6.0,5.0,82.4,6.0,4.0,121.0,5.0,4.0,357.1
