1,石橋 道友,石橋 道友.1,2,長尾 章平,長尾 章平.1,3,井上 恵一,井上 恵一.1,4,山田 丈,山田 丈.1,5,丸山 祐也,丸山 祐也.1,6,小玉 啓太,小玉 啓太.1
2.0,3.0,7.5,1.0,3.0,46.9,1.0,2.0,81.7,1.0,2.0,24.6,1.0,2.0,291.1,1.0,2.0,1717.0
2.0,4.0,4.3,1.0,4.0,31.0,1.0,4.0,89.6,1.0,3.0,74.0,1.0,3.0,481.6,1.0,3.0,3148.0
2.0,5.0,16.5,1.0,5.0,76.8,1.0,5.0,160.2,1.0,5.0,35.6,1.0,4.0,243.6,1.0,4.0,955.2
2.0,6.0,68.5,1.0,6.0,207.8,1.0,6.0,322.6,1.0,6.0,86.3,1.0,6.0,578.3,1.0,5.0,2152.0
3.0,2.0,15.3,3.0,1.0,131.6,2.0,1.0,193.0,2.0,1.0,57.9,2.0,1.0,563.0,2.0,1.0,2576.0
3.0,4.0,16.0,3.0,4.0,212.2,2.0,4.0,288.6,2.0,3.0,169.5,2.0,3.0,1197.0,2.0,3.0,4595.0
3.0,5.0,42.1,3.0,5.0,331.4,2.0,5.0,488.6,2.0,5.0,93.6,2.0,4.0,653.9,2.0,4.0,1349.0
3.0,6.0,142.4,3.0,6.0,934.2,2.0,6.0,1062.0,2.0,6.0,172.8,2.0,6.0,1268.0,2.0,5.0,5001.0
4.0,2.0,7.6,4.0,1.0,72.9,4.0,1.0,209.6,3.0,1.0,225.5,3.0,1.0,802.0,3.0,1.0,3954.0
4.0,3.0,16.4,4.0,3.0,169.0,4.0,2.0,310.8,3.0,2.0,330.1,3.0,2.0,1371.0,3.0,2.0,5152.0
4.0,5.0,20.9,4.0,5.0,172.4,4.0,5.0,433.7,3.0,5.0,432.6,3.0,4.0,1393.0,3.0,4.0,6297.0
4.0,6.0,67.4,4.0,6.0,355.7,4.0,6.0,871.9,3.0,6.0,809.7,3.0,6.0,1868.0,3.0,5.0,6801.0
5.0,2.0,54.9,5.0,1.0,358.7,5.0,1.0,495.7,5.0,1.0,60.3,4.0,1.0,293.6,4.0,1.0,1197.0
5.0,3.0,94.2,5.0,3.0,794.5,5.0,2.0,833.5,5.0,2.0,96.8,4.0,2.0,445.1,4.0,2.0,1393.0
5.0,4.0,67.7,5.0,4.0,561.1,5.0,4.0,854.4,5.0,3.0,275.1,4.0,3.0,929.1,4.0,3.0,4595.0
5.0,6.0,170.5,5.0,6.0,1288.0,5.0,6.0,1164.0,5.0,6.0,132.7,4.0,6.0,576.3,4.0,5.0,1910.0
6.0,2.0,271.1,6.0,1.0,696.8,6.0,1.0,1382.0,6.0,1.0,215.5,6.0,1.0,1416.0,5.0,1.0,2787.0
6.0,3.0,455.8,6.0,3.0,2394.0,6.0,2.0,1954.0,6.0,2.0,285.7,6.0,2.0,2394.0,5.0,2.0,3954.0
6.0,4.0,339.3,6.0,4.0,726.6,6.0,4.0,2208.0,6.0,3.0,904.4,6.0,3.0,2656.0,5.0,3.0,4858.0
6.0,5.0,388.2,6.0,5.0,1164.0,6.0,5.0,1828.0,6.0,5.0,260.3,6.0,4.0,1478.0,5.0,4.0,1910.0
