1,峰重 力也,峰重 力也.1,2,小林 遼太,小林 遼太.1,3,宇野 博之,宇野 博之.1,4,富永 正人,富永 正人.1,5,山本 兼士,山本 兼士.1,6,中村 泰平,中村 泰平.1
2.0,3.0,13.9,1.0,3.0,37.2,1.0,2.0,71.0,1.0,2.0,98.5,1.0,2.0,679.9,1.0,2.0,101.6
2.0,4.0,15.5,1.0,4.0,34.2,1.0,4.0,46.2,1.0,3.0,96.9,1.0,3.0,404.5,1.0,3.0,120.3
2.0,5.0,53.5,1.0,5.0,133.5,1.0,5.0,135.5,1.0,5.0,204.5,1.0,4.0,702.3,1.0,4.0,133.9
2.0,6.0,14.1,1.0,6.0,34.2,1.0,6.0,45.9,1.0,6.0,68.3,1.0,6.0,443.8,1.0,5.0,344.5
3.0,2.0,17.1,3.0,1.0,83.6,2.0,1.0,106.0,2.0,1.0,154.9,2.0,1.0,779.4,2.0,1.0,163.8
3.0,4.0,15.1,3.0,4.0,87.1,2.0,4.0,88.8,2.0,3.0,179.7,2.0,3.0,1389.0,2.0,3.0,209.5
3.0,5.0,49.9,3.0,5.0,311.7,2.0,5.0,266.3,2.0,5.0,367.3,2.0,4.0,1291.0,2.0,4.0,192.2
3.0,6.0,14.3,3.0,6.0,80.1,2.0,6.0,80.7,2.0,6.0,111.7,2.0,6.0,863.7,2.0,5.0,600.1
4.0,2.0,23.8,4.0,1.0,89.2,4.0,1.0,72.9,3.0,1.0,128.8,3.0,1.0,602.9,3.0,1.0,195.4
4.0,3.0,25.4,4.0,3.0,111.4,4.0,2.0,106.0,3.0,2.0,180.5,3.0,2.0,1597.0,3.0,2.0,249.6
4.0,5.0,84.1,4.0,5.0,379.3,4.0,5.0,207.8,3.0,5.0,326.0,3.0,4.0,1469.0,3.0,4.0,215.5
4.0,6.0,22.0,4.0,6.0,84.2,4.0,6.0,60.0,3.0,6.0,105.3,3.0,6.0,1047.0,3.0,5.0,857.9
5.0,2.0,165.7,5.0,1.0,466.5,5.0,1.0,251.6,5.0,1.0,333.7,4.0,1.0,798.9,4.0,1.0,181.8
5.0,3.0,157.8,5.0,3.0,743.1,5.0,2.0,454.9,5.0,2.0,475.1,4.0,2.0,1022.0,4.0,2.0,208.5
5.0,4.0,211.2,5.0,4.0,819.4,5.0,4.0,437.7,5.0,3.0,482.3,4.0,3.0,1217.0,4.0,3.0,231.9
5.0,6.0,114.5,5.0,6.0,509.2,5.0,6.0,326.9,5.0,6.0,200.6,4.0,6.0,475.1,4.0,5.0,417.7
6.0,2.0,33.9,6.0,1.0,89.8,6.0,1.0,87.0,6.0,1.0,102.1,6.0,1.0,473.4,5.0,1.0,589.0
6.0,3.0,37.2,6.0,3.0,118.5,6.0,2.0,116.4,6.0,2.0,123.6,6.0,2.0,953.9,5.0,2.0,857.9
6.0,4.0,39.5,6.0,4.0,116.2,6.0,4.0,94.0,6.0,3.0,138.9,6.0,3.0,1039.0,5.0,3.0,1065.0
6.0,5.0,101.4,6.0,5.0,343.6,6.0,5.0,259.8,6.0,5.0,200.0,6.0,4.0,672.7,5.0,4.0,464.8
