1,吉川 貴仁,吉川 貴仁.1,2,佐藤 翼,佐藤 翼.1,3,岡村 仁,岡村 仁.1,4,毒島 誠,毒島 誠.1,5,重成 一人,重成 一人.1,6,古澤 光紀,古澤 光紀.1
2.0,3.0,13.1,1.0,3.0,25.7,1.0,2.0,61.7,1.0,2.0,37.0,1.0,2.0,408.2,1.0,2.0,2091.0
2.0,4.0,9.1,1.0,4.0,16.8,1.0,4.0,44.3,1.0,3.0,60.3,1.0,3.0,443.5,1.0,3.0,1994.0
2.0,5.0,34.8,1.0,5.0,52.4,1.0,5.0,85.9,1.0,5.0,68.7,1.0,4.0,372.7,1.0,4.0,1532.0
2.0,6.0,76.4,1.0,6.0,109.7,1.0,6.0,159.0,1.0,6.0,120.8,1.0,6.0,851.5,1.0,5.0,3863.0
3.0,2.0,17.9,3.0,1.0,57.9,2.0,1.0,87.4,2.0,1.0,54.1,2.0,1.0,620.4,2.0,1.0,2856.0
3.0,4.0,14.3,3.0,4.0,43.7,2.0,4.0,57.1,2.0,3.0,64.8,2.0,3.0,624.1,2.0,3.0,2640.0
3.0,5.0,35.7,3.0,5.0,99.6,2.0,5.0,119.8,2.0,5.0,86.7,2.0,4.0,416.5,2.0,4.0,1561.0
3.0,6.0,83.0,3.0,6.0,188.6,2.0,6.0,245.4,2.0,6.0,163.5,2.0,6.0,1062.0,2.0,5.0,3651.0
4.0,2.0,12.0,4.0,1.0,32.3,4.0,1.0,60.9,3.0,1.0,100.7,3.0,1.0,728.9,3.0,1.0,2566.0
4.0,3.0,16.4,4.0,3.0,35.8,4.0,2.0,52.4,3.0,2.0,80.5,3.0,2.0,726.7,3.0,2.0,2971.0
4.0,5.0,31.9,4.0,5.0,59.9,4.0,5.0,79.9,3.0,5.0,134.8,3.0,4.0,598.7,3.0,4.0,2067.0
4.0,6.0,57.3,4.0,6.0,115.8,4.0,6.0,141.9,3.0,6.0,217.4,3.0,6.0,1361.0,3.0,5.0,4055.0
5.0,2.0,80.7,5.0,1.0,207.1,5.0,1.0,207.8,5.0,1.0,123.6,4.0,1.0,440.0,4.0,1.0,1571.0
5.0,3.0,80.2,5.0,3.0,202.2,5.0,2.0,196.1,5.0,2.0,114.3,4.0,2.0,389.6,4.0,2.0,1555.0
5.0,4.0,84.2,5.0,4.0,155.3,5.0,4.0,166.6,5.0,3.0,179.2,4.0,3.0,540.1,4.0,3.0,2091.0
5.0,6.0,241.1,5.0,6.0,451.4,5.0,6.0,367.7,5.0,6.0,193.9,4.0,6.0,811.0,4.0,5.0,2204.0
6.0,2.0,360.1,6.0,1.0,619.4,6.0,1.0,680.2,6.0,1.0,331.8,6.0,1.0,1821.0,5.0,1.0,3823.0
6.0,3.0,341.0,6.0,3.0,680.9,6.0,2.0,822.8,6.0,2.0,359.1,6.0,2.0,1973.0,5.0,2.0,3925.0
6.0,4.0,267.2,6.0,4.0,464.8,6.0,4.0,562.0,6.0,3.0,442.1,6.0,3.0,2272.0,5.0,3.0,4147.0
6.0,5.0,502.0,6.0,5.0,939.8,6.0,5.0,1077.0,6.0,5.0,442.4,6.0,4.0,1623.0,5.0,4.0,2360.0
