1,中島 真二,中島 真二.1,2,金山 立樹,金山 立樹.1,3,石川 哲秀,石川 哲秀.1,4,浦田 晃嗣,浦田 晃嗣.1,5,三原 司,三原 司.1,6,西澤　日花里,西澤　日花里.1
2.0,3.0,13.1,1.0,3.0,65.5,1.0,2.0,142.7,1.0,2.0,36.3,1.0,2.0,101.0,1.0,2.0,978.4
2.0,4.0,8.3,1.0,4.0,33.4,1.0,4.0,107.9,1.0,3.0,100.8,1.0,3.0,162.3,1.0,3.0,1411.0
2.0,5.0,11.3,1.0,5.0,42.6,1.0,5.0,111.5,1.0,5.0,33.9,1.0,4.0,115.4,1.0,4.0,1260.0
2.0,6.0,39.8,1.0,6.0,98.4,1.0,6.0,327.1,1.0,6.0,66.0,1.0,6.0,168.4,1.0,5.0,1032.0
3.0,2.0,19.2,3.0,1.0,214.9,2.0,1.0,244.8,2.0,1.0,60.2,2.0,1.0,157.8,2.0,1.0,1385.0
3.0,4.0,19.5,3.0,4.0,295.0,2.0,4.0,289.7,2.0,3.0,216.3,2.0,3.0,401.2,2.0,3.0,2860.0
3.0,5.0,22.1,3.0,5.0,299.4,2.0,5.0,345.8,2.0,5.0,63.7,2.0,4.0,250.9,2.0,4.0,1335.0
3.0,6.0,82.3,3.0,6.0,848.2,2.0,6.0,710.4,2.0,6.0,109.3,2.0,6.0,325.6,2.0,5.0,1956.0
4.0,2.0,12.4,4.0,1.0,94.3,4.0,1.0,190.1,3.0,1.0,220.2,3.0,1.0,340.0,3.0,1.0,1956.0
4.0,3.0,24.9,4.0,3.0,271.7,4.0,2.0,263.6,3.0,2.0,279.5,3.0,2.0,515.2,3.0,2.0,2594.0
4.0,5.0,18.2,4.0,5.0,151.0,4.0,5.0,220.6,3.0,5.0,234.8,3.0,4.0,588.6,3.0,4.0,3014.0
4.0,6.0,56.4,4.0,6.0,320.5,4.0,6.0,517.6,3.0,6.0,442.6,3.0,6.0,705.9,3.0,5.0,2230.0
5.0,2.0,23.2,5.0,1.0,135.1,5.0,1.0,225.3,5.0,1.0,39.5,4.0,1.0,106.3,4.0,1.0,1320.0
5.0,3.0,39.5,5.0,3.0,346.4,5.0,2.0,356.3,5.0,2.0,52.3,4.0,2.0,142.9,4.0,2.0,1394.0
5.0,4.0,34.7,5.0,4.0,226.4,5.0,4.0,305.1,5.0,3.0,156.2,4.0,3.0,329.0,4.0,3.0,2564.0
5.0,6.0,74.7,5.0,6.0,494.6,5.0,6.0,626.6,5.0,6.0,62.8,4.0,6.0,145.3,4.0,5.0,1042.0
6.0,2.0,153.5,6.0,1.0,541.4,6.0,1.0,1018.0,6.0,1.0,156.9,6.0,1.0,387.3,5.0,1.0,1312.0
6.0,3.0,282.3,6.0,3.0,1411.0,6.0,2.0,1411.0,6.0,2.0,171.4,6.0,2.0,561.9,5.0,2.0,1939.0
6.0,4.0,188.2,6.0,4.0,961.5,6.0,4.0,1327.0,6.0,3.0,520.0,6.0,3.0,858.0,5.0,3.0,2124.0
6.0,5.0,190.5,6.0,5.0,885.2,6.0,5.0,1067.0,6.0,5.0,146.1,6.0,4.0,383.3,5.0,4.0,1149.0
