1,田中 駿兵,田中 駿兵.1,2,中島 航,中島 航.1,3,山口 晃朋,山口 晃朋.1,4,高橋 竜矢,高橋 竜矢.1,5,富永　夏哉人,富永　夏哉人.1,6,原田　才一郎,原田　才一郎.1
2.0,3.0,79.6,1.0,3.0,260.0,1.0,2.0,157.3,1.0,2.0,87.5,1.0,2.0,732.3,1.0,2.0,32.8
2.0,4.0,47.2,1.0,4.0,184.5,1.0,4.0,96.2,1.0,3.0,87.7,1.0,3.0,541.1,1.0,3.0,23.4
2.0,5.0,169.1,1.0,5.0,514.4,1.0,5.0,133.6,1.0,5.0,163.8,1.0,4.0,594.2,1.0,4.0,14.0
2.0,6.0,30.3,1.0,6.0,124.5,1.0,6.0,61.1,1.0,6.0,33.3,1.0,6.0,328.0,1.0,5.0,58.2
3.0,2.0,78.2,3.0,1.0,362.6,2.0,1.0,280.5,2.0,1.0,190.2,2.0,1.0,1362.0,2.0,1.0,88.4
3.0,4.0,62.1,3.0,4.0,474.8,2.0,4.0,266.9,2.0,3.0,321.7,2.0,3.0,1292.0,2.0,3.0,103.5
3.0,5.0,142.5,3.0,5.0,824.1,2.0,5.0,379.0,2.0,5.0,418.9,2.0,4.0,1454.0,2.0,4.0,64.1
3.0,6.0,35.3,3.0,6.0,327.3,2.0,6.0,195.7,2.0,6.0,110.8,2.0,6.0,1053.0,2.0,5.0,194.7
4.0,2.0,47.0,4.0,1.0,255.0,4.0,1.0,154.4,3.0,1.0,154.9,3.0,1.0,517.9,3.0,1.0,45.3
4.0,3.0,52.0,4.0,3.0,442.8,4.0,2.0,260.9,3.0,2.0,258.7,3.0,2.0,856.8,3.0,2.0,94.3
4.0,5.0,113.0,4.0,5.0,761.9,4.0,5.0,192.6,3.0,5.0,218.0,3.0,4.0,527.8,3.0,4.0,43.1
4.0,6.0,17.9,4.0,6.0,154.0,4.0,6.0,96.5,3.0,6.0,95.9,3.0,6.0,317.7,3.0,5.0,74.8
5.0,2.0,245.5,5.0,1.0,1234.0,5.0,1.0,194.2,5.0,1.0,308.0,4.0,1.0,632.8,4.0,1.0,22.0
5.0,3.0,283.4,5.0,3.0,1387.0,5.0,2.0,348.4,5.0,2.0,529.7,4.0,2.0,1200.0,4.0,2.0,47.0
5.0,4.0,272.0,5.0,4.0,1186.0,5.0,4.0,217.4,5.0,3.0,339.8,4.0,3.0,619.8,4.0,3.0,32.3
5.0,6.0,163.6,5.0,6.0,1068.0,5.0,6.0,140.5,5.0,6.0,180.6,4.0,6.0,403.8,4.0,5.0,60.0
6.0,2.0,17.3,6.0,1.0,149.5,6.0,1.0,62.0,6.0,1.0,33.0,6.0,1.0,336.4,5.0,1.0,152.4
6.0,3.0,17.2,6.0,3.0,259.1,6.0,2.0,125.6,6.0,2.0,62.8,6.0,2.0,861.7,5.0,2.0,276.2
6.0,4.0,11.5,6.0,4.0,145.1,6.0,4.0,67.2,6.0,3.0,51.4,6.0,3.0,308.3,5.0,3.0,149.2
6.0,5.0,54.7,6.0,5.0,519.7,6.0,5.0,104.8,6.0,5.0,103.9,6.0,4.0,356.2,5.0,4.0,140.0
