1,岡崎 恭裕,岡崎 恭裕.1,2,竹井 貴史,竹井 貴史.1,3,青木　幸太郎,青木　幸太郎.1,4,渡辺 崇,渡辺 崇.1,5,竹下 大樹,竹下 大樹.1,6,岩崎 正哉,岩崎 正哉.1
2.0,3.0,6.3,1.0,3.0,56.9,1.0,2.0,68.9,1.0,2.0,348.6,1.0,2.0,106.8,1.0,2.0,587.1
2.0,4.0,16.2,1.0,4.0,107.4,1.0,4.0,57.3,1.0,3.0,317.3,1.0,3.0,108.6,1.0,3.0,915.9
2.0,5.0,8.0,1.0,5.0,56.3,1.0,5.0,37.6,1.0,5.0,238.5,1.0,4.0,189.1,1.0,4.0,1144.0
2.0,6.0,19.0,1.0,6.0,90.5,1.0,6.0,83.1,1.0,6.0,343.5,1.0,6.0,110.1,1.0,5.0,610.8
3.0,2.0,11.3,3.0,1.0,198.1,2.0,1.0,209.5,2.0,1.0,709.1,2.0,1.0,238.9,2.0,1.0,847.0
3.0,4.0,15.7,3.0,4.0,720.6,2.0,4.0,504.8,2.0,3.0,1258.0,2.0,3.0,617.7,2.0,3.0,1982.0
3.0,5.0,10.0,3.0,5.0,479.6,2.0,5.0,366.6,2.0,5.0,920.6,2.0,4.0,781.7,2.0,4.0,2112.0
3.0,6.0,29.6,3.0,6.0,718.4,2.0,6.0,598.5,2.0,6.0,1002.0,2.0,6.0,481.5,2.0,5.0,1591.0
4.0,2.0,38.6,4.0,1.0,504.8,4.0,1.0,160.6,3.0,1.0,433.0,3.0,1.0,201.5,3.0,1.0,1362.0
4.0,3.0,39.5,4.0,3.0,945.1,4.0,2.0,427.3,3.0,2.0,961.8,3.0,2.0,503.7,3.0,2.0,2275.0
4.0,5.0,42.3,4.0,5.0,890.6,4.0,5.0,157.4,3.0,5.0,421.5,3.0,4.0,461.2,3.0,4.0,1988.0
4.0,6.0,68.1,4.0,6.0,1307.0,4.0,6.0,267.7,3.0,6.0,578.0,3.0,6.0,386.6,3.0,5.0,1584.0
5.0,2.0,16.3,5.0,1.0,229.4,5.0,1.0,100.2,5.0,1.0,299.2,4.0,1.0,384.9,4.0,1.0,1654.0
5.0,3.0,17.5,5.0,3.0,621.0,5.0,2.0,270.2,5.0,2.0,529.3,4.0,2.0,662.1,4.0,2.0,2464.0
5.0,4.0,43.8,5.0,4.0,887.2,5.0,4.0,176.3,5.0,3.0,468.8,4.0,3.0,585.1,4.0,3.0,2319.0
5.0,6.0,30.1,5.0,6.0,544.7,5.0,6.0,200.1,5.0,6.0,302.6,4.0,6.0,422.7,4.0,5.0,1056.0
6.0,2.0,71.2,6.0,1.0,497.4,6.0,1.0,383.2,6.0,1.0,714.8,6.0,1.0,271.3,5.0,1.0,710.5
6.0,3.0,92.7,6.0,3.0,1405.0,6.0,2.0,802.0,6.0,2.0,1082.0,6.0,2.0,510.3,5.0,2.0,1402.0
6.0,4.0,137.1,6.0,4.0,1591.0,6.0,4.0,594.9,6.0,3.0,1065.0,6.0,3.0,588.5,5.0,3.0,1402.0
6.0,5.0,75.1,6.0,5.0,847.0,6.0,5.0,427.6,6.0,5.0,514.3,6.0,4.0,523.8,5.0,4.0,964.4
