1,高田 明,高田 明.1,2,藤丸 光一,藤丸 光一.1,3,屋良 龍紀,屋良 龍紀.1,4,白水 勝也,白水 勝也.1,5,中嶋　誠一郎,中嶋　誠一郎.1,6,阿波 勝哉,阿波 勝哉.1
2.0,3.0,82.8,1.0,3.0,312.9,1.0,2.0,589.3,1.0,2.0,17.8,1.0,2.0,259.0,1.0,2.0,112.6
2.0,4.0,10.3,1.0,4.0,50.1,1.0,4.0,406.0,1.0,3.0,104.7,1.0,3.0,705.2,1.0,3.0,409.3
2.0,5.0,25.3,1.0,5.0,108.7,1.0,5.0,629.1,1.0,5.0,17.6,1.0,4.0,150.2,1.0,4.0,77.2
2.0,6.0,29.9,1.0,6.0,117.2,1.0,6.0,684.1,1.0,6.0,21.4,1.0,6.0,262.6,1.0,5.0,182.6
3.0,2.0,135.5,3.0,1.0,626.5,2.0,1.0,880.5,2.0,1.0,42.2,2.0,1.0,405.4,2.0,1.0,200.8
3.0,4.0,113.4,3.0,4.0,606.1,2.0,4.0,642.7,2.0,3.0,231.6,2.0,3.0,1377.0,2.0,3.0,642.7
3.0,5.0,208.5,3.0,5.0,896.4,2.0,5.0,1102.0,2.0,5.0,63.8,2.0,4.0,339.7,2.0,4.0,171.1
3.0,6.0,184.7,3.0,6.0,831.3,2.0,6.0,947.7,2.0,6.0,62.3,2.0,6.0,408.2,2.0,5.0,355.5
4.0,2.0,7.8,4.0,1.0,69.0,4.0,1.0,745.8,3.0,1.0,323.1,3.0,1.0,1090.0,3.0,1.0,804.3
4.0,3.0,58.2,4.0,3.0,403.8,4.0,2.0,912.9,3.0,2.0,450.9,3.0,2.0,1662.0,3.0,2.0,845.4
4.0,5.0,9.4,4.0,5.0,111.7,4.0,5.0,831.3,3.0,5.0,324.5,3.0,4.0,1015.0,3.0,4.0,581.2
4.0,6.0,11.8,4.0,6.0,104.8,4.0,6.0,757.2,3.0,6.0,328.4,3.0,6.0,1078.0,3.0,5.0,975.7
5.0,2.0,42.8,5.0,1.0,323.4,5.0,1.0,1204.0,5.0,1.0,35.9,4.0,1.0,151.6,4.0,1.0,89.3
5.0,3.0,180.8,5.0,3.0,1082.0,5.0,2.0,1740.0,5.0,2.0,62.8,4.0,2.0,255.2,4.0,2.0,121.2
5.0,4.0,24.4,5.0,4.0,267.1,5.0,4.0,1430.0,5.0,3.0,194.0,4.0,3.0,713.6,4.0,3.0,413.9
5.0,6.0,49.8,5.0,6.0,404.3,5.0,6.0,1358.0,5.0,6.0,43.4,4.0,6.0,193.6,4.0,5.0,153.0
6.0,2.0,57.2,6.0,1.0,312.2,6.0,1.0,1047.0,6.0,1.0,43.9,6.0,1.0,430.0,5.0,1.0,358.1
6.0,3.0,227.1,6.0,3.0,930.0,6.0,2.0,1162.0,6.0,2.0,66.2,6.0,2.0,419.1,5.0,2.0,415.6
6.0,4.0,35.8,6.0,4.0,207.9,6.0,4.0,938.8,6.0,3.0,254.8,6.0,3.0,1098.0,5.0,3.0,975.7
6.0,5.0,77.7,6.0,5.0,418.5,6.0,5.0,1403.0,6.0,5.0,62.5,6.0,4.0,314.2,5.0,4.0,270.3
