1,伊藤 誠二,伊藤 誠二.1,2,小林 基樹,小林 基樹.1,3,佐竹 太一,佐竹 太一.1,4,松崎　祐太郎,松崎　祐太郎.1,5,出畑 孝成,出畑 孝成.1,6,加藤 翔馬,加藤 翔馬.1
2.0,3.0,30.3,1.0,3.0,223.2,1.0,2.0,97.8,1.0,2.0,54.2,1.0,2.0,2301.0,1.0,2.0,226.8
2.0,4.0,22.1,1.0,4.0,172.8,1.0,4.0,21.4,1.0,3.0,22.2,1.0,3.0,1857.0,1.0,3.0,104.7
2.0,5.0,251.9,1.0,5.0,994.7,1.0,5.0,234.2,1.0,5.0,130.2,1.0,4.0,1547.0,1.0,4.0,74.4
2.0,6.0,55.7,1.0,6.0,340.3,1.0,6.0,36.7,1.0,6.0,23.9,1.0,6.0,2396.0,1.0,5.0,620.0
3.0,2.0,23.4,3.0,1.0,395.3,2.0,1.0,253.8,2.0,1.0,157.4,2.0,1.0,3919.0,2.0,1.0,625.9
3.0,4.0,7.1,3.0,4.0,498.4,2.0,4.0,225.3,2.0,3.0,246.9,2.0,3.0,4129.0,2.0,3.0,896.4
3.0,5.0,147.7,3.0,5.0,1993.0,2.0,5.0,1217.0,2.0,5.0,571.0,2.0,4.0,3043.0,2.0,4.0,580.3
3.0,6.0,17.5,3.0,6.0,815.7,2.0,6.0,353.0,2.0,6.0,221.3,2.0,6.0,3887.0,2.0,5.0,2131.0
4.0,2.0,15.2,4.0,1.0,305.3,4.0,1.0,32.4,3.0,1.0,40.7,3.0,1.0,2141.0,3.0,1.0,205.4
4.0,3.0,6.8,4.0,3.0,487.4,4.0,2.0,124.8,3.0,2.0,151.5,3.0,2.0,4205.0,3.0,2.0,644.2
4.0,5.0,87.1,4.0,5.0,1473.0,4.0,5.0,185.6,3.0,5.0,267.8,3.0,4.0,1440.0,3.0,4.0,173.3
4.0,6.0,10.8,4.0,6.0,526.8,4.0,6.0,39.6,3.0,6.0,50.8,3.0,6.0,3585.0,3.0,5.0,1210.0
5.0,2.0,551.3,5.0,1.0,1657.0,5.0,1.0,824.5,5.0,1.0,345.4,4.0,1.0,1401.0,4.0,1.0,95.0
5.0,3.0,482.3,5.0,3.0,3168.0,5.0,2.0,1567.0,5.0,2.0,508.3,4.0,2.0,2460.0,4.0,2.0,310.0
5.0,4.0,385.7,5.0,4.0,2486.0,5.0,4.0,620.8,5.0,3.0,428.2,4.0,3.0,1256.0,4.0,3.0,138.5
5.0,6.0,602.2,5.0,6.0,2984.0,5.0,6.0,1012.0,5.0,6.0,267.0,4.0,6.0,1277.0,4.0,5.0,405.3
6.0,2.0,64.1,6.0,1.0,801.6,6.0,1.0,95.3,6.0,1.0,36.6,6.0,1.0,2890.0,5.0,1.0,1423.0
6.0,3.0,34.9,6.0,3.0,1153.0,6.0,2.0,309.6,6.0,2.0,104.6,6.0,2.0,4022.0,5.0,2.0,2447.0
6.0,4.0,24.5,6.0,4.0,810.0,6.0,4.0,82.5,6.0,3.0,51.3,6.0,3.0,2598.0,5.0,3.0,1573.0
6.0,5.0,311.6,6.0,5.0,2628.0,6.0,5.0,509.4,6.0,5.0,141.4,6.0,4.0,1463.0,5.0,4.0,973.7
