1,池田 雄祐,池田 雄祐.1,2,柴田 光,柴田 光.1,3,真庭 明志,真庭 明志.1,4,上田 龍星,上田 龍星.1,5,石田 政吾,石田 政吾.1,6,上原　健次郎,上原　健次郎.1
2.0,3.0,7.1,1.0,3.0,29.0,1.0,2.0,96.4,1.0,2.0,42.7,1.0,2.0,438.7,1.0,2.0,1778.0
2.0,4.0,6.5,1.0,4.0,21.1,1.0,4.0,78.8,1.0,3.0,74.6,1.0,3.0,492.5,1.0,3.0,3250.0
2.0,5.0,27.4,1.0,5.0,63.6,1.0,5.0,148.9,1.0,5.0,64.0,1.0,4.0,377.5,1.0,4.0,2128.0
2.0,6.0,60.0,1.0,6.0,134.7,1.0,6.0,321.2,1.0,6.0,141.1,1.0,6.0,723.8,1.0,5.0,3341.0
3.0,2.0,9.9,3.0,1.0,74.2,2.0,1.0,158.5,2.0,1.0,62.0,2.0,1.0,546.7,2.0,1.0,2234.0
3.0,4.0,10.7,3.0,4.0,85.2,2.0,4.0,208.9,2.0,3.0,142.5,2.0,3.0,1124.0,2.0,3.0,3724.0
3.0,5.0,25.5,3.0,5.0,173.3,2.0,5.0,322.1,2.0,5.0,114.5,2.0,4.0,627.3,2.0,4.0,1787.0
3.0,6.0,65.6,3.0,6.0,344.8,2.0,6.0,672.1,2.0,6.0,194.2,2.0,6.0,1237.0,2.0,5.0,4256.0
4.0,2.0,10.5,4.0,1.0,39.3,4.0,1.0,156.9,3.0,1.0,168.5,3.0,1.0,835.4,3.0,1.0,4526.0
4.0,3.0,14.0,4.0,3.0,76.5,4.0,2.0,234.3,3.0,2.0,237.2,3.0,2.0,1489.0,3.0,2.0,4360.0
4.0,5.0,28.0,4.0,5.0,94.0,4.0,5.0,311.4,3.0,5.0,293.8,3.0,4.0,1160.0,3.0,4.0,3250.0
4.0,6.0,58.7,4.0,6.0,154.1,4.0,6.0,629.5,3.0,6.0,484.5,3.0,6.0,2008.0,3.0,5.0,6060.0
5.0,2.0,71.7,5.0,1.0,260.8,5.0,1.0,442.5,5.0,1.0,103.8,4.0,1.0,384.8,4.0,1.0,2263.0
5.0,3.0,76.8,5.0,3.0,383.2,5.0,2.0,638.5,5.0,2.0,128.4,4.0,2.0,542.5,4.0,2.0,2352.0
5.0,4.0,75.8,5.0,4.0,291.8,5.0,4.0,698.3,5.0,3.0,249.3,4.0,3.0,743.3,4.0,3.0,3280.0
5.0,6.0,222.3,5.0,6.0,731.2,5.0,6.0,1589.0,5.0,6.0,186.0,4.0,6.0,734.2,4.0,5.0,4206.0
6.0,2.0,275.4,6.0,1.0,620.7,6.0,1.0,1138.0,6.0,1.0,286.7,6.0,1.0,1290.0,5.0,1.0,4704.0
6.0,3.0,301.9,6.0,3.0,1199.0,6.0,2.0,1787.0,6.0,2.0,448.6,6.0,2.0,2708.0,5.0,2.0,5036.0
6.0,4.0,273.5,6.0,4.0,625.1,6.0,4.0,1901.0,6.0,3.0,743.3,6.0,3.0,3280.0,5.0,3.0,4643.0
6.0,5.0,456.6,6.0,5.0,1131.0,6.0,5.0,2793.0,6.0,5.0,430.8,6.0,4.0,1761.0,5.0,4.0,5036.0
