1,池上 隆行,池上 隆行.1,2,山戸 信二,山戸 信二.1,3,垂水 悠,垂水 悠.1,4,村越 篤,村越 篤.1,5,野中 義生,野中 義生.1,6,杉田 篤光,杉田 篤光.1
2.0,3.0,71.6,1.0,3.0,163.3,1.0,2.0,91.9,1.0,2.0,95.7,1.0,2.0,281.7,1.0,2.0,611.3
2.0,4.0,62.3,1.0,4.0,126.5,1.0,4.0,29.3,1.0,3.0,51.5,1.0,3.0,185.6,1.0,3.0,495.4
2.0,5.0,126.5,1.0,5.0,254.9,1.0,5.0,45.3,1.0,5.0,60.2,1.0,4.0,194.6,1.0,4.0,484.0
2.0,6.0,88.1,1.0,6.0,135.0,1.0,6.0,48.3,1.0,6.0,37.5,1.0,6.0,161.3,1.0,5.0,768.7
3.0,2.0,66.4,3.0,1.0,167.5,2.0,1.0,130.6,2.0,1.0,165.4,2.0,1.0,435.6,2.0,1.0,1005.0
3.0,4.0,20.5,3.0,4.0,86.4,2.0,4.0,54.6,2.0,3.0,105.9,2.0,3.0,346.1,2.0,3.0,752.1
3.0,5.0,48.4,3.0,5.0,148.7,2.0,5.0,103.0,2.0,5.0,151.0,2.0,4.0,339.4,2.0,4.0,568.1
3.0,6.0,27.4,3.0,6.0,123.5,2.0,6.0,95.3,2.0,6.0,99.7,2.0,6.0,399.0,2.0,5.0,893.5
4.0,2.0,62.3,4.0,1.0,158.1,4.0,1.0,25.5,3.0,1.0,44.9,3.0,1.0,182.1,3.0,1.0,497.8
4.0,3.0,25.4,4.0,3.0,97.0,4.0,2.0,38.8,3.0,2.0,67.0,3.0,2.0,312.0,3.0,2.0,716.0
4.0,5.0,63.8,4.0,5.0,159.1,4.0,5.0,16.3,3.0,5.0,29.1,3.0,4.0,89.3,3.0,4.0,233.8
4.0,6.0,37.9,4.0,6.0,135.0,4.0,6.0,18.2,3.0,6.0,29.5,3.0,6.0,133.5,3.0,5.0,396.0
5.0,2.0,133.5,5.0,1.0,372.0,5.0,1.0,72.8,5.0,1.0,82.4,4.0,1.0,178.7,4.0,1.0,356.8
5.0,3.0,108.5,5.0,3.0,247.1,5.0,2.0,117.8,5.0,2.0,130.8,4.0,2.0,285.6,4.0,2.0,547.3
5.0,4.0,101.7,5.0,4.0,282.5,5.0,4.0,34.5,5.0,3.0,50.0,4.0,3.0,98.1,4.0,3.0,204.5
5.0,6.0,105.6,5.0,6.0,340.5,5.0,6.0,57.8,5.0,6.0,41.9,4.0,6.0,98.4,4.0,5.0,258.1
6.0,2.0,215.5,6.0,1.0,525.3,6.0,1.0,130.5,6.0,1.0,93.0,6.0,1.0,289.6,5.0,1.0,611.3
6.0,3.0,153.7,6.0,3.0,441.1,6.0,2.0,181.1,6.0,2.0,138.6,6.0,2.0,370.7,5.0,2.0,641.3
6.0,4.0,116.6,6.0,4.0,430.2,6.0,4.0,64.1,6.0,3.0,70.3,6.0,3.0,171.3,5.0,3.0,372.0
6.0,5.0,163.8,6.0,5.0,594.0,6.0,5.0,97.5,6.0,5.0,66.0,6.0,4.0,149.3,5.0,4.0,308.4
