1,小松 卓司,小松 卓司.1,2,渡辺 崇,渡辺 崇.1,3,竹井 貴史,竹井 貴史.1,4,篠原 飛翔,篠原 飛翔.1,5,田中 宏樹,田中 宏樹.1,6,小林 遼太,小林 遼太.1
2.0,3.0,24.2,1.0,3.0,60.8,1.0,2.0,23.0,1.0,2.0,153.4,1.0,2.0,86.1,1.0,2.0,389.2
2.0,4.0,48.7,1.0,4.0,114.0,1.0,4.0,15.1,1.0,3.0,109.8,1.0,3.0,50.1,1.0,3.0,249.5
2.0,5.0,68.1,1.0,5.0,129.4,1.0,5.0,20.0,1.0,5.0,158.9,1.0,4.0,87.7,1.0,4.0,588.7
2.0,6.0,129.8,1.0,6.0,224.0,1.0,6.0,44.9,1.0,6.0,263.4,1.0,6.0,66.3,1.0,5.0,314.5
3.0,2.0,14.6,3.0,1.0,93.7,2.0,1.0,59.6,2.0,1.0,253.7,2.0,1.0,138.1,2.0,1.0,546.7
3.0,4.0,14.4,3.0,4.0,139.8,2.0,4.0,68.6,2.0,3.0,232.7,2.0,3.0,127.4,2.0,3.0,566.9
3.0,5.0,21.2,3.0,5.0,205.6,2.0,5.0,102.0,2.0,5.0,422.6,2.0,4.0,225.8,2.0,4.0,769.7
3.0,6.0,46.4,3.0,6.0,305.4,2.0,6.0,165.9,2.0,6.0,454.7,2.0,6.0,124.3,2.0,5.0,546.7
4.0,2.0,60.3,4.0,1.0,250.5,4.0,1.0,27.4,3.0,1.0,94.4,3.0,1.0,49.4,3.0,1.0,308.9
4.0,3.0,33.9,4.0,3.0,202.9,4.0,2.0,46.6,3.0,2.0,169.8,3.0,2.0,89.1,3.0,2.0,443.0
4.0,5.0,82.7,4.0,5.0,357.8,4.0,5.0,28.9,3.0,5.0,97.3,3.0,4.0,69.8,3.0,4.0,413.7
4.0,6.0,146.5,4.0,6.0,476.7,4.0,6.0,48.3,3.0,6.0,165.0,3.0,6.0,58.5,3.0,5.0,284.0
5.0,2.0,88.1,5.0,1.0,306.1,5.0,1.0,43.7,5.0,1.0,183.4,4.0,1.0,137.5,4.0,1.0,850.4
5.0,3.0,59.1,5.0,3.0,342.7,5.0,2.0,84.5,5.0,2.0,316.7,4.0,2.0,213.9,4.0,2.0,998.3
5.0,4.0,94.4,5.0,4.0,504.6,5.0,4.0,44.2,5.0,3.0,163.2,4.0,3.0,121.0,4.0,3.0,536.1
5.0,6.0,165.7,5.0,6.0,612.3,5.0,6.0,70.0,5.0,6.0,267.5,4.0,6.0,178.4,4.0,5.0,678.7
6.0,2.0,227.7,6.0,1.0,553.3,6.0,1.0,129.3,6.0,1.0,405.2,6.0,1.0,66.3,5.0,1.0,262.9
6.0,3.0,162.8,6.0,3.0,606.9,6.0,2.0,201.1,6.0,2.0,548.9,6.0,2.0,80.9,5.0,2.0,293.7
6.0,4.0,264.9,6.0,4.0,787.3,6.0,4.0,104.6,6.0,3.0,323.4,6.0,3.0,54.5,5.0,3.0,202.3
6.0,5.0,235.5,6.0,5.0,740.7,6.0,5.0,126.6,6.0,5.0,356.9,6.0,4.0,125.0,5.0,4.0,360.6
