1,宇野 弥生,宇野 弥生.1,2,福山　恵里奈,福山　恵里奈.1,3,角 ひとみ,角 ひとみ.1,4,細川 裕子,細川 裕子.1,5,赤澤 文香,赤澤 文香.1,6,今井 美亜,今井 美亜.1
2.0,3.0,54.0,1.0,3.0,370.8,1.0,2.0,216.5,1.0,2.0,69.5,1.0,2.0,880.1,1.0,2.0,217.3
2.0,4.0,29.8,1.0,4.0,207.6,1.0,4.0,59.3,1.0,3.0,34.3,1.0,3.0,599.6,1.0,3.0,128.0
2.0,5.0,115.8,1.0,5.0,598.4,1.0,5.0,146.1,1.0,5.0,43.1,1.0,4.0,397.1,1.0,4.0,69.9
2.0,6.0,51.7,1.0,6.0,301.4,1.0,6.0,73.2,1.0,6.0,18.0,1.0,6.0,440.0,1.0,5.0,245.0
3.0,2.0,45.2,3.0,1.0,706.7,2.0,1.0,576.6,2.0,1.0,212.1,2.0,1.0,1485.0,2.0,1.0,554.2
3.0,4.0,9.6,3.0,4.0,728.3,2.0,4.0,562.9,2.0,3.0,441.7,2.0,3.0,1980.0,2.0,3.0,906.6
3.0,5.0,39.3,3.0,5.0,1408.0,2.0,5.0,916.9,2.0,5.0,513.7,2.0,4.0,1882.0,2.0,4.0,542.6
3.0,6.0,17.5,3.0,6.0,960.1,2.0,6.0,665.4,2.0,6.0,247.4,2.0,6.0,1876.0,2.0,5.0,1293.0
4.0,2.0,15.6,4.0,1.0,349.8,4.0,1.0,89.1,3.0,1.0,88.7,3.0,1.0,905.2,3.0,1.0,267.0
4.0,3.0,8.0,4.0,3.0,704.9,4.0,2.0,372.7,3.0,2.0,384.8,3.0,2.0,2201.0,3.0,2.0,868.0
4.0,5.0,20.3,4.0,5.0,1012.0,4.0,5.0,252.4,3.0,5.0,270.6,3.0,4.0,1216.0,3.0,4.0,272.2
4.0,6.0,6.7,4.0,6.0,427.8,4.0,6.0,108.9,3.0,6.0,107.1,3.0,6.0,1198.0,3.0,5.0,723.7
5.0,2.0,151.9,5.0,1.0,1391.0,5.0,1.0,459.9,5.0,1.0,86.8,4.0,1.0,407.6,4.0,1.0,83.3
5.0,3.0,104.2,5.0,3.0,2058.0,5.0,2.0,1332.0,5.0,2.0,335.4,4.0,2.0,1256.0,4.0,2.0,338.0
5.0,4.0,74.0,5.0,4.0,1939.0,5.0,4.0,578.4,5.0,3.0,247.9,4.0,3.0,966.6,4.0,3.0,199.4
5.0,6.0,81.5,5.0,6.0,1667.0,5.0,6.0,553.1,5.0,6.0,82.7,4.0,6.0,416.8,4.0,5.0,253.6
6.0,2.0,52.1,6.0,1.0,787.7,6.0,1.0,186.4,6.0,1.0,29.2,6.0,1.0,568.0,5.0,1.0,519.4
6.0,3.0,29.2,6.0,3.0,1394.0,6.0,2.0,668.5,6.0,2.0,138.2,6.0,2.0,1377.0,5.0,2.0,1323.0
6.0,4.0,16.9,6.0,4.0,704.9,6.0,4.0,206.0,6.0,3.0,74.6,6.0,3.0,969.9,5.0,3.0,934.9
6.0,5.0,61.7,6.0,5.0,1326.0,6.0,5.0,487.4,6.0,5.0,68.4,6.0,4.0,587.3,5.0,4.0,552.6
