1,鶴本 崇文,鶴本 崇文.1,2,梅木 敬太,梅木 敬太.1,3,村上 奈穂,村上 奈穂.1,4,後藤 翔之,後藤 翔之.1,5,香月 大輝,香月 大輝.1,6,海野　康志郎,海野　康志郎.1
2.0,3.0,61.6,1.0,3.0,174.5,1.0,2.0,409.5,1.0,2.0,51.6,1.0,2.0,1414.0,1.0,2.0,12.1
2.0,4.0,31.4,1.0,4.0,83.0,1.0,4.0,313.0,1.0,3.0,129.7,1.0,3.0,1467.0,1.0,3.0,34.6
2.0,5.0,275.9,1.0,5.0,464.5,1.0,5.0,931.6,1.0,5.0,130.9,1.0,4.0,862.6,1.0,4.0,11.3
2.0,6.0,17.9,1.0,6.0,45.9,1.0,6.0,227.3,1.0,6.0,24.2,1.0,6.0,778.1,1.0,5.0,153.6
3.0,2.0,90.5,3.0,1.0,255.9,2.0,1.0,417.9,2.0,1.0,85.3,2.0,1.0,1973.0,2.0,1.0,33.0
3.0,4.0,91.7,3.0,4.0,239.7,2.0,4.0,403.4,2.0,3.0,222.5,2.0,3.0,1930.0,2.0,3.0,97.3
3.0,5.0,290.1,3.0,5.0,803.1,2.0,5.0,1006.0,2.0,5.0,300.4,2.0,4.0,1449.0,2.0,4.0,46.7
3.0,6.0,63.2,3.0,6.0,220.4,2.0,6.0,330.5,2.0,6.0,67.3,2.0,6.0,1243.0,2.0,5.0,390.7
4.0,2.0,34.0,4.0,1.0,112.4,4.0,1.0,285.2,3.0,1.0,205.5,3.0,1.0,1898.0,3.0,1.0,128.0
4.0,3.0,78.7,4.0,3.0,214.4,4.0,2.0,364.6,3.0,2.0,281.5,3.0,2.0,2313.0,3.0,2.0,174.5
4.0,5.0,212.5,4.0,5.0,472.1,4.0,5.0,702.9,3.0,5.0,425.0,3.0,4.0,1985.0,3.0,4.0,151.9
4.0,6.0,14.2,4.0,6.0,89.6,4.0,6.0,232.4,3.0,6.0,164.1,3.0,6.0,2092.0,3.0,5.0,781.5
5.0,2.0,645.7,5.0,1.0,1230.0,5.0,1.0,1414.0,5.0,1.0,179.0,4.0,1.0,751.3,4.0,1.0,28.8
5.0,3.0,604.4,5.0,3.0,1313.0,5.0,2.0,1426.0,5.0,2.0,263.4,4.0,2.0,1024.0,4.0,2.0,46.1
5.0,4.0,539.1,5.0,4.0,1081.0,5.0,4.0,1364.0,5.0,3.0,355.0,4.0,3.0,1364.0,4.0,3.0,96.5
5.0,6.0,399.2,5.0,6.0,941.7,5.0,6.0,1156.0,5.0,6.0,153.0,4.0,6.0,564.4,4.0,5.0,210.5
6.0,2.0,8.6,6.0,1.0,51.2,6.0,1.0,262.8,6.0,1.0,26.2,6.0,1.0,891.2,5.0,1.0,565.3
6.0,3.0,25.2,6.0,3.0,164.4,6.0,2.0,318.4,6.0,2.0,45.1,6.0,2.0,1386.0,5.0,2.0,776.3
6.0,4.0,8.7,6.0,4.0,64.2,6.0,4.0,301.1,6.0,3.0,117.4,6.0,3.0,1687.0,5.0,3.0,1006.0
6.0,5.0,129.3,6.0,5.0,510.7,6.0,5.0,850.0,6.0,5.0,121.1,6.0,4.0,732.4,5.0,4.0,580.3
