1,池田 紫乃,池田 紫乃.1,2,犬童 千秋,犬童 千秋.1,3,奥村　明日香,奥村　明日香.1,4,山下 友貴,山下 友貴.1,5,伊藤 玲奈,伊藤 玲奈.1,6,福島 陽子,福島 陽子.1
2.0,3.0,6.7,1.0,3.0,19.4,1.0,2.0,44.1,1.0,2.0,98.1,1.0,2.0,159.2,1.0,2.0,413.0
2.0,4.0,8.2,1.0,4.0,21.0,1.0,4.0,68.4,1.0,3.0,213.7,1.0,3.0,213.4,1.0,3.0,848.2
2.0,5.0,13.3,1.0,5.0,34.3,1.0,5.0,63.2,1.0,5.0,246.7,1.0,4.0,363.8,1.0,4.0,933.1
2.0,6.0,33.5,1.0,6.0,62.6,1.0,6.0,149.3,1.0,6.0,302.7,1.0,6.0,278.7,1.0,5.0,1183.0
3.0,2.0,11.0,3.0,1.0,52.4,2.0,1.0,67.5,2.0,1.0,132.9,2.0,1.0,224.3,2.0,1.0,434.5
3.0,4.0,18.4,3.0,4.0,103.6,2.0,4.0,113.8,2.0,3.0,314.7,2.0,3.0,388.7,2.0,3.0,1093.0
3.0,5.0,20.6,3.0,5.0,114.7,2.0,5.0,102.4,2.0,5.0,353.2,2.0,4.0,453.2,2.0,4.0,901.2
3.0,6.0,54.6,3.0,6.0,205.4,2.0,6.0,231.9,2.0,6.0,358.8,2.0,6.0,446.8,2.0,5.0,1249.0
4.0,2.0,18.1,4.0,1.0,70.2,4.0,1.0,143.2,3.0,1.0,362.1,3.0,1.0,342.6,3.0,1.0,906.4
4.0,3.0,30.1,4.0,3.0,143.4,4.0,2.0,169.8,3.0,2.0,414.1,3.0,2.0,470.7,3.0,2.0,1321.0
4.0,5.0,45.7,4.0,5.0,174.5,4.0,5.0,196.5,3.0,5.0,619.6,3.0,4.0,708.1,3.0,4.0,1117.0
4.0,6.0,80.1,4.0,6.0,215.8,4.0,6.0,355.6,3.0,6.0,813.4,3.0,6.0,734.3,3.0,5.0,1540.0
5.0,2.0,30.9,5.0,1.0,143.4,5.0,1.0,110.0,5.0,1.0,440.6,4.0,1.0,660.9,4.0,1.0,1525.0
5.0,3.0,42.5,5.0,3.0,231.2,5.0,2.0,142.2,5.0,2.0,505.1,4.0,2.0,626.9,4.0,2.0,1071.0
5.0,4.0,67.2,5.0,4.0,252.5,5.0,4.0,197.2,5.0,3.0,714.5,4.0,3.0,991.4,4.0,3.0,1958.0
5.0,6.0,114.0,5.0,6.0,301.0,5.0,6.0,287.3,5.0,6.0,686.7,4.0,6.0,1057.0,4.0,5.0,2266.0
6.0,2.0,119.6,6.0,1.0,220.0,6.0,1.0,371.4,6.0,1.0,789.1,6.0,1.0,610.1,5.0,1.0,1310.0
6.0,3.0,188.6,6.0,3.0,494.1,6.0,2.0,488.0,6.0,2.0,721.0,6.0,2.0,762.6,5.0,2.0,1618.0
6.0,4.0,222.1,6.0,4.0,420.7,6.0,4.0,596.3,6.0,3.0,927.6,6.0,3.0,1036.0,5.0,3.0,1934.0
6.0,5.0,231.5,6.0,5.0,500.4,6.0,5.0,523.5,6.0,5.0,1064.0,6.0,4.0,1300.0,5.0,4.0,1802.0
