1,小川　日紀太,小川　日紀太.1,2,中川 りな,中川 りな.1,3,片岡 大地,片岡 大地.1,4,野相 弘司,野相 弘司.1,5,藤山 雅弘,藤山 雅弘.1,6,金子 拓矢,金子 拓矢.1
2.0,3.0,19.3,1.0,3.0,37.9,1.0,2.0,122.6,1.0,2.0,220.8,1.0,2.0,213.3,1.0,2.0,32.7
2.0,4.0,23.1,1.0,4.0,39.9,1.0,4.0,166.8,1.0,3.0,343.9,1.0,3.0,375.2,1.0,3.0,91.0
2.0,5.0,26.4,1.0,5.0,42.3,1.0,5.0,176.6,1.0,5.0,302.2,1.0,4.0,417.5,1.0,4.0,105.7
2.0,6.0,11.4,1.0,6.0,15.9,1.0,6.0,82.4,1.0,6.0,175.7,1.0,6.0,171.7,1.0,5.0,116.6
3.0,2.0,31.7,3.0,1.0,85.9,2.0,1.0,153.5,2.0,1.0,274.6,2.0,1.0,260.7,2.0,1.0,35.4
3.0,4.0,50.0,3.0,4.0,149.2,2.0,4.0,145.0,2.0,3.0,472.1,2.0,3.0,537.0,2.0,3.0,109.4
3.0,5.0,61.6,3.0,5.0,167.2,2.0,5.0,234.5,2.0,5.0,401.2,2.0,4.0,584.8,2.0,4.0,110.2
3.0,6.0,29.3,3.0,6.0,77.8,2.0,6.0,79.6,2.0,6.0,184.0,2.0,6.0,166.4,2.0,5.0,106.6
4.0,2.0,49.7,4.0,1.0,94.8,4.0,1.0,256.6,3.0,1.0,439.1,3.0,1.0,577.8,3.0,1.0,132.0
4.0,3.0,69.7,4.0,3.0,164.7,4.0,2.0,259.3,3.0,2.0,418.7,3.0,2.0,662.6,3.0,2.0,169.9
4.0,5.0,102.3,4.0,5.0,182.8,4.0,5.0,308.0,3.0,5.0,483.1,3.0,4.0,708.1,3.0,4.0,254.3
4.0,6.0,41.3,4.0,6.0,72.3,4.0,6.0,163.2,3.0,6.0,294.2,3.0,6.0,318.2,3.0,5.0,284.3
5.0,2.0,57.3,5.0,1.0,107.9,5.0,1.0,339.9,5.0,1.0,400.1,4.0,1.0,592.0,4.0,1.0,243.2
5.0,3.0,104.7,5.0,3.0,239.9,5.0,2.0,358.4,5.0,2.0,413.9,4.0,2.0,543.1,4.0,2.0,198.9
5.0,4.0,123.5,5.0,4.0,254.3,5.0,4.0,393.6,5.0,3.0,571.0,4.0,3.0,671.9,4.0,3.0,371.3
5.0,6.0,47.6,5.0,6.0,87.5,5.0,6.0,183.3,5.0,6.0,226.0,4.0,6.0,297.8,4.0,5.0,287.7
6.0,2.0,17.8,6.0,1.0,26.3,6.0,1.0,82.0,6.0,1.0,204.3,6.0,1.0,188.1,5.0,1.0,188.3
6.0,3.0,34.3,6.0,3.0,75.5,6.0,2.0,91.4,6.0,2.0,181.4,6.0,2.0,183.5,5.0,2.0,187.1
6.0,4.0,39.3,6.0,4.0,65.1,6.0,4.0,109.1,6.0,3.0,321.0,6.0,3.0,282.7,5.0,3.0,302.2
6.0,5.0,43.6,6.0,5.0,60.9,6.0,5.0,182.4,6.0,5.0,260.7,6.0,4.0,273.6,5.0,4.0,279.4
