1,木村 光宏,木村 光宏.1,2,田中 辰彦,田中 辰彦.1,3,吉村 正明,吉村 正明.1,4,小林 京平,小林 京平.1,5,林 恵祐,林 恵祐.1,6,山室 展弘,山室 展弘.1
2.0,3.0,18.2,1.0,3.0,13.9,1.0,2.0,28.8,1.0,2.0,380.8,1.0,2.0,676.3,1.0,2.0,49.4
2.0,4.0,84.5,1.0,4.0,69.9,1.0,4.0,128.6,1.0,3.0,481.3,1.0,3.0,348.7,1.0,3.0,58.0
2.0,5.0,98.5,1.0,5.0,69.8,1.0,5.0,64.9,1.0,5.0,792.5,1.0,4.0,761.7,1.0,4.0,187.6
2.0,6.0,20.6,1.0,6.0,14.2,1.0,6.0,47.0,1.0,6.0,552.5,1.0,6.0,776.8,1.0,5.0,236.3
3.0,2.0,28.7,3.0,1.0,21.8,2.0,1.0,28.4,2.0,1.0,371.8,2.0,1.0,598.9,2.0,1.0,52.2
3.0,4.0,102.0,3.0,4.0,56.0,2.0,4.0,48.2,2.0,3.0,251.4,2.0,3.0,375.3,2.0,3.0,37.5
3.0,5.0,91.2,3.0,5.0,55.2,2.0,5.0,67.4,2.0,5.0,478.3,2.0,4.0,659.3,2.0,4.0,133.2
3.0,6.0,44.8,3.0,6.0,19.8,2.0,6.0,19.2,2.0,6.0,222.8,2.0,6.0,472.6,2.0,5.0,176.3
4.0,2.0,214.9,4.0,1.0,146.3,4.0,1.0,144.4,3.0,1.0,448.3,3.0,1.0,301.7,3.0,1.0,72.1
4.0,3.0,257.2,4.0,3.0,107.1,4.0,2.0,62.2,3.0,2.0,305.2,3.0,2.0,312.5,3.0,2.0,47.4
4.0,5.0,469.8,4.0,5.0,194.6,4.0,5.0,139.6,3.0,5.0,344.1,3.0,4.0,419.5,3.0,4.0,135.0
4.0,6.0,398.2,4.0,6.0,105.5,4.0,6.0,132.9,3.0,6.0,366.6,3.0,6.0,490.3,3.0,5.0,157.5
5.0,2.0,251.4,5.0,1.0,204.3,5.0,1.0,102.6,5.0,1.0,834.6,4.0,1.0,834.6,4.0,1.0,302.9
5.0,3.0,230.0,5.0,3.0,154.1,5.0,2.0,94.4,5.0,2.0,726.4,4.0,2.0,706.8,4.0,2.0,215.5
5.0,4.0,456.1,5.0,4.0,298.3,5.0,4.0,123.3,5.0,3.0,512.7,4.0,3.0,627.6,4.0,3.0,244.4
5.0,6.0,496.5,5.0,6.0,176.7,5.0,6.0,125.3,5.0,6.0,700.5,4.0,6.0,817.2,4.0,5.0,637.8
6.0,2.0,39.2,6.0,1.0,30.9,6.0,1.0,72.5,6.0,1.0,740.1,6.0,1.0,733.2,5.0,1.0,404.4
6.0,3.0,43.7,6.0,3.0,23.7,6.0,2.0,38.4,6.0,2.0,388.4,6.0,2.0,541.0,5.0,2.0,316.3
6.0,4.0,172.8,6.0,4.0,72.5,6.0,4.0,121.0,6.0,3.0,461.5,6.0,3.0,627.6,5.0,3.0,320.2
6.0,5.0,211.4,6.0,5.0,101.8,6.0,5.0,119.2,6.0,5.0,871.7,6.0,4.0,808.8,5.0,4.0,560.4
