1,宮崎 奨,宮崎 奨.1,2,井川 大作,井川 大作.1,3,小野 信樹,小野 信樹.1,4,松尾 昂明,松尾 昂明.1,5,門間 雄大,門間 雄大.1,6,大西 隆洋,大西 隆洋.1
2.0,3.0,29.3,1.0,3.0,337.7,1.0,2.0,327.6,1.0,2.0,33.0,1.0,2.0,151.1,1.0,2.0,851.1
2.0,4.0,10.9,1.0,4.0,178.1,1.0,4.0,158.1,1.0,3.0,51.7,1.0,3.0,236.5,1.0,3.0,1188.0
2.0,5.0,26.6,1.0,5.0,330.7,1.0,5.0,263.1,1.0,5.0,15.1,1.0,4.0,75.5,1.0,4.0,561.9
2.0,6.0,57.9,1.0,6.0,502.0,1.0,6.0,542.8,1.0,6.0,27.2,1.0,6.0,124.1,1.0,5.0,832.4
3.0,2.0,37.2,3.0,1.0,720.8,2.0,1.0,661.9,2.0,1.0,110.4,2.0,1.0,410.0,2.0,1.0,1412.0
3.0,4.0,17.5,3.0,4.0,1203.0,2.0,4.0,952.7,2.0,3.0,389.9,2.0,3.0,1058.0,2.0,3.0,3052.0
3.0,5.0,37.5,3.0,5.0,1880.0,2.0,5.0,1248.0,2.0,5.0,156.5,2.0,4.0,583.1,2.0,4.0,2159.0
3.0,6.0,66.5,3.0,6.0,2086.0,2.0,6.0,1507.0,2.0,6.0,241.0,2.0,6.0,732.5,2.0,5.0,2575.0
4.0,2.0,7.8,4.0,1.0,316.9,4.0,1.0,275.6,3.0,1.0,137.2,3.0,1.0,770.2,3.0,1.0,2026.0
4.0,3.0,13.6,4.0,3.0,1194.0,4.0,2.0,879.8,3.0,2.0,519.9,3.0,2.0,1916.0,3.0,2.0,3507.0
4.0,5.0,7.2,4.0,5.0,698.4,4.0,5.0,530.0,3.0,5.0,257.1,3.0,4.0,1354.0,3.0,4.0,2077.0
4.0,6.0,15.2,4.0,6.0,1096.0,4.0,6.0,890.9,3.0,6.0,504.0,3.0,6.0,1735.0,3.0,5.0,3210.0
5.0,2.0,40.7,5.0,1.0,824.1,5.0,1.0,900.7,5.0,1.0,23.3,4.0,1.0,80.7,4.0,1.0,597.2
5.0,3.0,55.0,5.0,3.0,2104.0,5.0,2.0,1579.0,5.0,2.0,74.2,4.0,2.0,210.2,4.0,2.0,1564.0
5.0,4.0,21.3,5.0,4.0,1072.0,5.0,4.0,1041.0,5.0,3.0,156.4,4.0,3.0,429.2,4.0,3.0,2077.0
5.0,6.0,49.1,5.0,6.0,1579.0,5.0,6.0,1648.0,5.0,6.0,33.9,4.0,6.0,113.7,4.0,5.0,709.4
6.0,2.0,113.6,6.0,1.0,1484.0,6.0,1.0,1389.0,6.0,1.0,59.9,6.0,1.0,286.6,5.0,1.0,1086.0
6.0,3.0,168.0,6.0,3.0,3149.0,6.0,2.0,2961.0,6.0,2.0,178.8,6.0,2.0,719.7,5.0,2.0,2472.0
6.0,4.0,65.7,6.0,4.0,2247.0,6.0,4.0,1852.0,6.0,3.0,363.0,6.0,3.0,1191.0,5.0,3.0,2702.0
6.0,5.0,110.1,6.0,5.0,2149.0,6.0,5.0,2237.0,6.0,5.0,78.6,6.0,4.0,288.6,5.0,4.0,859.9
