1,室田 泰史,室田 泰史.1,2,木山 誠一,木山 誠一.1,3,宮崎 奨,宮崎 奨.1,4,船越 健吾,船越 健吾.1,5,藤丸 光一,藤丸 光一.1,6,深川 和仁,深川 和仁.1
2.0,3.0,31.5,1.0,3.0,81.7,1.0,2.0,41.5,1.0,2.0,416.8,1.0,2.0,165.3,1.0,2.0,244.9
2.0,4.0,101.7,1.0,4.0,179.0,1.0,4.0,34.5,1.0,3.0,165.1,1.0,3.0,53.5,1.0,3.0,100.8
2.0,5.0,61.6,1.0,5.0,168.2,1.0,5.0,19.5,1.0,5.0,306.0,1.0,4.0,199.6,1.0,4.0,280.4
2.0,6.0,84.6,1.0,6.0,155.5,1.0,6.0,21.1,1.0,6.0,277.9,1.0,6.0,143.8,1.0,5.0,194.9
3.0,2.0,22.7,3.0,1.0,76.4,2.0,1.0,68.7,2.0,1.0,561.7,2.0,1.0,348.6,2.0,1.0,448.1
3.0,4.0,25.3,3.0,4.0,80.8,2.0,4.0,66.8,2.0,3.0,364.9,2.0,3.0,261.2,2.0,3.0,257.5
3.0,5.0,13.7,3.0,5.0,118.4,2.0,5.0,97.5,2.0,5.0,768.2,2.0,4.0,678.0,2.0,4.0,640.3
3.0,6.0,19.2,3.0,6.0,60.3,2.0,6.0,47.7,2.0,6.0,430.4,2.0,6.0,462.7,2.0,5.0,568.1
4.0,2.0,138.9,4.0,1.0,296.0,4.0,1.0,44.4,3.0,1.0,176.1,3.0,1.0,81.7,3.0,1.0,94.5
4.0,3.0,64.2,4.0,3.0,169.4,4.0,2.0,73.2,3.0,2.0,273.9,3.0,2.0,211.1,3.0,2.0,165.7
4.0,5.0,118.1,4.0,5.0,414.3,4.0,5.0,62.1,3.0,5.0,226.4,3.0,4.0,200.6,3.0,4.0,119.6
4.0,6.0,116.3,4.0,6.0,225.6,4.0,6.0,28.9,3.0,6.0,122.7,3.0,6.0,120.0,3.0,5.0,121.7
5.0,2.0,50.4,5.0,1.0,336.3,5.0,1.0,40.2,5.0,1.0,527.5,4.0,1.0,521.0,4.0,1.0,382.2
5.0,3.0,18.7,5.0,3.0,221.9,5.0,2.0,107.9,5.0,2.0,994.4,4.0,2.0,1047.0,4.0,2.0,550.6
5.0,4.0,72.3,5.0,4.0,560.6,5.0,4.0,82.7,5.0,3.0,372.5,4.0,3.0,385.4,4.0,3.0,187.5
5.0,6.0,55.1,5.0,6.0,401.9,5.0,6.0,45.5,5.0,6.0,537.2,4.0,6.0,580.6,4.0,5.0,515.7
6.0,2.0,120.1,6.0,1.0,236.5,6.0,1.0,25.5,6.0,1.0,297.9,6.0,1.0,297.1,5.0,1.0,348.8
6.0,3.0,49.7,6.0,3.0,134.8,6.0,2.0,50.3,6.0,2.0,454.7,6.0,2.0,558.3,5.0,2.0,548.4
6.0,4.0,136.0,6.0,4.0,282.1,6.0,4.0,30.4,6.0,3.0,179.7,6.0,3.0,189.7,5.0,3.0,205.7
6.0,5.0,92.7,6.0,5.0,364.1,6.0,5.0,35.8,6.0,5.0,456.2,6.0,4.0,562.3,5.0,4.0,557.2
