1,西野 翔太,西野 翔太.1,2,岡 祐臣,岡 祐臣.1,3,松本 庸平,松本 庸平.1,4,鈴木 雅希,鈴木 雅希.1,5,野田部　宏子,野田部　宏子.1,6,増本 杏珠,増本 杏珠.1
2.0,3.0,8.7,1.0,3.0,23.5,1.0,2.0,160.8,1.0,2.0,17.4,1.0,2.0,155.8,1.0,2.0,2095.0
2.0,4.0,4.7,1.0,4.0,11.4,1.0,4.0,174.3,1.0,3.0,57.1,1.0,3.0,329.8,1.0,3.0,3238.0
2.0,5.0,21.8,1.0,5.0,31.7,1.0,5.0,243.1,1.0,5.0,36.4,1.0,4.0,160.0,1.0,4.0,2849.0
2.0,6.0,187.2,1.0,6.0,358.8,1.0,6.0,770.1,1.0,6.0,278.2,1.0,6.0,901.7,1.0,5.0,4190.0
3.0,2.0,21.4,3.0,1.0,76.6,2.0,1.0,216.8,2.0,1.0,21.8,2.0,1.0,212.6,2.0,1.0,2793.0
3.0,4.0,35.7,3.0,4.0,87.4,2.0,4.0,206.1,2.0,3.0,63.3,2.0,3.0,510.6,2.0,3.0,4317.0
3.0,5.0,73.7,3.0,5.0,163.5,2.0,5.0,373.9,2.0,5.0,41.3,2.0,4.0,176.5,2.0,4.0,2590.0
3.0,6.0,527.6,3.0,6.0,1071.0,2.0,6.0,1850.0,2.0,6.0,360.6,2.0,6.0,1071.0,2.0,5.0,4190.0
4.0,2.0,10.6,4.0,1.0,24.6,4.0,1.0,301.8,3.0,1.0,145.8,3.0,1.0,593.6,3.0,1.0,3313.0
4.0,3.0,29.7,4.0,3.0,57.5,4.0,2.0,254.8,3.0,2.0,139.6,3.0,2.0,719.5,3.0,2.0,4317.0
4.0,5.0,33.6,4.0,5.0,46.4,4.0,5.0,431.7,3.0,5.0,282.6,3.0,4.0,913.3,3.0,4.0,4749.0
4.0,6.0,346.6,4.0,6.0,404.7,4.0,6.0,1978.0,3.0,6.0,1187.0,3.0,6.0,2968.0,3.0,5.0,6476.0
5.0,2.0,61.9,5.0,1.0,114.9,5.0,1.0,525.7,5.0,1.0,51.2,4.0,1.0,200.9,4.0,1.0,3313.0
5.0,3.0,141.9,5.0,3.0,224.0,5.0,2.0,558.7,5.0,2.0,50.1,4.0,2.0,172.9,4.0,2.0,3392.0
5.0,4.0,89.3,5.0,4.0,126.4,5.0,4.0,563.1,5.0,3.0,196.5,4.0,3.0,508.8,4.0,3.0,6784.0
5.0,6.0,753.8,5.0,6.0,969.2,5.0,6.0,2035.0,5.0,6.0,419.0,4.0,6.0,949.8,4.0,5.0,4317.0
6.0,2.0,890.4,6.0,1.0,1758.0,6.0,1.0,3097.0,6.0,1.0,749.8,6.0,1.0,1925.0,5.0,1.0,5936.0
6.0,3.0,1439.0,6.0,3.0,2261.0,6.0,2.0,3166.0,6.0,2.0,1003.0,6.0,2.0,2035.0,5.0,2.0,4912.0
6.0,4.0,1565.0,6.0,4.0,1468.0,6.0,4.0,3957.0,6.0,3.0,2374.0,6.0,3.0,3475.0,5.0,3.0,2095.0
6.0,5.0,1424.0,6.0,5.0,1925.0,6.0,5.0,4070.0,6.0,5.0,1453.0,6.0,4.0,2739.0,5.0,4.0,5479.0
