1,井口 佳典,井口 佳典.1,2,羽野 直也,羽野 直也.1,3,春園 功太,春園 功太.1,4,佐藤 翼,佐藤 翼.1,5,岡村 慶太,岡村 慶太.1,6,下條　雄太郎,下條　雄太郎.1
2.0,3.0,18.7,1.0,3.0,89.8,1.0,2.0,249.9,1.0,2.0,54.3,1.0,2.0,192.0,1.0,2.0,240.3
2.0,4.0,7.3,1.0,4.0,36.0,1.0,4.0,228.6,1.0,3.0,171.6,1.0,3.0,447.1,1.0,3.0,490.5
2.0,5.0,16.9,1.0,5.0,71.0,1.0,5.0,329.5,1.0,5.0,59.3,1.0,4.0,163.8,1.0,4.0,191.0
2.0,6.0,15.4,1.0,6.0,56.2,1.0,6.0,312.9,1.0,6.0,45.7,1.0,6.0,163.9,1.0,5.0,440.4
3.0,2.0,31.8,3.0,1.0,292.5,2.0,1.0,459.1,2.0,1.0,95.7,2.0,1.0,395.3,2.0,1.0,380.0
3.0,4.0,29.5,3.0,4.0,293.3,2.0,4.0,490.2,2.0,3.0,374.4,2.0,3.0,999.6,2.0,3.0,1158.0
3.0,5.0,49.9,3.0,5.0,358.6,2.0,5.0,607.5,2.0,5.0,131.2,2.0,4.0,382.9,2.0,4.0,353.7
3.0,6.0,47.1,3.0,6.0,343.2,2.0,6.0,568.5,2.0,6.0,102.3,2.0,6.0,361.4,2.0,5.0,796.0
4.0,2.0,9.5,4.0,1.0,87.0,4.0,1.0,459.1,3.0,1.0,428.5,3.0,1.0,1259.0,3.0,1.0,1314.0
4.0,3.0,27.5,4.0,3.0,249.9,4.0,2.0,681.4,3.0,2.0,602.9,3.0,2.0,1858.0,3.0,2.0,1797.0
4.0,5.0,17.2,4.0,5.0,160.5,4.0,5.0,798.2,3.0,5.0,672.8,3.0,4.0,1719.0,3.0,4.0,1592.0
4.0,6.0,13.2,4.0,6.0,109.9,4.0,6.0,670.9,3.0,6.0,484.6,3.0,6.0,1631.0,3.0,5.0,2367.0
5.0,2.0,34.7,5.0,1.0,269.7,5.0,1.0,863.0,5.0,1.0,70.7,4.0,1.0,166.5,4.0,1.0,218.3
5.0,3.0,71.9,5.0,3.0,552.5,5.0,2.0,1423.0,5.0,2.0,96.2,4.0,2.0,209.8,4.0,2.0,302.1
5.0,4.0,36.8,5.0,4.0,294.7,5.0,4.0,1312.0,5.0,3.0,384.5,4.0,3.0,815.0,4.0,3.0,901.5
5.0,6.0,43.7,5.0,6.0,314.4,5.0,6.0,1271.0,5.0,6.0,59.4,4.0,6.0,118.4,4.0,5.0,259.0
6.0,2.0,40.5,6.0,1.0,233.6,6.0,1.0,890.3,6.0,1.0,66.0,6.0,1.0,310.6,5.0,1.0,674.7
6.0,3.0,84.4,6.0,3.0,673.7,6.0,2.0,1343.0,6.0,2.0,88.4,6.0,2.0,439.8,5.0,2.0,849.2
6.0,4.0,36.0,6.0,4.0,240.5,6.0,4.0,1200.0,6.0,3.0,329.8,6.0,3.0,1094.0,5.0,3.0,1628.0
6.0,5.0,66.6,6.0,5.0,426.5,6.0,5.0,1615.0,6.0,5.0,73.1,6.0,4.0,209.6,5.0,4.0,359.3
