1,登玉 隼百,登玉 隼百.1,2,佐藤 右京,佐藤 右京.1,3,高山 敬悟,高山 敬悟.1,4,畑田 汰一,畑田 汰一.1,5,津田 陸翔,津田 陸翔.1,6,村松 栄太,村松 栄太.1
2.0,3.0,70.8,1.0,3.0,239.6,1.0,2.0,465.0,1.0,2.0,39.9,1.0,2.0,68.2,1.0,2.0,1082.0
2.0,4.0,27.6,1.0,4.0,101.3,1.0,4.0,315.5,1.0,3.0,63.9,1.0,3.0,166.5,1.0,3.0,1906.0
2.0,5.0,33.8,1.0,5.0,102.3,1.0,5.0,371.2,1.0,5.0,10.1,1.0,4.0,25.9,1.0,4.0,646.6
2.0,6.0,120.2,1.0,6.0,331.4,1.0,6.0,878.9,1.0,6.0,37.8,1.0,6.0,62.3,1.0,5.0,662.3
3.0,2.0,108.3,3.0,1.0,498.2,2.0,1.0,625.6,2.0,1.0,103.3,2.0,1.0,124.4,2.0,1.0,1497.0
3.0,4.0,53.1,3.0,4.0,793.8,2.0,4.0,720.5,2.0,3.0,346.5,2.0,3.0,495.2,2.0,3.0,2215.0
3.0,5.0,70.3,3.0,5.0,834.2,2.0,5.0,961.4,2.0,5.0,74.9,2.0,4.0,122.3,2.0,4.0,1407.0
3.0,6.0,179.9,3.0,6.0,1483.0,2.0,6.0,1639.0,2.0,6.0,184.7,2.0,6.0,208.5,2.0,5.0,1321.0
4.0,2.0,17.3,4.0,1.0,139.6,4.0,1.0,394.5,3.0,1.0,268.5,3.0,1.0,470.3,3.0,1.0,2446.0
4.0,3.0,31.1,4.0,3.0,505.9,4.0,2.0,743.4,3.0,2.0,568.1,3.0,2.0,898.2,3.0,2.0,2521.0
4.0,5.0,7.2,4.0,5.0,125.8,4.0,5.0,324.2,3.0,5.0,194.1,3.0,4.0,368.3,3.0,4.0,2341.0
4.0,6.0,27.5,4.0,6.0,454.7,4.0,6.0,775.0,3.0,6.0,404.7,3.0,6.0,673.2,3.0,5.0,2308.0
5.0,2.0,30.8,5.0,1.0,168.0,5.0,1.0,595.0,5.0,1.0,10.9,4.0,1.0,23.4,4.0,1.0,642.8
5.0,3.0,64.6,5.0,3.0,685.8,5.0,2.0,1021.0,5.0,2.0,31.4,4.0,2.0,57.5,4.0,2.0,1142.0
5.0,4.0,14.0,5.0,4.0,179.7,5.0,4.0,463.0,5.0,3.0,71.6,4.0,3.0,161.5,4.0,3.0,1939.0
5.0,6.0,43.8,5.0,6.0,480.7,5.0,6.0,1285.0,5.0,6.0,18.7,4.0,6.0,38.1,4.0,5.0,449.7
6.0,2.0,248.1,6.0,1.0,1078.0,6.0,1.0,1895.0,6.0,1.0,103.2,6.0,1.0,147.1,5.0,1.0,655.7
6.0,3.0,303.2,6.0,3.0,2061.0,6.0,2.0,2875.0,6.0,2.0,188.2,6.0,2.0,272.0,5.0,2.0,1100.0
6.0,4.0,121.4,6.0,4.0,1150.0,6.0,4.0,1801.0,6.0,3.0,448.4,6.0,3.0,509.8,5.0,3.0,1852.0
6.0,5.0,122.9,6.0,5.0,1030.0,6.0,5.0,2061.0,6.0,5.0,76.1,6.0,4.0,122.5,5.0,4.0,450.3
