1,渡邉 雄朗,渡邉 雄朗.1,2,上原 崚,上原 崚.1,3,栗原 直也,栗原 直也.1,4,大島　隆乃介,大島　隆乃介.1,5,山下 夏鈴,山下 夏鈴.1,6,宇土 泰就,宇土 泰就.1
2.0,3.0,6.4,1.0,3.0,54.3,1.0,2.0,157.4,1.0,2.0,76.3,1.0,2.0,62.1,1.0,2.0,469.9
2.0,4.0,6.6,1.0,4.0,48.0,1.0,4.0,169.9,1.0,3.0,166.7,1.0,3.0,118.8,1.0,3.0,1361.0
2.0,5.0,11.6,1.0,5.0,64.4,1.0,5.0,211.7,1.0,5.0,74.0,1.0,4.0,80.9,1.0,4.0,1181.0
2.0,6.0,43.9,1.0,6.0,170.0,1.0,6.0,435.5,1.0,6.0,169.7,1.0,6.0,96.1,1.0,5.0,535.4
3.0,2.0,12.5,3.0,1.0,174.9,2.0,1.0,254.0,2.0,1.0,153.9,2.0,1.0,135.2,2.0,1.0,716.0
3.0,4.0,16.7,3.0,4.0,291.0,2.0,4.0,392.7,2.0,3.0,372.5,2.0,3.0,376.2,2.0,3.0,2663.0
3.0,5.0,24.2,3.0,5.0,502.6,2.0,5.0,592.9,2.0,5.0,320.2,2.0,4.0,280.0,2.0,4.0,1897.0
3.0,6.0,64.0,3.0,6.0,1011.0,2.0,6.0,914.4,2.0,6.0,499.3,2.0,6.0,345.3,2.0,5.0,1897.0
4.0,2.0,10.9,4.0,1.0,147.6,4.0,1.0,332.8,3.0,1.0,442.5,3.0,1.0,342.6,3.0,1.0,2409.0
4.0,3.0,22.1,4.0,3.0,293.0,4.0,2.0,524.3,3.0,2.0,652.9,3.0,2.0,632.4,3.0,2.0,3299.0
4.0,5.0,16.6,4.0,5.0,385.7,4.0,5.0,661.4,3.0,5.0,840.9,3.0,4.0,591.8,3.0,4.0,3336.0
4.0,6.0,52.1,4.0,6.0,766.6,4.0,6.0,992.1,3.0,6.0,1259.0,3.0,6.0,794.7,3.0,5.0,3571.0
5.0,2.0,20.0,5.0,1.0,193.3,5.0,1.0,481.1,5.0,1.0,119.4,4.0,1.0,155.9,4.0,1.0,1715.0
5.0,3.0,34.5,5.0,3.0,582.7,5.0,2.0,882.5,5.0,2.0,231.2,4.0,2.0,304.2,4.0,2.0,2353.0
5.0,4.0,28.1,5.0,4.0,437.4,5.0,4.0,770.5,5.0,3.0,458.6,4.0,3.0,540.2,4.0,3.0,3264.0
5.0,6.0,45.9,5.0,6.0,728.0,5.0,6.0,1132.0,5.0,6.0,221.6,4.0,6.0,359.7,4.0,5.0,2232.0
6.0,2.0,125.7,6.0,1.0,818.3,6.0,1.0,1418.0,6.0,1.0,377.6,6.0,1.0,181.9,5.0,1.0,601.1
6.0,3.0,155.8,6.0,3.0,1921.0,6.0,2.0,2093.0,6.0,2.0,567.4,6.0,2.0,306.3,5.0,2.0,1632.0
6.0,4.0,174.4,6.0,4.0,1432.0,6.0,4.0,1828.0,6.0,3.0,1029.0,6.0,3.0,530.7,5.0,3.0,2551.0
6.0,5.0,117.2,6.0,5.0,1355.0,6.0,5.0,1862.0,6.0,5.0,422.2,6.0,4.0,399.4,5.0,4.0,1851.0
