1,川口 貴久,川口 貴久.1,2,荒井 輝年,荒井 輝年.1,3,百武 翔,百武 翔.1,4,金子 貴志,金子 貴志.1,5,間野 兼礼,間野 兼礼.1,6,柘植 政浩,柘植 政浩.1
2.0,3.0,10.0,1.0,3.0,13.0,1.0,2.0,38.7,1.0,2.0,130.0,1.0,2.0,113.8,1.0,2.0,363.3
2.0,4.0,19.5,1.0,4.0,22.6,1.0,4.0,56.6,1.0,3.0,155.8,1.0,3.0,141.9,1.0,3.0,570.3
2.0,5.0,24.5,1.0,5.0,25.3,1.0,5.0,51.5,1.0,5.0,194.0,1.0,4.0,197.4,1.0,4.0,689.8
2.0,6.0,29.4,1.0,6.0,34.6,1.0,6.0,81.2,1.0,6.0,190.1,1.0,6.0,172.1,1.0,5.0,1086.0
3.0,2.0,12.6,3.0,1.0,29.2,2.0,1.0,56.8,2.0,1.0,152.8,2.0,1.0,145.4,2.0,1.0,338.0
3.0,4.0,25.2,3.0,4.0,62.2,2.0,4.0,83.2,2.0,3.0,197.0,2.0,3.0,165.4,2.0,3.0,332.5
3.0,5.0,26.6,3.0,5.0,66.0,2.0,5.0,93.5,2.0,5.0,228.3,2.0,4.0,261.1,2.0,4.0,488.4
3.0,6.0,43.2,3.0,6.0,60.0,2.0,6.0,95.7,2.0,6.0,157.7,2.0,6.0,181.0,2.0,5.0,564.0
4.0,2.0,44.6,4.0,1.0,73.2,4.0,1.0,126.9,3.0,1.0,230.4,3.0,1.0,254.5,3.0,1.0,756.2
4.0,3.0,48.3,4.0,3.0,114.0,4.0,2.0,111.4,3.0,2.0,232.5,3.0,2.0,232.0,3.0,2.0,397.2
4.0,5.0,76.8,4.0,5.0,141.3,4.0,5.0,139.4,3.0,5.0,233.0,3.0,4.0,338.0,3.0,4.0,1134.0
4.0,6.0,96.3,4.0,6.0,105.0,4.0,6.0,170.1,3.0,6.0,240.2,3.0,6.0,332.5,3.0,5.0,1000.0
5.0,2.0,53.9,5.0,1.0,86.0,5.0,1.0,152.3,5.0,1.0,223.3,4.0,1.0,335.8,4.0,1.0,734.4
5.0,3.0,63.6,5.0,3.0,112.4,5.0,2.0,142.1,5.0,2.0,223.3,4.0,2.0,307.5,4.0,2.0,470.4
5.0,4.0,110.9,5.0,4.0,184.9,5.0,4.0,185.9,5.0,3.0,310.3,4.0,3.0,479.2,4.0,3.0,1187.0
5.0,6.0,113.9,5.0,6.0,129.7,5.0,6.0,200.5,5.0,6.0,246.0,4.0,6.0,388.1,4.0,5.0,1325.0
6.0,2.0,85.9,6.0,1.0,96.7,6.0,1.0,234.6,6.0,1.0,281.2,6.0,1.0,301.1,5.0,1.0,954.1
6.0,3.0,123.8,6.0,3.0,115.2,6.0,2.0,199.3,6.0,2.0,215.8,6.0,2.0,247.7,5.0,2.0,502.9
6.0,4.0,175.7,6.0,4.0,194.8,6.0,4.0,392.6,6.0,3.0,455.7,6.0,3.0,372.5,5.0,3.0,785.3
6.0,5.0,179.1,6.0,5.0,199.3,6.0,5.0,346.0,6.0,5.0,356.9,6.0,4.0,472.6,5.0,4.0,887.7
