1,山谷 央,山谷 央.1,2,小林 孝弘,小林 孝弘.1,3,吉田 彩乃,吉田 彩乃.1,4,町田 洸希,町田 洸希.1,5,尾嶋 一広,尾嶋 一広.1,6,嶋 義信,嶋 義信.1
2.0,3.0,36.7,1.0,3.0,194.9,1.0,2.0,232.9,1.0,2.0,76.5,1.0,2.0,80.5,1.0,2.0,621.0
2.0,4.0,20.8,1.0,4.0,119.2,1.0,4.0,124.4,1.0,3.0,103.2,1.0,3.0,122.9,1.0,3.0,612.0
2.0,5.0,25.6,1.0,5.0,109.8,1.0,5.0,116.4,1.0,5.0,26.9,1.0,4.0,38.2,1.0,4.0,293.1
2.0,6.0,42.7,1.0,6.0,167.3,1.0,6.0,176.5,1.0,6.0,49.0,1.0,6.0,42.9,1.0,5.0,246.6
3.0,2.0,63.5,3.0,1.0,436.7,2.0,1.0,386.3,2.0,1.0,167.0,2.0,1.0,183.8,2.0,1.0,998.1
3.0,4.0,34.4,3.0,4.0,578.2,2.0,4.0,616.5,2.0,3.0,419.2,2.0,3.0,574.2,2.0,3.0,2045.0
3.0,5.0,34.6,3.0,5.0,530.6,2.0,5.0,520.7,2.0,5.0,143.0,2.0,4.0,236.1,2.0,4.0,1010.0
3.0,6.0,72.9,3.0,6.0,822.0,2.0,6.0,681.6,2.0,6.0,197.7,2.0,6.0,209.0,2.0,5.0,806.2
4.0,2.0,20.8,4.0,1.0,239.5,4.0,1.0,192.3,3.0,1.0,201.5,3.0,1.0,263.6,3.0,1.0,1746.0
4.0,3.0,26.1,4.0,3.0,566.5,4.0,2.0,524.0,3.0,2.0,511.2,3.0,2.0,676.1,3.0,2.0,2994.0
4.0,5.0,15.0,4.0,5.0,236.8,4.0,5.0,180.3,3.0,5.0,192.3,3.0,4.0,332.7,3.0,4.0,1471.0
4.0,6.0,24.4,4.0,6.0,267.8,4.0,6.0,330.1,3.0,6.0,314.0,3.0,6.0,397.3,3.0,5.0,1330.0
5.0,2.0,22.2,5.0,1.0,187.5,5.0,1.0,179.9,5.0,1.0,21.6,4.0,1.0,36.5,4.0,1.0,517.5
5.0,3.0,35.0,5.0,3.0,590.4,5.0,2.0,436.7,5.0,2.0,61.6,4.0,2.0,114.5,4.0,2.0,931.6
5.0,4.0,16.2,5.0,4.0,283.2,5.0,4.0,226.0,5.0,3.0,80.8,4.0,3.0,153.0,4.0,3.0,1133.0
5.0,6.0,21.9,5.0,6.0,356.7,5.0,6.0,288.1,5.0,6.0,20.3,4.0,6.0,33.2,4.0,5.0,220.0
6.0,2.0,69.3,6.0,1.0,544.4,6.0,1.0,530.6,6.0,1.0,81.2,6.0,1.0,77.4,5.0,1.0,287.1
6.0,3.0,100.4,6.0,3.0,1164.0,6.0,2.0,891.9,6.0,2.0,152.1,6.0,2.0,168.3,5.0,2.0,586.3
6.0,4.0,47.1,6.0,4.0,372.6,6.0,4.0,582.2,6.0,3.0,262.0,6.0,3.0,273.1,5.0,3.0,776.3
6.0,5.0,48.4,6.0,5.0,598.9,6.0,5.0,527.3,6.0,5.0,53.9,6.0,4.0,65.6,5.0,4.0,164.4
