1,村松 修二,村松 修二.1,2,向後 龍一,向後 龍一.1,3,切田 潤二,切田 潤二.1,4,三川 昂暁,三川 昂暁.1,5,大原 祥昌,大原 祥昌.1,6,大賀　龍之介,大賀　龍之介.1
2.0,3.0,16.2,1.0,3.0,45.0,1.0,2.0,558.6,1.0,2.0,35.1,1.0,2.0,117.5,1.0,2.0,977.1
2.0,4.0,4.2,1.0,4.0,11.5,1.0,4.0,618.0,1.0,3.0,181.0,1.0,3.0,431.8,1.0,3.0,2439.0
2.0,5.0,8.2,1.0,5.0,19.5,1.0,5.0,912.9,1.0,5.0,49.8,1.0,4.0,125.6,1.0,4.0,1536.0
2.0,6.0,39.2,1.0,6.0,76.1,1.0,6.0,1083.0,1.0,6.0,120.3,1.0,6.0,304.6,1.0,5.0,2282.0
3.0,2.0,51.7,3.0,1.0,222.9,2.0,1.0,622.8,2.0,1.0,51.6,2.0,1.0,163.1,2.0,1.0,1605.0
3.0,4.0,60.4,3.0,4.0,226.6,2.0,4.0,719.6,2.0,3.0,219.9,2.0,3.0,729.5,2.0,3.0,2250.0
3.0,5.0,96.6,3.0,5.0,359.0,2.0,5.0,1196.0,2.0,5.0,74.0,2.0,4.0,172.5,2.0,4.0,1507.0
3.0,6.0,174.1,3.0,6.0,566.5,2.0,6.0,1331.0,2.0,6.0,162.7,2.0,6.0,428.3,2.0,5.0,2173.0
4.0,2.0,9.0,4.0,1.0,30.1,4.0,1.0,915.5,3.0,1.0,614.4,3.0,1.0,1514.0,3.0,1.0,2904.0
4.0,3.0,34.1,4.0,3.0,133.9,4.0,2.0,939.8,3.0,2.0,681.3,3.0,2.0,1815.0,3.0,2.0,4377.0
4.0,5.0,18.2,4.0,5.0,59.3,4.0,5.0,1621.0,3.0,5.0,771.8,3.0,4.0,1708.0,3.0,4.0,2904.0
4.0,6.0,57.4,4.0,6.0,136.2,4.0,6.0,1613.0,3.0,6.0,1027.0,3.0,6.0,2685.0,3.0,5.0,4377.0
5.0,2.0,25.6,5.0,1.0,92.7,5.0,1.0,1459.0,5.0,1.0,70.5,4.0,1.0,158.5,4.0,1.0,1795.0
5.0,3.0,100.4,5.0,3.0,364.3,5.0,2.0,1638.0,5.0,2.0,80.4,4.0,2.0,160.1,4.0,2.0,1432.0
5.0,4.0,37.7,5.0,4.0,142.9,5.0,4.0,1960.0,5.0,3.0,394.4,4.0,3.0,737.9,4.0,3.0,2904.0
5.0,6.0,118.1,5.0,6.0,355.0,5.0,6.0,1948.0,5.0,6.0,148.8,4.0,6.0,312.0,4.0,5.0,2496.0
6.0,2.0,171.4,6.0,1.0,410.7,6.0,1.0,1984.0,6.0,1.0,285.5,6.0,1.0,1011.0,5.0,1.0,2778.0
6.0,3.0,438.9,6.0,3.0,1129.0,6.0,2.0,2731.0,6.0,2.0,291.8,6.0,2.0,1037.0,5.0,2.0,2516.0
6.0,4.0,225.1,6.0,4.0,382.6,6.0,4.0,2496.0,6.0,3.0,676.9,6.0,3.0,2597.0,5.0,3.0,4318.0
6.0,5.0,288.6,6.0,5.0,815.1,6.0,5.0,3759.0,6.0,5.0,303.1,6.0,4.0,1129.0,5.0,4.0,3043.0
