1,石川 吉鎬,石川 吉鎬.1,2,山田 和佐,山田 和佐.1,3,松尾 宣邦,松尾 宣邦.1,4,横田 茂,横田 茂.1,5,福島 勇樹,福島 勇樹.1,6,中岡 正彦,中岡 正彦.1
2.0,3.0,48.3,1.0,3.0,193.8,1.0,2.0,278.0,1.0,2.0,594.7,1.0,2.0,317.9,1.0,2.0,21.1
2.0,4.0,98.7,1.0,4.0,308.3,1.0,4.0,285.8,1.0,3.0,597.6,1.0,3.0,277.7,1.0,3.0,15.4
2.0,5.0,73.6,1.0,5.0,266.6,1.0,5.0,203.1,1.0,5.0,441.6,1.0,4.0,261.6,1.0,4.0,18.4
2.0,6.0,23.5,1.0,6.0,105.6,1.0,6.0,78.5,1.0,6.0,229.1,1.0,6.0,103.4,1.0,5.0,12.8
3.0,2.0,54.9,3.0,1.0,335.7,2.0,1.0,441.6,2.0,1.0,803.3,2.0,1.0,541.1,2.0,1.0,51.5
3.0,4.0,81.3,3.0,4.0,963.7,2.0,4.0,901.9,2.0,3.0,1641.0,2.0,3.0,1142.0,2.0,3.0,105.5
3.0,5.0,60.9,3.0,5.0,844.7,2.0,5.0,873.1,2.0,5.0,1077.0,2.0,4.0,859.4,2.0,4.0,96.6
3.0,6.0,23.4,3.0,6.0,358.6,2.0,6.0,415.5,2.0,6.0,860.9,2.0,6.0,502.0,2.0,5.0,76.9
4.0,2.0,188.9,4.0,1.0,705.5,4.0,1.0,546.5,3.0,1.0,873.1,3.0,1.0,512.4,3.0,1.0,28.4
4.0,3.0,183.1,4.0,3.0,1379.0,4.0,2.0,1124.0,3.0,2.0,1784.0,3.0,2.0,986.9,3.0,2.0,101.7
4.0,5.0,173.9,4.0,5.0,1407.0,4.0,5.0,860.9,3.0,5.0,1334.0,3.0,4.0,936.2,3.0,4.0,57.5
4.0,6.0,64.5,4.0,6.0,713.7,4.0,6.0,404.3,3.0,6.0,669.1,3.0,6.0,425.6,3.0,5.0,46.1
5.0,2.0,111.2,5.0,1.0,545.3,5.0,1.0,335.4,5.0,1.0,584.1,4.0,1.0,354.5,4.0,1.0,33.6
5.0,3.0,102.7,5.0,3.0,1189.0,5.0,2.0,780.4,5.0,2.0,1079.0,4.0,2.0,603.5,4.0,2.0,87.6
5.0,4.0,143.9,5.0,4.0,1299.0,5.0,4.0,688.7,5.0,3.0,1183.0,4.0,3.0,693.6,4.0,3.0,71.6
5.0,6.0,39.0,5.0,6.0,531.8,5.0,6.0,253.9,5.0,6.0,376.5,4.0,6.0,250.1,4.0,5.0,39.7
6.0,2.0,17.7,6.0,1.0,127.7,6.0,1.0,68.7,6.0,1.0,214.1,6.0,1.0,92.1,5.0,1.0,19.0
6.0,3.0,15.3,6.0,3.0,258.1,6.0,2.0,226.5,6.0,2.0,570.6,6.0,2.0,233.0,5.0,2.0,47.5
6.0,4.0,20.6,6.0,4.0,360.2,6.0,4.0,146.9,6.0,3.0,436.5,6.0,3.0,233.5,5.0,3.0,42.6
6.0,5.0,15.0,6.0,5.0,269.5,6.0,5.0,113.3,6.0,5.0,288.3,6.0,4.0,157.9,5.0,4.0,27.9
