1,坂口 周,坂口 周.1,2,野相 弘司,野相 弘司.1,3,佐藤 旭,佐藤 旭.1,4,山田 佑樹,山田 佑樹.1,5,伊藤 誠二,伊藤 誠二.1,6,田川 大貴,田川 大貴.1
2.0,3.0,14.3,1.0,3.0,211.1,1.0,2.0,143.9,1.0,2.0,226.0,1.0,2.0,301.7,1.0,2.0,572.7
2.0,4.0,22.5,1.0,4.0,273.5,1.0,4.0,66.3,1.0,3.0,121.6,1.0,3.0,136.4,1.0,3.0,305.4
2.0,5.0,26.7,1.0,5.0,320.9,1.0,5.0,51.4,1.0,5.0,79.1,1.0,4.0,180.6,1.0,4.0,374.8
2.0,6.0,36.8,1.0,6.0,357.5,1.0,6.0,74.4,1.0,6.0,98.6,1.0,6.0,132.9,1.0,5.0,288.0
3.0,2.0,16.4,3.0,1.0,485.0,2.0,1.0,401.5,2.0,1.0,707.3,2.0,1.0,732.6,2.0,1.0,1321.0
3.0,4.0,7.4,3.0,4.0,982.1,2.0,4.0,653.6,2.0,3.0,1067.0,2.0,3.0,1195.0,2.0,3.0,2018.0
3.0,5.0,6.6,3.0,5.0,938.6,2.0,5.0,608.1,2.0,5.0,847.6,2.0,4.0,1343.0,2.0,4.0,2152.0
3.0,6.0,12.8,3.0,6.0,1122.0,2.0,6.0,656.7,2.0,6.0,932.2,2.0,6.0,1101.0,2.0,5.0,1996.0
4.0,2.0,28.6,4.0,1.0,756.8,4.0,1.0,191.7,3.0,1.0,323.7,3.0,1.0,285.9,3.0,1.0,593.7
4.0,3.0,12.9,4.0,3.0,1246.0,4.0,2.0,623.9,3.0,2.0,880.1,3.0,2.0,1150.0,3.0,2.0,1913.0
4.0,5.0,17.6,4.0,5.0,1534.0,4.0,5.0,247.8,3.0,5.0,440.4,3.0,4.0,687.8,3.0,4.0,1420.0
4.0,6.0,25.2,4.0,6.0,1543.0,4.0,6.0,317.0,3.0,6.0,535.4,3.0,6.0,440.7,3.0,5.0,880.1
5.0,2.0,39.6,5.0,1.0,834.8,5.0,1.0,153.4,5.0,1.0,123.7,4.0,1.0,273.0,4.0,1.0,692.1
5.0,3.0,17.6,5.0,3.0,1284.0,5.0,2.0,639.9,5.0,2.0,373.0,4.0,2.0,734.6,4.0,2.0,1842.0
5.0,4.0,31.6,5.0,4.0,1946.0,5.0,4.0,333.1,5.0,3.0,289.9,4.0,3.0,611.5,4.0,3.0,1597.0
5.0,6.0,23.6,5.0,6.0,1539.0,5.0,6.0,227.8,5.0,6.0,143.4,4.0,6.0,284.7,4.0,5.0,819.9
6.0,2.0,77.7,6.0,1.0,1224.0,6.0,1.0,254.3,6.0,1.0,271.8,6.0,1.0,247.8,5.0,1.0,439.7
6.0,3.0,41.2,6.0,3.0,1848.0,6.0,2.0,918.3,6.0,2.0,762.0,6.0,2.0,754.7,5.0,2.0,1363.0
6.0,4.0,61.0,6.0,4.0,2295.0,6.0,4.0,628.2,6.0,3.0,636.9,6.0,3.0,348.2,5.0,3.0,729.7
6.0,5.0,45.8,6.0,5.0,2143.0,6.0,5.0,294.3,6.0,5.0,282.7,6.0,4.0,410.5,5.0,4.0,754.7
