1,白石 有美,白石 有美.1,2,鈴木　祐美子,鈴木　祐美子.1,3,喜井　つかさ,喜井　つかさ.1,4,赤澤 文香,赤澤 文香.1,5,真子　奈津実,真子　奈津実.1,6,川野 芽唯,川野 芽唯.1
2.0,3.0,89.3,1.0,3.0,128.9,1.0,2.0,121.0,1.0,2.0,571.9,1.0,2.0,575.9,1.0,2.0,350.0
2.0,4.0,187.9,1.0,4.0,230.1,1.0,4.0,104.9,1.0,3.0,362.2,1.0,3.0,357.8,1.0,3.0,200.5
2.0,5.0,220.2,1.0,5.0,241.1,1.0,5.0,106.0,1.0,5.0,506.4,1.0,4.0,613.1,1.0,4.0,426.8
2.0,6.0,127.6,1.0,6.0,140.0,1.0,6.0,53.5,1.0,6.0,296.4,1.0,6.0,300.8,1.0,5.0,380.6
3.0,2.0,77.5,3.0,1.0,108.7,2.0,1.0,121.1,2.0,1.0,595.0,2.0,1.0,596.1,2.0,1.0,427.9
3.0,4.0,85.1,3.0,4.0,43.1,2.0,4.0,45.3,2.0,3.0,202.5,2.0,3.0,197.7,2.0,3.0,87.7
3.0,5.0,88.4,3.0,5.0,46.1,2.0,5.0,51.8,2.0,5.0,306.5,2.0,4.0,323.1,2.0,4.0,184.4
3.0,6.0,48.3,3.0,6.0,23.4,2.0,6.0,24.6,2.0,6.0,151.7,2.0,6.0,148.2,2.0,5.0,209.2
4.0,2.0,295.3,4.0,1.0,301.9,4.0,1.0,120.7,3.0,1.0,330.7,3.0,1.0,309.2,3.0,1.0,128.9
4.0,3.0,177.6,4.0,3.0,80.8,4.0,2.0,60.0,3.0,2.0,186.8,3.0,2.0,189.1,3.0,2.0,64.1
4.0,5.0,269.5,4.0,5.0,141.6,4.0,5.0,37.0,3.0,5.0,122.4,3.0,4.0,150.9,3.0,4.0,37.7
4.0,6.0,151.2,4.0,6.0,64.4,4.0,6.0,15.6,3.0,6.0,56.0,3.0,6.0,60.7,3.0,5.0,38.9
5.0,2.0,335.1,5.0,1.0,309.2,5.0,1.0,145.7,5.0,1.0,497.8,4.0,1.0,652.7,4.0,1.0,419.1
5.0,3.0,210.9,5.0,3.0,104.3,5.0,2.0,74.1,5.0,2.0,301.9,4.0,2.0,348.5,4.0,2.0,209.5
5.0,4.0,343.7,5.0,4.0,189.5,5.0,4.0,53.2,5.0,3.0,169.8,4.0,3.0,207.1,4.0,3.0,73.4
5.0,6.0,172.0,5.0,6.0,86.6,5.0,6.0,22.0,5.0,6.0,89.5,4.0,6.0,103.9,4.0,5.0,110.0
6.0,2.0,179.9,6.0,1.0,172.8,6.0,1.0,53.8,6.0,1.0,253.8,6.0,1.0,218.0,5.0,1.0,358.2
6.0,3.0,91.9,6.0,3.0,38.7,6.0,2.0,25.3,6.0,2.0,136.2,6.0,2.0,124.9,5.0,2.0,203.7
6.0,4.0,164.8,6.0,4.0,65.1,6.0,4.0,14.2,6.0,3.0,62.6,6.0,3.0,56.4,5.0,3.0,69.3
6.0,5.0,180.4,6.0,5.0,83.2,6.0,5.0,17.2,6.0,5.0,82.4,6.0,4.0,86.2,5.0,4.0,109.2
