1,永田 秀二,永田 秀二.1,2,林 恵祐,林 恵祐.1,3,坂元 浩仁,坂元 浩仁.1,4,梶原 正,梶原 正.1,5,畔柳 俊吾,畔柳 俊吾.1,6,松田 隆司,松田 隆司.1
2.0,3.0,21.4,1.0,3.0,132.7,1.0,2.0,37.2,1.0,2.0,360.9,1.0,2.0,566.8,1.0,2.0,913.3
2.0,4.0,65.5,1.0,4.0,247.8,1.0,4.0,18.0,1.0,3.0,208.1,1.0,3.0,230.0,1.0,3.0,306.1
2.0,5.0,74.5,1.0,5.0,317.1,1.0,5.0,15.8,1.0,5.0,264.9,1.0,4.0,515.9,1.0,4.0,1015.0
2.0,6.0,81.0,1.0,6.0,354.4,1.0,6.0,15.8,1.0,6.0,316.3,1.0,6.0,373.1,1.0,5.0,733.9
3.0,2.0,12.5,3.0,1.0,255.6,2.0,1.0,116.4,2.0,1.0,870.7,2.0,1.0,1108.0,2.0,1.0,1987.0
3.0,4.0,6.0,3.0,4.0,812.0,2.0,4.0,239.1,2.0,3.0,1453.0,2.0,3.0,1667.0,2.0,3.0,2873.0
3.0,5.0,6.4,3.0,5.0,679.1,2.0,5.0,208.8,2.0,5.0,1378.0,2.0,4.0,2425.0,2.0,4.0,2808.0
3.0,6.0,6.2,3.0,6.0,856.7,2.0,6.0,240.5,2.0,6.0,1319.0,2.0,6.0,2277.0,2.0,5.0,4244.0
4.0,2.0,63.6,4.0,1.0,1052.0,4.0,1.0,53.4,3.0,1.0,233.1,3.0,1.0,290.7,3.0,1.0,380.4
4.0,3.0,24.6,4.0,3.0,1787.0,4.0,2.0,161.2,3.0,2.0,1017.0,3.0,2.0,980.4,3.0,2.0,2146.0
4.0,5.0,55.4,4.0,5.0,2197.0,4.0,5.0,80.9,3.0,5.0,309.4,3.0,4.0,868.7,3.0,4.0,1297.0
4.0,6.0,65.1,4.0,6.0,1813.0,4.0,6.0,83.3,3.0,6.0,338.3,3.0,6.0,608.3,3.0,5.0,1070.0
5.0,2.0,93.2,5.0,1.0,1292.0,5.0,1.0,49.2,5.0,1.0,458.9,4.0,1.0,887.3,4.0,1.0,1813.0
5.0,3.0,28.9,5.0,3.0,1660.0,5.0,2.0,165.0,5.0,2.0,1067.0,4.0,2.0,1945.0,4.0,2.0,2726.0
5.0,4.0,81.1,5.0,4.0,2210.0,5.0,4.0,95.7,5.0,3.0,702.1,4.0,3.0,1262.0,4.0,3.0,2210.0
5.0,6.0,65.9,5.0,6.0,2473.0,5.0,6.0,75.5,5.0,6.0,703.4,4.0,6.0,1464.0,4.0,5.0,3192.0
6.0,2.0,132.7,6.0,1.0,1915.0,6.0,1.0,74.6,6.0,1.0,915.5,6.0,1.0,817.4,5.0,1.0,1348.0
6.0,3.0,38.5,6.0,3.0,2159.0,6.0,2.0,311.0,6.0,2.0,1589.0,6.0,2.0,2594.0,5.0,2.0,4244.0
6.0,4.0,126.6,6.0,4.0,2767.0,6.0,4.0,189.4,6.0,3.0,1076.0,6.0,3.0,983.0,5.0,3.0,1476.0
6.0,5.0,102.5,6.0,5.0,3220.0,6.0,5.0,162.0,6.0,5.0,1228.0,6.0,4.0,1770.0,5.0,4.0,2305.0
