1,佐々木　裕美,佐々木　裕美.1,2,中北 涼,中北 涼.1,3,出口　舞有子,出口　舞有子.1,4,藤原 菜希,藤原 菜希.1,5,小池 礼乃,小池 礼乃.1,6,金田 幸子,金田 幸子.1
2.0,3.0,34.5,1.0,3.0,201.1,1.0,2.0,164.0,1.0,2.0,53.5,1.0,2.0,386.7,1.0,2.0,130.7
2.0,4.0,24.6,1.0,4.0,141.3,1.0,4.0,61.1,1.0,3.0,53.7,1.0,3.0,348.5,1.0,3.0,115.5
2.0,5.0,57.3,1.0,5.0,278.3,1.0,5.0,128.2,1.0,5.0,38.3,1.0,4.0,191.9,1.0,4.0,63.5
2.0,6.0,35.5,1.0,6.0,190.4,1.0,6.0,64.8,1.0,6.0,21.9,1.0,6.0,217.3,1.0,5.0,168.8
3.0,2.0,29.4,3.0,1.0,374.5,2.0,1.0,402.6,2.0,1.0,144.4,2.0,1.0,598.7,2.0,1.0,274.9
3.0,4.0,12.7,3.0,4.0,745.3,2.0,4.0,556.7,2.0,3.0,318.3,2.0,3.0,1088.0,2.0,3.0,592.1
3.0,5.0,33.6,3.0,5.0,1029.0,2.0,5.0,808.0,2.0,5.0,286.5,2.0,4.0,794.0,2.0,4.0,356.4
3.0,6.0,16.1,3.0,6.0,817.9,2.0,6.0,516.2,2.0,6.0,156.4,2.0,6.0,698.2,2.0,5.0,735.2
4.0,2.0,21.3,4.0,1.0,229.5,4.0,1.0,99.6,3.0,1.0,106.1,3.0,1.0,582.9,3.0,1.0,204.7
4.0,3.0,14.8,4.0,3.0,643.2,4.0,2.0,315.3,3.0,2.0,318.2,3.0,2.0,1290.0,3.0,2.0,580.6
4.0,5.0,24.0,4.0,5.0,664.0,4.0,5.0,186.9,3.0,5.0,200.4,3.0,4.0,811.3,3.0,4.0,223.5
4.0,6.0,10.7,4.0,6.0,315.6,4.0,6.0,89.9,3.0,6.0,91.4,3.0,6.0,783.5,3.0,5.0,496.9
5.0,2.0,100.3,5.0,1.0,494.4,5.0,1.0,360.7,5.0,1.0,59.5,4.0,1.0,205.5,4.0,1.0,76.2
5.0,3.0,71.0,5.0,3.0,1142.0,5.0,2.0,844.6,5.0,2.0,149.9,4.0,2.0,569.0,4.0,2.0,237.4
5.0,4.0,58.5,5.0,4.0,998.8,5.0,4.0,380.0,5.0,3.0,190.5,4.0,3.0,549.0,4.0,3.0,186.9
5.0,6.0,60.4,5.0,6.0,896.7,5.0,6.0,316.3,5.0,6.0,50.0,4.0,6.0,182.5,4.0,5.0,173.8
6.0,2.0,46.5,6.0,1.0,359.6,6.0,1.0,153.7,6.0,1.0,32.7,6.0,1.0,284.0,5.0,1.0,340.3
6.0,3.0,29.6,6.0,3.0,766.4,6.0,2.0,413.8,6.0,2.0,90.4,6.0,2.0,663.3,5.0,2.0,796.1
6.0,4.0,21.5,6.0,4.0,501.5,6.0,4.0,145.3,6.0,3.0,82.1,6.0,3.0,653.1,5.0,3.0,643.9
6.0,5.0,60.0,6.0,5.0,969.6,6.0,5.0,282.4,6.0,5.0,51.8,6.0,4.0,233.2,5.0,4.0,251.7
