1,松崎　祐太郎,松崎　祐太郎.1,2,伊藤 誠二,伊藤 誠二.1,3,胡本 悟志,胡本 悟志.1,4,平野 和明,平野 和明.1,5,西丸　侑太朗,西丸　侑太朗.1,6,峰重 力也,峰重 力也.1
2.0,3.0,10.3,1.0,3.0,74.4,1.0,2.0,318.9,1.0,2.0,42.0,1.0,2.0,615.0,1.0,2.0,272.0
2.0,4.0,3.8,1.0,4.0,31.3,1.0,4.0,360.6,1.0,3.0,132.4,1.0,3.0,1271.0,1.0,3.0,881.2
2.0,5.0,29.9,1.0,5.0,145.1,1.0,5.0,779.6,1.0,5.0,91.6,1.0,4.0,535.0,1.0,4.0,288.6
2.0,6.0,15.3,1.0,6.0,73.8,1.0,6.0,713.3,1.0,6.0,57.5,1.0,6.0,531.6,1.0,5.0,817.6
3.0,2.0,23.2,3.0,1.0,254.3,2.0,1.0,450.0,2.0,1.0,76.4,2.0,1.0,1092.0,2.0,1.0,370.5
3.0,4.0,21.8,3.0,4.0,322.4,2.0,4.0,800.4,2.0,3.0,350.1,2.0,3.0,2424.0,2.0,3.0,1461.0
3.0,5.0,85.3,3.0,5.0,811.3,2.0,5.0,1310.0,2.0,5.0,267.3,2.0,4.0,1327.0,2.0,4.0,460.4
3.0,6.0,64.7,3.0,6.0,663.6,2.0,6.0,1398.0,2.0,6.0,152.9,2.0,6.0,1233.0,2.0,5.0,1565.0
4.0,2.0,5.7,4.0,1.0,65.9,4.0,1.0,655.3,3.0,1.0,509.0,3.0,1.0,2231.0,3.0,1.0,1855.0
4.0,3.0,14.8,4.0,3.0,249.2,4.0,2.0,984.6,3.0,2.0,701.4,3.0,2.0,3130.0,3.0,2.0,2892.0
4.0,5.0,22.4,4.0,5.0,327.1,4.0,5.0,1570.0,3.0,5.0,1086.0,3.0,4.0,2481.0,3.0,4.0,2589.0
4.0,6.0,13.5,4.0,6.0,141.7,4.0,6.0,1451.0,3.0,6.0,840.5,3.0,6.0,3276.0,3.0,5.0,4369.0
5.0,2.0,96.0,5.0,1.0,593.2,5.0,1.0,1632.0,5.0,1.0,176.7,4.0,1.0,677.6,4.0,1.0,348.0
5.0,3.0,182.1,5.0,3.0,1370.0,5.0,2.0,2511.0,5.0,2.0,305.5,4.0,2.0,1098.0,4.0,2.0,455.9
5.0,4.0,76.1,5.0,4.0,840.5,5.0,4.0,2671.0,5.0,3.0,732.0,4.0,3.0,2481.0,4.0,3.0,1740.0
5.0,6.0,122.7,5.0,6.0,802.0,5.0,6.0,2424.0,5.0,6.0,210.5,4.0,6.0,710.9,4.0,5.0,1020.0
6.0,2.0,48.1,6.0,1.0,257.6,6.0,1.0,1471.0,6.0,1.0,117.4,6.0,1.0,1059.0,5.0,1.0,1456.0
6.0,3.0,137.7,6.0,3.0,902.0,6.0,2.0,2231.0,6.0,2.0,175.8,6.0,2.0,1519.0,5.0,2.0,2046.0
6.0,4.0,45.2,6.0,4.0,311.8,6.0,4.0,1897.0,6.0,3.0,507.8,6.0,3.0,2654.0,5.0,3.0,3410.0
6.0,5.0,128.4,6.0,5.0,822.4,6.0,5.0,2654.0,6.0,5.0,273.9,6.0,4.0,1233.0,5.0,4.0,1402.0
