1,下田 哲也,下田 哲也.1,2,森 晋太郎,森 晋太郎.1,3,中渡 修作,中渡 修作.1,4,井川 大作,井川 大作.1,5,大野 芳顕,大野 芳顕.1,6,溝口　海義也,溝口　海義也.1
2.0,3.0,29.7,1.0,3.0,63.1,1.0,2.0,193.4,1.0,2.0,113.4,1.0,2.0,53.8,1.0,2.0,168.1
2.0,4.0,25.5,1.0,4.0,43.3,1.0,4.0,223.3,1.0,3.0,211.8,1.0,3.0,119.6,1.0,3.0,425.0
2.0,5.0,15.3,1.0,5.0,28.2,1.0,5.0,140.6,1.0,5.0,66.2,1.0,4.0,76.1,1.0,4.0,269.2
2.0,6.0,21.2,1.0,6.0,41.0,1.0,6.0,203.5,1.0,6.0,76.8,1.0,6.0,39.6,1.0,5.0,99.8
3.0,2.0,40.9,3.0,1.0,156.3,2.0,1.0,244.7,2.0,1.0,154.2,2.0,1.0,92.2,2.0,1.0,216.7
3.0,4.0,55.4,3.0,4.0,282.7,2.0,4.0,371.0,2.0,3.0,506.3,2.0,3.0,172.7,2.0,3.0,680.8
3.0,5.0,35.1,3.0,5.0,157.9,2.0,5.0,233.7,2.0,5.0,145.0,2.0,4.0,156.3,2.0,4.0,459.8
3.0,6.0,60.4,3.0,6.0,225.1,2.0,6.0,313.0,2.0,6.0,153.1,2.0,6.0,71.8,2.0,5.0,143.1
4.0,2.0,45.2,4.0,1.0,110.4,4.0,1.0,341.2,3.0,1.0,325.4,3.0,1.0,233.7,3.0,1.0,738.1
4.0,3.0,67.5,4.0,3.0,314.4,4.0,2.0,508.1,3.0,2.0,465.9,3.0,2.0,277.7,3.0,2.0,980.8
4.0,5.0,30.0,4.0,5.0,103.3,4.0,5.0,241.4,3.0,5.0,290.9,3.0,4.0,376.0,3.0,4.0,916.7
4.0,6.0,42.7,4.0,6.0,137.3,4.0,6.0,283.9,3.0,6.0,294.6,3.0,6.0,194.2,3.0,5.0,495.6
5.0,2.0,21.1,5.0,1.0,59.7,5.0,1.0,190.8,5.0,1.0,83.6,4.0,1.0,118.6,4.0,1.0,343.7
5.0,3.0,43.0,5.0,3.0,120.5,5.0,2.0,257.3,5.0,2.0,142.3,4.0,2.0,184.3,4.0,2.0,508.1
5.0,4.0,33.3,5.0,4.0,103.5,5.0,4.0,263.6,5.0,3.0,277.1,4.0,3.0,313.7,4.0,3.0,758.1
5.0,6.0,19.5,5.0,6.0,42.5,5.0,6.0,177.7,5.0,6.0,55.8,4.0,6.0,73.0,4.0,5.0,203.8
6.0,2.0,59.6,6.0,1.0,114.3,6.0,1.0,330.0,6.0,1.0,124.5,6.0,1.0,51.4,5.0,1.0,92.0
6.0,3.0,93.0,6.0,3.0,228.4,6.0,2.0,406.5,6.0,2.0,210.5,6.0,2.0,54.4,5.0,2.0,101.4
6.0,4.0,76.9,6.0,4.0,211.2,6.0,4.0,355.0,6.0,3.0,362.4,6.0,3.0,127.2,5.0,3.0,266.6
6.0,5.0,39.8,6.0,5.0,82.7,6.0,5.0,240.1,6.0,5.0,81.6,6.0,4.0,91.1,5.0,4.0,155.8
