1,池田 雄一,池田 雄一.1,2,奥田 誠,奥田 誠.1,3,山田 竜一,山田 竜一.1,4,杢野 誓良,杢野 誓良.1,5,山本 修一,山本 修一.1,6,佐藤　隆太郎,佐藤　隆太郎.1
2.0,3.0,21.7,1.0,3.0,145.2,1.0,2.0,136.0,1.0,2.0,315.0,1.0,2.0,226.8,1.0,2.0,157.7
2.0,4.0,39.7,1.0,4.0,225.0,1.0,4.0,108.6,1.0,3.0,283.2,1.0,3.0,111.3,1.0,3.0,70.4
2.0,5.0,25.3,1.0,5.0,150.7,1.0,5.0,57.0,1.0,5.0,190.6,1.0,4.0,223.2,1.0,4.0,149.9
2.0,6.0,21.2,1.0,6.0,130.3,1.0,6.0,53.5,1.0,6.0,146.2,1.0,6.0,69.9,1.0,5.0,58.8
3.0,2.0,24.4,3.0,1.0,297.4,2.0,1.0,263.0,2.0,1.0,538.9,2.0,1.0,551.3,2.0,1.0,325.7
3.0,4.0,18.8,3.0,4.0,720.3,2.0,4.0,528.9,2.0,3.0,685.8,2.0,3.0,713.1,2.0,3.0,431.7
3.0,5.0,11.2,3.0,5.0,511.9,2.0,5.0,366.6,2.0,5.0,587.4,2.0,4.0,890.3,2.0,4.0,609.9
3.0,6.0,11.0,3.0,6.0,474.6,2.0,6.0,314.3,2.0,6.0,407.2,2.0,6.0,547.1,2.0,5.0,433.0
4.0,2.0,46.0,4.0,1.0,587.4,4.0,1.0,240.1,3.0,1.0,376.2,3.0,1.0,187.8,3.0,1.0,104.3
4.0,3.0,40.2,4.0,3.0,754.4,4.0,2.0,566.5,3.0,2.0,713.1,3.0,2.0,517.5,3.0,2.0,414.3
4.0,5.0,38.7,4.0,5.0,791.9,4.0,5.0,241.3,3.0,5.0,391.6,3.0,4.0,404.9,3.0,4.0,352.2
4.0,6.0,26.3,4.0,6.0,463.9,4.0,6.0,197.4,3.0,6.0,322.8,3.0,6.0,199.0,3.0,5.0,141.6
5.0,2.0,33.7,5.0,1.0,510.1,5.0,1.0,104.4,5.0,1.0,240.9,4.0,1.0,361.0,4.0,1.0,281.6
5.0,3.0,18.1,5.0,3.0,592.3,5.0,2.0,274.0,5.0,2.0,481.0,4.0,2.0,645.7,4.0,2.0,692.5
5.0,4.0,43.2,5.0,4.0,796.3,5.0,4.0,242.1,5.0,3.0,352.2,4.0,3.0,410.7,4.0,3.0,538.9
5.0,6.0,15.8,5.0,6.0,487.5,5.0,6.0,90.7,5.0,6.0,157.5,4.0,6.0,221.9,4.0,5.0,328.0
6.0,2.0,33.7,6.0,1.0,378.2,6.0,1.0,104.0,6.0,1.0,199.6,6.0,1.0,91.1,5.0,1.0,73.2
6.0,3.0,19.7,6.0,3.0,468.4,6.0,2.0,297.4,6.0,2.0,409.5,6.0,2.0,283.8,5.0,2.0,290.7
6.0,4.0,37.3,6.0,4.0,517.5,6.0,4.0,250.6,6.0,3.0,332.5,6.0,3.0,151.6,5.0,3.0,103.7
6.0,5.0,19.8,6.0,5.0,438.3,6.0,5.0,108.1,6.0,5.0,197.4,6.0,4.0,249.7,5.0,4.0,250.6
