1,荒牧 凪沙,荒牧 凪沙.1,2,青木　幸太郎,青木　幸太郎.1,3,関 裕也,関 裕也.1,4,小松 卓司,小松 卓司.1,5,田中 京介,田中 京介.1,6,楠原 翔太,楠原 翔太.1
2.0,3.0,11.3,1.0,3.0,26.7,1.0,2.0,60.3,1.0,2.0,225.9,1.0,2.0,104.9,1.0,2.0,286.3
2.0,4.0,13.4,1.0,4.0,36.5,1.0,4.0,108.1,1.0,3.0,317.0,1.0,3.0,138.2,1.0,3.0,474.6
2.0,5.0,12.2,1.0,5.0,24.1,1.0,5.0,58.3,1.0,5.0,222.9,1.0,4.0,200.6,1.0,4.0,687.2
2.0,6.0,20.8,1.0,6.0,38.6,1.0,6.0,95.6,1.0,6.0,280.2,1.0,6.0,113.5,1.0,5.0,289.2
3.0,2.0,17.3,3.0,1.0,56.1,2.0,1.0,74.3,2.0,1.0,279.6,2.0,1.0,128.7,2.0,1.0,338.2
3.0,4.0,32.7,3.0,4.0,105.3,2.0,4.0,128.1,2.0,3.0,424.2,2.0,3.0,154.1,2.0,3.0,500.1
3.0,5.0,21.2,3.0,5.0,57.2,2.0,5.0,81.3,2.0,5.0,292.7,2.0,4.0,245.4,2.0,4.0,650.8
3.0,6.0,37.9,3.0,6.0,88.8,2.0,6.0,115.0,2.0,6.0,335.9,2.0,6.0,134.2,2.0,5.0,331.0
4.0,2.0,35.5,4.0,1.0,106.3,4.0,1.0,206.6,3.0,1.0,425.8,3.0,1.0,187.4,3.0,1.0,621.3
4.0,3.0,68.9,4.0,3.0,185.3,4.0,2.0,218.7,3.0,2.0,518.2,3.0,2.0,209.7,3.0,2.0,625.9
4.0,5.0,61.9,4.0,5.0,134.5,4.0,5.0,198.8,3.0,5.0,485.3,3.0,4.0,376.3,3.0,4.0,685.8
4.0,6.0,76.7,4.0,6.0,162.7,4.0,6.0,249.0,3.0,6.0,631.6,3.0,6.0,232.9,3.0,5.0,475.2
5.0,2.0,27.9,5.0,1.0,61.3,5.0,1.0,88.0,5.0,1.0,263.5,4.0,1.0,327.5,4.0,1.0,916.3
5.0,3.0,42.6,5.0,3.0,83.1,5.0,2.0,100.5,5.0,2.0,289.7,4.0,2.0,294.7,4.0,2.0,856.9
5.0,4.0,54.0,5.0,4.0,132.9,5.0,4.0,170.0,5.0,3.0,488.1,4.0,3.0,566.1,4.0,3.0,916.3
5.0,6.0,51.6,5.0,6.0,73.8,5.0,6.0,99.0,5.0,6.0,278.2,4.0,6.0,289.7,4.0,5.0,802.8
6.0,2.0,61.1,6.0,1.0,139.5,6.0,1.0,246.3,6.0,1.0,480.6,6.0,1.0,136.3,5.0,1.0,286.1
6.0,3.0,96.0,6.0,3.0,174.5,6.0,2.0,237.4,6.0,2.0,479.9,6.0,2.0,150.5,5.0,2.0,315.5
6.0,4.0,119.7,6.0,4.0,236.9,6.0,4.0,395.8,6.0,3.0,814.2,6.0,3.0,233.6,5.0,3.0,460.6
6.0,5.0,82.0,6.0,5.0,131.3,6.0,5.0,201.5,6.0,5.0,412.0,6.0,4.0,278.9,5.0,4.0,619.1
