1,吉本 玲緒,吉本 玲緒.1,2,山田 哲也,山田 哲也.1,3,西川　新太郎,西川　新太郎.1,4,木山 誠一,木山 誠一.1,5,白井 友晴,白井 友晴.1,6,和合 俊介,和合 俊介.1
2.0,3.0,14.7,1.0,3.0,12.4,1.0,2.0,67.3,1.0,2.0,235.3,1.0,2.0,292.7,1.0,2.0,1015.0
2.0,4.0,37.6,1.0,4.0,36.0,1.0,4.0,193.9,1.0,3.0,372.9,1.0,3.0,422.9,1.0,3.0,1590.0
2.0,5.0,29.5,1.0,5.0,20.2,1.0,5.0,117.8,1.0,5.0,325.0,1.0,4.0,656.1,1.0,4.0,1382.0
2.0,6.0,96.5,1.0,6.0,62.5,1.0,6.0,287.1,1.0,6.0,457.4,1.0,6.0,670.7,1.0,5.0,1815.0
3.0,2.0,24.8,3.0,1.0,14.2,2.0,1.0,46.3,2.0,1.0,215.0,2.0,1.0,196.9,2.0,1.0,1015.0
3.0,4.0,75.2,3.0,4.0,14.8,2.0,4.0,45.7,2.0,3.0,186.6,2.0,3.0,120.8,2.0,3.0,512.1
3.0,5.0,47.9,3.0,5.0,6.6,2.0,5.0,24.7,2.0,5.0,146.5,2.0,4.0,341.1,2.0,4.0,781.6
3.0,6.0,173.6,3.0,6.0,21.1,2.0,6.0,56.2,2.0,6.0,214.5,2.0,6.0,252.8,2.0,5.0,649.0
4.0,2.0,119.9,4.0,1.0,79.6,4.0,1.0,337.9,3.0,1.0,587.4,3.0,1.0,444.9,3.0,1.0,1712.0
4.0,3.0,188.0,4.0,3.0,38.8,4.0,2.0,131.6,3.0,2.0,326.2,3.0,2.0,165.0,3.0,2.0,639.7
4.0,5.0,190.6,4.0,5.0,45.6,4.0,5.0,210.5,3.0,5.0,390.8,3.0,4.0,755.3,3.0,4.0,1779.0
4.0,6.0,290.8,4.0,6.0,82.5,4.0,6.0,372.2,3.0,6.0,630.7,3.0,6.0,558.3,3.0,5.0,1605.0
5.0,2.0,117.1,5.0,1.0,41.6,5.0,1.0,202.2,5.0,1.0,360.2,4.0,1.0,713.3,4.0,1.0,1536.0
5.0,3.0,148.3,5.0,3.0,15.9,5.0,2.0,71.4,5.0,2.0,214.7,4.0,2.0,422.0,4.0,2.0,844.0
5.0,4.0,256.0,5.0,4.0,46.8,5.0,4.0,200.8,5.0,3.0,364.6,4.0,3.0,755.3,4.0,3.0,1206.0
5.0,6.0,324.5,5.0,6.0,48.5,5.0,6.0,196.2,5.0,6.0,284.9,4.0,6.0,518.0,4.0,5.0,1473.0
6.0,2.0,369.9,6.0,1.0,185.9,6.0,1.0,568.9,6.0,1.0,544.7,6.0,1.0,921.9,5.0,1.0,1892.0
6.0,3.0,544.7,6.0,3.0,103.6,6.0,2.0,267.1,6.0,2.0,365.3,6.0,2.0,515.1,5.0,2.0,774.8
6.0,4.0,572.5,6.0,4.0,180.1,6.0,4.0,752.1,6.0,3.0,788.4,6.0,3.0,813.4,5.0,3.0,1563.0
6.0,5.0,572.5,6.0,5.0,147.9,6.0,5.0,488.5,6.0,5.0,415.1,6.0,4.0,921.9,5.0,4.0,1449.0
