1,萩原 秀人,萩原 秀人.1,2,渡邉 和将,渡邉 和将.1,3,平石 和男,平石 和男.1,4,岡部 浩,岡部 浩.1,5,志道 吉和,志道 吉和.1,6,小川 晃司,小川 晃司.1
2.0,3.0,3.1,1.0,3.0,11.1,1.0,2.0,72.8,1.0,2.0,308.9,1.0,2.0,375.7,1.0,2.0,598.1
2.0,4.0,7.4,1.0,4.0,19.9,1.0,4.0,217.8,1.0,3.0,604.7,1.0,3.0,598.1,1.0,3.0,1238.0
2.0,5.0,13.5,1.0,5.0,31.3,1.0,5.0,247.2,1.0,5.0,723.2,1.0,4.0,1146.0,1.0,4.0,1505.0
2.0,6.0,9.3,1.0,6.0,26.8,1.0,6.0,279.6,1.0,6.0,612.4,1.0,6.0,785.3,1.0,5.0,1969.0
3.0,2.0,10.1,3.0,1.0,42.2,2.0,1.0,95.8,2.0,1.0,402.1,2.0,1.0,516.1,2.0,1.0,901.4
3.0,4.0,31.5,3.0,4.0,137.8,2.0,4.0,305.2,2.0,3.0,888.9,2.0,3.0,1181.0,2.0,3.0,1949.0
3.0,5.0,43.7,3.0,5.0,163.1,2.0,5.0,407.6,2.0,5.0,1097.0,2.0,4.0,1714.0,2.0,4.0,3339.0
3.0,6.0,32.6,3.0,6.0,126.1,2.0,6.0,340.4,2.0,6.0,1075.0,2.0,6.0,1203.0,2.0,5.0,2157.0
4.0,2.0,38.8,4.0,1.0,135.7,4.0,1.0,509.9,3.0,1.0,1081.0,3.0,1.0,938.9,3.0,1.0,2121.0
4.0,3.0,65.4,4.0,3.0,265.2,4.0,2.0,587.1,3.0,2.0,1284.0,3.0,2.0,1648.0,3.0,2.0,2666.0
4.0,5.0,129.9,4.0,5.0,395.0,4.0,5.0,941.2,3.0,5.0,2087.0,3.0,4.0,2844.0,3.0,4.0,4000.0
4.0,6.0,100.5,4.0,6.0,333.9,4.0,6.0,899.3,3.0,6.0,1989.0,3.0,6.0,2355.0,3.0,5.0,4174.0
5.0,2.0,67.8,5.0,1.0,183.5,5.0,1.0,646.5,5.0,1.0,1156.0,4.0,1.0,1864.0,4.0,1.0,2630.0
5.0,3.0,121.2,5.0,3.0,380.2,5.0,2.0,967.3,5.0,2.0,1347.0,4.0,2.0,2133.0,4.0,2.0,3589.0
5.0,4.0,232.6,5.0,4.0,580.1,5.0,4.0,1411.0,5.0,3.0,2110.0,4.0,3.0,2743.0,4.0,3.0,4266.0
5.0,6.0,147.4,5.0,6.0,390.6,5.0,6.0,1246.0,5.0,6.0,1606.0,4.0,6.0,2577.0,4.0,5.0,4626.0
6.0,2.0,79.3,6.0,1.0,225.2,6.0,1.0,872.7,6.0,1.0,1371.0,6.0,1.0,1422.0,5.0,1.0,2560.0
6.0,3.0,127.9,6.0,3.0,425.2,6.0,2.0,1146.0,6.0,2.0,2133.0,6.0,2.0,1600.0,5.0,2.0,3310.0
6.0,4.0,258.6,6.0,4.0,818.8,6.0,4.0,1761.0,6.0,3.0,3096.0,6.0,3.0,2355.0,5.0,3.0,4220.0
6.0,5.0,269.6,6.0,5.0,670.2,6.0,5.0,1627.0,6.0,5.0,2526.0,6.0,4.0,3122.0,5.0,4.0,2782.0
