1,室田 泰史,室田 泰史.1,2,船越 健吾,船越 健吾.1,3,岡瀬 正人,岡瀬 正人.1,4,中岡 健人,中岡 健人.1,5,土井 歩夢,土井 歩夢.1,6,出畑 孝成,出畑 孝成.1
2.0,3.0,8.8,1.0,3.0,55.0,1.0,2.0,40.1,1.0,2.0,84.8,1.0,2.0,151.7,1.0,2.0,885.6
2.0,4.0,17.4,1.0,4.0,99.3,1.0,4.0,28.5,1.0,3.0,58.0,1.0,3.0,97.0,1.0,3.0,742.7
2.0,5.0,25.6,1.0,5.0,110.3,1.0,5.0,40.1,1.0,5.0,72.3,1.0,4.0,151.5,1.0,4.0,1055.0
2.0,6.0,135.9,1.0,6.0,310.5,1.0,6.0,184.5,1.0,6.0,167.1,1.0,6.0,358.4,1.0,5.0,1435.0
3.0,2.0,6.9,3.0,1.0,130.5,2.0,1.0,124.2,2.0,1.0,245.2,2.0,1.0,401.6,2.0,1.0,1444.0
3.0,4.0,5.5,3.0,4.0,321.1,2.0,4.0,255.0,2.0,3.0,391.6,2.0,3.0,572.0,2.0,3.0,2288.0
3.0,5.0,9.5,3.0,5.0,351.0,2.0,5.0,292.3,2.0,5.0,418.3,2.0,4.0,1040.0,2.0,4.0,2432.0
3.0,6.0,66.4,3.0,6.0,951.3,2.0,6.0,968.7,2.0,6.0,814.1,2.0,6.0,1634.0,2.0,5.0,3002.0
4.0,2.0,20.7,4.0,1.0,284.5,4.0,1.0,77.0,3.0,1.0,115.1,3.0,1.0,197.8,3.0,1.0,1069.0
4.0,3.0,12.3,4.0,3.0,431.5,4.0,2.0,238.3,3.0,2.0,313.1,3.0,2.0,523.9,3.0,2.0,2351.0
4.0,5.0,25.4,4.0,5.0,595.4,4.0,5.0,170.9,3.0,5.0,241.0,3.0,4.0,425.4,3.0,4.0,2065.0
4.0,6.0,94.4,4.0,6.0,1234.0,4.0,6.0,554.8,3.0,6.0,628.1,3.0,6.0,1302.0,3.0,5.0,2822.0
5.0,2.0,41.1,5.0,1.0,424.6,5.0,1.0,149.4,5.0,1.0,119.1,4.0,1.0,249.3,4.0,1.0,1343.0
5.0,3.0,24.1,5.0,3.0,691.7,5.0,2.0,362.4,5.0,2.0,245.2,4.0,2.0,564.4,4.0,2.0,2006.0
5.0,4.0,48.0,5.0,4.0,930.4,5.0,4.0,280.3,5.0,3.0,202.9,4.0,3.0,360.2,4.0,3.0,1978.0
5.0,6.0,191.2,5.0,6.0,1720.0,5.0,6.0,908.4,5.0,6.0,291.1,4.0,6.0,656.3,4.0,5.0,2095.0
6.0,2.0,411.8,6.0,1.0,1093.0,6.0,1.0,959.9,6.0,1.0,403.5,6.0,1.0,1147.0,5.0,1.0,1824.0
6.0,3.0,293.1,6.0,3.0,2251.0,6.0,2.0,1969.0,6.0,2.0,778.2,6.0,2.0,2055.0,5.0,2.0,3045.0
6.0,4.0,378.9,6.0,4.0,1996.0,6.0,4.0,1556.0,6.0,3.0,732.4,6.0,3.0,1522.0,5.0,3.0,2919.0
6.0,5.0,463.6,6.0,5.0,2748.0,6.0,5.0,1634.0,6.0,5.0,568.2,6.0,4.0,1501.0,5.0,4.0,2239.0
