1,籾山 佳岳,籾山 佳岳.1,2,村越 篤,村越 篤.1,3,新田 洋一,新田 洋一.1,4,冨田 秀幸,冨田 秀幸.1,5,岡本 慎治,岡本 慎治.1,6,井川 大作,井川 大作.1
2.0,3.0,10.0,1.0,3.0,8.7,1.0,2.0,36.2,1.0,2.0,186.1,1.0,2.0,264.7,1.0,2.0,702.6
2.0,4.0,17.7,1.0,4.0,14.4,1.0,4.0,52.5,1.0,3.0,237.1,1.0,3.0,389.3,1.0,3.0,1057.0
2.0,5.0,30.4,1.0,5.0,22.2,1.0,5.0,74.5,1.0,5.0,309.3,1.0,4.0,452.9,1.0,4.0,1283.0
2.0,6.0,49.6,1.0,6.0,39.4,1.0,6.0,113.7,1.0,6.0,524.5,1.0,6.0,507.4,1.0,5.0,1339.0
3.0,2.0,17.9,3.0,1.0,14.6,2.0,1.0,35.9,2.0,1.0,191.9,2.0,1.0,265.3,2.0,1.0,714.4
3.0,4.0,29.0,3.0,4.0,20.1,2.0,4.0,42.3,2.0,3.0,203.3,2.0,3.0,254.4,2.0,3.0,737.5
3.0,5.0,44.6,3.0,5.0,25.3,2.0,5.0,48.9,2.0,5.0,295.9,2.0,4.0,370.3,2.0,4.0,943.3
3.0,6.0,93.3,3.0,6.0,50.0,2.0,6.0,83.9,2.0,6.0,415.4,2.0,6.0,444.6,2.0,5.0,1087.0
4.0,2.0,46.8,4.0,1.0,46.2,4.0,1.0,98.0,3.0,1.0,310.1,3.0,1.0,506.6,3.0,1.0,1232.0
4.0,3.0,61.6,4.0,3.0,50.5,4.0,2.0,83.8,3.0,2.0,254.6,3.0,2.0,324.9,3.0,2.0,889.3
4.0,5.0,109.2,4.0,5.0,65.5,4.0,5.0,129.3,3.0,5.0,388.0,3.0,4.0,567.2,3.0,4.0,1531.0
4.0,6.0,201.9,4.0,6.0,102.3,4.0,6.0,193.2,3.0,6.0,717.4,3.0,6.0,797.8,3.0,5.0,1434.0
5.0,2.0,83.1,5.0,1.0,66.3,5.0,1.0,158.0,5.0,1.0,346.3,4.0,1.0,655.4,4.0,1.0,1985.0
5.0,3.0,100.9,5.0,3.0,71.6,5.0,2.0,120.5,5.0,2.0,328.3,4.0,2.0,498.5,4.0,2.0,1105.0
5.0,4.0,164.9,5.0,4.0,100.9,5.0,4.0,186.7,5.0,3.0,380.7,4.0,3.0,547.2,4.0,3.0,2057.0
5.0,6.0,222.6,5.0,6.0,120.1,5.0,6.0,223.9,5.0,6.0,479.6,4.0,6.0,959.2,4.0,5.0,2203.0
6.0,2.0,198.5,6.0,1.0,172.2,6.0,1.0,367.9,6.0,1.0,880.1,6.0,1.0,891.6,5.0,1.0,1657.0
6.0,3.0,277.4,6.0,3.0,181.8,6.0,2.0,296.9,6.0,2.0,708.4,6.0,2.0,649.2,5.0,2.0,1339.0
6.0,4.0,347.7,6.0,4.0,243.4,6.0,4.0,444.6,6.0,3.0,938.1,6.0,3.0,1022.0,5.0,3.0,1707.0
6.0,5.0,366.8,6.0,5.0,246.0,6.0,5.0,402.2,6.0,5.0,816.9,6.0,4.0,1123.0,5.0,4.0,1797.0
