1,牧原 崇,牧原 崇.1,2,渡邉　真奈美,渡邉　真奈美.1,3,大場 敏,大場 敏.1,4,高山 智至,高山 智至.1,5,佐々木　和伸,佐々木　和伸.1,6,今村 暢孝,今村 暢孝.1
2.0,3.0,79.4,1.0,3.0,149.8,1.0,2.0,80.7,1.0,2.0,650.1,1.0,2.0,519.7,1.0,2.0,30.1
2.0,4.0,258.4,1.0,4.0,375.7,1.0,4.0,78.7,1.0,3.0,354.3,1.0,3.0,282.6,1.0,3.0,13.5
2.0,5.0,198.2,1.0,5.0,269.6,1.0,5.0,49.8,1.0,5.0,489.0,1.0,4.0,726.8,1.0,4.0,61.5
2.0,6.0,118.3,1.0,6.0,168.6,1.0,6.0,31.1,1.0,6.0,423.3,1.0,6.0,300.2,1.0,5.0,34.8
3.0,2.0,78.5,3.0,1.0,128.6,2.0,1.0,105.3,2.0,1.0,773.4,2.0,1.0,706.4,2.0,1.0,49.9
3.0,4.0,102.7,3.0,4.0,127.5,2.0,4.0,118.6,2.0,3.0,451.6,2.0,3.0,426.2,2.0,3.0,32.0
3.0,5.0,56.7,3.0,5.0,95.8,2.0,5.0,82.7,2.0,5.0,478.9,2.0,4.0,828.9,2.0,4.0,97.7
3.0,6.0,31.1,3.0,6.0,72.2,2.0,6.0,59.9,2.0,6.0,554.5,2.0,6.0,481.4,2.0,5.0,63.6
4.0,2.0,362.7,4.0,1.0,521.7,4.0,1.0,72.0,3.0,1.0,216.3,3.0,1.0,249.3,3.0,1.0,14.0
4.0,3.0,250.2,4.0,3.0,277.7,4.0,2.0,118.5,3.0,2.0,305.2,3.0,2.0,331.4,3.0,2.0,23.2
4.0,5.0,352.7,4.0,5.0,381.1,4.0,5.0,43.2,3.0,5.0,139.1,3.0,4.0,281.5,3.0,4.0,35.0
4.0,6.0,256.6,4.0,6.0,353.2,4.0,6.0,45.4,3.0,6.0,148.2,3.0,6.0,174.8,3.0,5.0,21.6
5.0,2.0,170.2,5.0,1.0,390.0,5.0,1.0,55.9,5.0,1.0,415.1,4.0,1.0,654.7,4.0,1.0,151.9
5.0,3.0,128.8,5.0,3.0,221.8,5.0,2.0,69.0,5.0,2.0,258.1,4.0,2.0,683.0,4.0,2.0,176.1
5.0,4.0,368.9,5.0,4.0,412.0,5.0,4.0,53.2,5.0,3.0,210.7,4.0,3.0,334.7,4.0,3.0,90.2
5.0,6.0,142.6,5.0,6.0,234.5,5.0,6.0,35.5,5.0,6.0,267.9,4.0,6.0,482.2,4.0,5.0,142.2
6.0,2.0,71.0,6.0,1.0,140.2,6.0,1.0,25.8,6.0,1.0,369.9,6.0,1.0,289.1,5.0,1.0,89.1
6.0,3.0,29.6,6.0,3.0,76.1,6.0,2.0,40.6,6.0,2.0,453.8,6.0,2.0,392.2,5.0,2.0,97.6
6.0,4.0,133.0,6.0,4.0,192.0,6.0,4.0,39.2,6.0,3.0,212.8,6.0,3.0,194.5,5.0,3.0,62.6
6.0,5.0,72.8,6.0,5.0,146.1,6.0,5.0,26.9,6.0,5.0,288.8,6.0,4.0,493.4,5.0,4.0,152.4
