1,松田 祐季,松田 祐季.1,2,川上 剛,川上 剛.1,3,宮本 裕之,宮本 裕之.1,4,田路 朋史,田路 朋史.1,5,松本 庸平,松本 庸平.1,6,阿波 勝哉,阿波 勝哉.1
2.0,3.0,15.1,1.0,3.0,72.2,1.0,2.0,518.6,1.0,2.0,43.8,1.0,2.0,424.0,1.0,2.0,24.7
2.0,4.0,5.2,1.0,4.0,26.0,1.0,4.0,826.1,1.0,3.0,232.7,1.0,3.0,1022.0,1.0,3.0,88.4
2.0,5.0,22.7,1.0,5.0,74.4,1.0,5.0,1058.0,1.0,5.0,102.1,1.0,4.0,476.6,1.0,4.0,36.7
2.0,6.0,11.5,1.0,6.0,43.1,1.0,6.0,1014.0,1.0,6.0,55.2,1.0,6.0,574.1,1.0,5.0,96.6
3.0,2.0,47.0,3.0,1.0,331.3,2.0,1.0,752.8,2.0,1.0,61.5,2.0,1.0,663.8,2.0,1.0,34.3
3.0,4.0,78.6,3.0,4.0,440.9,2.0,4.0,1130.0,2.0,3.0,366.2,2.0,3.0,1573.0,2.0,3.0,114.7
3.0,5.0,149.4,3.0,5.0,717.3,2.0,5.0,1601.0,2.0,5.0,165.3,2.0,4.0,936.2,2.0,4.0,52.0
3.0,6.0,120.1,3.0,6.0,624.1,2.0,6.0,1443.0,2.0,6.0,86.0,2.0,6.0,936.2,2.0,5.0,129.9
4.0,2.0,9.0,4.0,1.0,64.6,4.0,1.0,1055.0,3.0,1.0,678.7,3.0,1.0,1372.0,3.0,1.0,228.0
4.0,3.0,46.3,4.0,3.0,277.0,4.0,2.0,1151.0,3.0,2.0,873.5,3.0,2.0,1844.0,3.0,2.0,258.9
4.0,5.0,36.5,4.0,5.0,223.7,4.0,5.0,1891.0,3.0,5.0,1221.0,3.0,4.0,2039.0,3.0,4.0,370.7
4.0,6.0,21.1,4.0,6.0,109.4,4.0,6.0,1921.0,3.0,6.0,910.5,3.0,6.0,1755.0,3.0,5.0,533.0
5.0,2.0,80.8,5.0,1.0,298.5,5.0,1.0,1502.0,5.0,1.0,145.6,4.0,1.0,572.3,4.0,1.0,72.4
5.0,3.0,223.8,5.0,3.0,903.8,5.0,2.0,1995.0,5.0,2.0,174.9,4.0,2.0,704.9,4.0,2.0,74.8
5.0,4.0,120.6,5.0,4.0,451.9,5.0,4.0,2371.0,5.0,3.0,652.0,4.0,3.0,1652.0,4.0,3.0,246.5
5.0,6.0,133.6,5.0,6.0,447.4,5.0,6.0,2402.0,5.0,6.0,150.6,4.0,6.0,740.6,4.0,5.0,192.2
6.0,2.0,25.0,6.0,1.0,100.5,6.0,1.0,1460.0,6.0,1.0,70.4,6.0,1.0,831.7,5.0,1.0,247.0
6.0,3.0,90.3,6.0,3.0,489.4,6.0,2.0,1973.0,6.0,2.0,83.1,6.0,2.0,906.0,5.0,2.0,270.0
6.0,4.0,35.4,6.0,4.0,153.9,6.0,4.0,2355.0,6.0,3.0,491.4,6.0,3.0,1652.0,5.0,3.0,523.1
6.0,5.0,89.2,6.0,5.0,378.3,6.0,5.0,2467.0,6.0,5.0,144.3,6.0,4.0,978.9,5.0,4.0,362.2
