1,吉田 俊彦,吉田 俊彦.1,2,樋口　由加里,樋口　由加里.1,3,宮本 裕之,宮本 裕之.1,4,古田 祐貴,古田 祐貴.1,5,豊田 泰洋,豊田 泰洋.1,6,峰重 力也,峰重 力也.1
2.0,3.0,11.7,1.0,3.0,56.6,1.0,2.0,209.4,1.0,2.0,57.9,1.0,2.0,513.9,1.0,2.0,253.3
2.0,4.0,5.1,1.0,4.0,25.3,1.0,4.0,127.4,1.0,3.0,140.2,1.0,3.0,975.8,1.0,3.0,617.1
2.0,5.0,24.7,1.0,5.0,83.6,1.0,5.0,580.0,1.0,5.0,125.3,1.0,4.0,479.0,1.0,4.0,306.3
2.0,6.0,14.3,1.0,6.0,58.2,1.0,6.0,440.3,1.0,6.0,77.6,1.0,6.0,600.5,1.0,5.0,750.2
3.0,2.0,21.3,3.0,1.0,248.5,2.0,1.0,397.3,2.0,1.0,100.6,2.0,1.0,919.8,2.0,1.0,363.7
3.0,4.0,15.3,3.0,4.0,333.1,2.0,4.0,499.7,2.0,3.0,368.8,2.0,3.0,1740.0,2.0,3.0,1073.0
3.0,5.0,59.4,3.0,5.0,611.9,2.0,5.0,1223.0,2.0,5.0,317.7,2.0,4.0,1193.0,2.0,4.0,575.3
3.0,6.0,47.9,3.0,6.0,455.5,2.0,6.0,789.1,2.0,6.0,204.8,2.0,6.0,1239.0,2.0,5.0,1349.0
4.0,2.0,6.6,4.0,1.0,65.4,4.0,1.0,346.7,3.0,1.0,402.8,3.0,1.0,1504.0,3.0,1.0,1198.0
4.0,3.0,15.6,4.0,3.0,238.3,4.0,2.0,697.6,3.0,2.0,729.4,3.0,2.0,2602.0,3.0,2.0,1816.0
4.0,5.0,21.4,4.0,5.0,246.0,4.0,5.0,1356.0,3.0,5.0,985.8,3.0,4.0,2602.0,3.0,4.0,2048.0
4.0,6.0,12.1,4.0,6.0,147.5,4.0,6.0,911.1,3.0,6.0,842.1,3.0,6.0,2139.0,3.0,5.0,2556.0
5.0,2.0,58.3,5.0,1.0,436.9,5.0,1.0,1458.0,5.0,1.0,226.7,4.0,1.0,697.6,4.0,1.0,414.4
5.0,3.0,100.5,5.0,3.0,953.2,5.0,2.0,2048.0,5.0,2.0,386.6,4.0,2.0,1094.0,4.0,2.0,618.5
5.0,4.0,56.1,5.0,4.0,625.2,5.0,4.0,1978.0,5.0,3.0,842.1,4.0,3.0,2155.0,4.0,3.0,1429.0
5.0,6.0,77.3,5.0,6.0,646.1,5.0,6.0,1174.0,5.0,6.0,324.1,4.0,6.0,902.6,4.0,5.0,1250.0
6.0,2.0,43.0,6.0,1.0,217.6,6.0,1.0,1089.0,6.0,1.0,177.9,6.0,1.0,1278.0,5.0,1.0,1536.0
6.0,3.0,89.6,6.0,3.0,507.6,6.0,2.0,1283.0,6.0,2.0,271.2,6.0,2.0,1536.0,5.0,2.0,2093.0
6.0,4.0,41.5,6.0,4.0,268.4,6.0,4.0,1382.0,6.0,3.0,701.0,6.0,3.0,2005.0,5.0,3.0,2204.0
6.0,5.0,100.9,6.0,5.0,546.0,6.0,5.0,1839.0,6.0,5.0,388.2,6.0,4.0,1278.0,5.0,4.0,1805.0
