1,中辻 博訓,中辻 博訓.1,2,廣瀬 真也,廣瀬 真也.1,3,田中 宏樹,田中 宏樹.1,4,酒見 峻介,酒見 峻介.1,5,奥田 誠,奥田 誠.1,6,澤崎 雄哉,澤崎 雄哉.1
2.0,3.0,24.3,1.0,3.0,229.9,1.0,2.0,34.1,1.0,2.0,58.1,1.0,2.0,637.2,1.0,2.0,484.1
2.0,4.0,13.5,1.0,4.0,146.1,1.0,4.0,22.0,1.0,3.0,37.5,1.0,3.0,472.0,1.0,3.0,354.5
2.0,5.0,45.7,1.0,5.0,349.8,1.0,5.0,56.3,1.0,5.0,69.8,1.0,4.0,377.2,1.0,4.0,277.7
2.0,6.0,41.1,1.0,6.0,291.8,1.0,6.0,40.8,1.0,6.0,41.5,1.0,6.0,463.7,1.0,5.0,593.9
3.0,2.0,20.7,3.0,1.0,352.7,2.0,1.0,68.3,2.0,1.0,142.6,2.0,1.0,1117.0,2.0,1.0,994.9
3.0,4.0,11.1,3.0,4.0,542.6,2.0,4.0,110.0,2.0,3.0,349.8,2.0,3.0,1733.0,2.0,3.0,1842.0
3.0,5.0,40.5,3.0,5.0,780.7,2.0,5.0,186.3,2.0,5.0,483.6,2.0,4.0,1615.0,2.0,4.0,1363.0
3.0,6.0,30.9,3.0,6.0,694.5,2.0,6.0,161.2,2.0,6.0,230.4,2.0,6.0,1660.0,2.0,5.0,2334.0
4.0,2.0,10.9,4.0,1.0,270.5,4.0,1.0,35.0,3.0,1.0,58.5,3.0,1.0,606.9,3.0,1.0,516.5
4.0,3.0,9.8,4.0,3.0,741.5,4.0,2.0,87.8,3.0,2.0,207.9,3.0,2.0,1167.0,3.0,2.0,1260.0
4.0,5.0,20.8,4.0,5.0,1059.0,4.0,5.0,111.4,3.0,5.0,144.1,3.0,4.0,634.7,3.0,4.0,671.7
4.0,6.0,12.5,4.0,6.0,727.7,4.0,6.0,78.1,3.0,6.0,109.6,3.0,6.0,725.5,3.0,5.0,933.8
5.0,2.0,91.4,5.0,1.0,1096.0,5.0,1.0,156.2,5.0,1.0,131.4,4.0,1.0,320.8,4.0,1.0,381.2
5.0,3.0,89.9,5.0,3.0,1856.0,5.0,2.0,262.1,5.0,2.0,247.9,4.0,2.0,901.7,4.0,2.0,1089.0
5.0,4.0,61.0,5.0,4.0,1721.0,5.0,4.0,218.9,5.0,3.0,187.3,4.0,3.0,400.0,4.0,3.0,663.2
5.0,6.0,87.8,5.0,6.0,1497.0,5.0,6.0,272.4,5.0,6.0,139.7,4.0,6.0,400.6,4.0,5.0,972.3
6.0,2.0,73.0,6.0,1.0,845.1,6.0,1.0,94.3,6.0,1.0,95.1,6.0,1.0,685.4,5.0,1.0,984.5
6.0,3.0,62.1,6.0,3.0,1531.0,6.0,2.0,200.8,6.0,2.0,224.7,6.0,2.0,1455.0,5.0,2.0,2006.0
6.0,4.0,41.0,6.0,4.0,1378.0,6.0,4.0,141.9,6.0,3.0,175.2,6.0,3.0,689.4,5.0,3.0,972.3
6.0,5.0,93.4,6.0,5.0,1940.0,6.0,5.0,228.4,6.0,5.0,211.2,6.0,4.0,779.5,5.0,4.0,1267.0
