1,宮迫 暢彦,宮迫 暢彦.1,2,武井　莉里佳,武井　莉里佳.1,3,江本 真治,江本 真治.1,4,立間 充宏,立間 充宏.1,5,横井 光弘,横井 光弘.1,6,南野 利騰,南野 利騰.1
2.0,3.0,24.5,1.0,3.0,48.3,1.0,2.0,98.0,1.0,2.0,46.8,1.0,2.0,1384.0,1.0,2.0,200.1
2.0,4.0,22.9,1.0,4.0,41.1,1.0,4.0,27.1,1.0,3.0,22.5,1.0,3.0,846.6,1.0,3.0,164.8
2.0,5.0,117.4,1.0,5.0,192.6,1.0,5.0,132.6,1.0,5.0,89.0,1.0,4.0,820.3,1.0,4.0,152.4
2.0,6.0,44.8,1.0,6.0,84.0,1.0,6.0,69.0,1.0,6.0,34.3,1.0,6.0,1175.0,1.0,5.0,342.3
3.0,2.0,26.2,3.0,1.0,94.2,2.0,1.0,186.8,2.0,1.0,78.1,2.0,1.0,1714.0,2.0,1.0,315.6
3.0,4.0,9.0,3.0,4.0,85.3,2.0,4.0,131.6,2.0,3.0,89.1,2.0,3.0,2468.0,2.0,3.0,498.1
3.0,5.0,63.6,3.0,5.0,357.8,2.0,5.0,494.2,2.0,5.0,269.6,2.0,4.0,2191.0,2.0,4.0,345.9
3.0,6.0,24.4,3.0,6.0,190.8,2.0,6.0,246.9,2.0,6.0,94.0,2.0,6.0,2227.0,2.0,5.0,795.6
4.0,2.0,17.7,4.0,1.0,56.6,4.0,1.0,34.3,3.0,1.0,35.2,3.0,1.0,1098.0,3.0,1.0,295.3
4.0,3.0,8.7,4.0,3.0,62.1,4.0,2.0,84.2,3.0,2.0,101.7,3.0,2.0,2585.0,3.0,2.0,510.6
4.0,5.0,59.5,4.0,5.0,286.4,4.0,5.0,155.8,3.0,5.0,161.9,3.0,4.0,1710.0,3.0,4.0,282.2
4.0,6.0,15.4,4.0,6.0,86.2,4.0,6.0,58.2,3.0,6.0,63.3,3.0,6.0,1854.0,3.0,5.0,692.7
5.0,2.0,306.3,5.0,1.0,843.1,5.0,1.0,422.6,5.0,1.0,202.5,4.0,1.0,843.1,4.0,1.0,179.0
5.0,3.0,222.4,5.0,3.0,950.7,5.0,2.0,811.4,5.0,2.0,391.9,4.0,2.0,2128.0,4.0,2.0,306.7
5.0,4.0,217.2,5.0,4.0,859.0,5.0,4.0,478.4,5.0,3.0,292.0,4.0,3.0,1555.0,4.0,3.0,218.9
5.0,6.0,297.3,5.0,6.0,980.3,5.0,6.0,522.6,5.0,6.0,207.7,4.0,6.0,1437.0,4.0,5.0,421.3
6.0,2.0,65.7,6.0,1.0,214.9,6.0,1.0,176.7,6.0,1.0,58.2,6.0,1.0,1777.0,5.0,1.0,801.1
6.0,3.0,47.3,6.0,3.0,294.7,6.0,2.0,336.8,6.0,2.0,99.9,6.0,2.0,2085.0,5.0,2.0,1060.0
6.0,4.0,42.0,6.0,4.0,213.8,6.0,4.0,145.3,6.0,3.0,77.5,6.0,3.0,1817.0,5.0,3.0,1009.0
6.0,5.0,159.2,6.0,5.0,651.4,6.0,5.0,459.8,6.0,5.0,149.0,6.0,4.0,1739.0,5.0,4.0,849.2
