1,乙津 康志,乙津 康志.1,2,常住 蓮,常住 蓮.1,3,草場 康幸,草場 康幸.1,4,向井田　直弥,向井田　直弥.1,5,三川 昂暁,三川 昂暁.1,6,嶋田 貴支,嶋田 貴支.1
2.0,3.0,12.2,1.0,3.0,12.0,1.0,2.0,103.3,1.0,2.0,82.7,1.0,2.0,111.4,1.0,2.0,1449.0
2.0,4.0,15.1,1.0,4.0,14.1,1.0,4.0,226.1,1.0,3.0,230.8,1.0,3.0,265.9,1.0,3.0,2619.0
2.0,5.0,11.9,1.0,5.0,10.2,1.0,5.0,167.4,1.0,5.0,108.6,1.0,4.0,228.4,1.0,4.0,2455.0
2.0,6.0,75.3,1.0,6.0,53.7,1.0,6.0,503.6,1.0,6.0,253.7,1.0,6.0,327.3,1.0,5.0,2425.0
3.0,2.0,25.2,3.0,1.0,31.0,2.0,1.0,88.2,2.0,1.0,74.7,2.0,1.0,110.0,2.0,1.0,1516.0
3.0,4.0,55.7,3.0,4.0,39.8,2.0,4.0,119.9,2.0,3.0,127.2,2.0,3.0,159.2,2.0,3.0,1944.0
3.0,5.0,45.8,3.0,5.0,25.3,2.0,5.0,76.2,2.0,5.0,56.5,2.0,4.0,153.6,2.0,4.0,1393.0
3.0,6.0,213.5,3.0,6.0,131.0,2.0,6.0,298.9,2.0,6.0,152.7,2.0,6.0,239.7,2.0,5.0,1499.0
4.0,2.0,36.0,4.0,1.0,33.2,4.0,1.0,282.6,3.0,1.0,346.1,3.0,1.0,364.7,3.0,1.0,3246.0
4.0,3.0,77.7,4.0,3.0,53.1,4.0,2.0,186.1,3.0,2.0,202.2,3.0,2.0,221.2,3.0,2.0,2747.0
4.0,5.0,70.3,4.0,5.0,33.5,4.0,5.0,225.7,3.0,5.0,249.2,3.0,4.0,473.9,3.0,4.0,2867.0
4.0,6.0,221.0,4.0,6.0,121.8,4.0,6.0,648.3,3.0,6.0,589.9,3.0,6.0,984.6,3.0,5.0,2728.0
5.0,2.0,40.4,5.0,1.0,26.7,5.0,1.0,234.9,5.0,1.0,111.3,4.0,1.0,217.3,4.0,1.0,2601.0
5.0,3.0,82.5,5.0,3.0,30.7,5.0,2.0,141.7,5.0,2.0,72.5,4.0,2.0,147.1,4.0,2.0,1158.0
5.0,4.0,111.3,5.0,4.0,50.2,5.0,4.0,287.4,5.0,3.0,198.2,4.0,3.0,374.1,4.0,3.0,3777.0
5.0,6.0,223.9,5.0,6.0,98.6,5.0,6.0,592.5,5.0,6.0,144.2,4.0,6.0,314.5,4.0,5.0,1888.0
6.0,2.0,328.7,6.0,1.0,265.9,6.0,1.0,1373.0,6.0,1.0,615.7,6.0,1.0,648.3,5.0,1.0,2067.0
6.0,3.0,700.3,6.0,3.0,425.6,6.0,2.0,977.3,6.0,2.0,402.9,6.0,2.0,566.9,5.0,2.0,1643.0
6.0,4.0,672.7,6.0,4.0,414.8,6.0,4.0,1552.0,6.0,3.0,944.4,6.0,3.0,1088.0,5.0,3.0,2672.0
6.0,5.0,562.8,6.0,5.0,230.0,6.0,5.0,997.1,6.0,5.0,365.1,6.0,4.0,679.7,5.0,4.0,1870.0
