1,芹澤 克彦,芹澤 克彦.1,2,安河内 将,安河内 将.1,3,越智 照浩,越智 照浩.1,4,石川 吉鎬,石川 吉鎬.1,5,坂東 満,坂東 満.1,6,横田 茂,横田 茂.1
2.0,3.0,11.4,1.0,3.0,22.0,1.0,2.0,299.8,1.0,2.0,58.7,1.0,2.0,86.4,1.0,2.0,1031.0
2.0,4.0,5.5,1.0,4.0,6.9,1.0,4.0,402.0,1.0,3.0,288.9,1.0,3.0,346.2,1.0,3.0,3146.0
2.0,5.0,10.9,1.0,5.0,13.9,1.0,5.0,529.8,1.0,5.0,112.8,1.0,4.0,148.3,1.0,4.0,1991.0
2.0,6.0,44.9,1.0,6.0,63.8,1.0,6.0,1249.0,1.0,6.0,291.6,1.0,6.0,236.2,1.0,5.0,1377.0
3.0,2.0,42.0,3.0,1.0,93.3,2.0,1.0,328.0,2.0,1.0,57.5,2.0,1.0,98.3,2.0,1.0,980.2
3.0,4.0,64.7,3.0,4.0,96.2,2.0,4.0,292.6,2.0,3.0,210.9,2.0,3.0,371.5,2.0,3.0,2359.0
3.0,5.0,107.2,3.0,5.0,153.8,2.0,5.0,533.1,2.0,5.0,96.2,2.0,4.0,137.1,2.0,4.0,1048.0
3.0,6.0,289.2,3.0,6.0,302.3,2.0,6.0,1132.0,2.0,6.0,204.5,2.0,6.0,261.6,2.0,5.0,1334.0
4.0,2.0,15.8,4.0,1.0,17.5,4.0,1.0,533.1,3.0,1.0,614.1,3.0,1.0,806.5,3.0,1.0,4394.0
4.0,3.0,62.1,4.0,3.0,57.4,4.0,2.0,407.1,3.0,2.0,445.5,3.0,2.0,930.1,3.0,2.0,3353.0
4.0,5.0,35.6,4.0,5.0,27.8,4.0,5.0,1142.0,3.0,5.0,1027.0,3.0,4.0,1499.0,3.0,4.0,3982.0
4.0,6.0,135.5,4.0,6.0,79.8,4.0,6.0,1573.0,3.0,6.0,1341.0,3.0,6.0,1431.0,3.0,5.0,4178.0
5.0,2.0,30.3,5.0,1.0,48.2,5.0,1.0,894.2,5.0,1.0,141.3,4.0,1.0,214.8,4.0,1.0,2474.0
5.0,3.0,103.3,5.0,3.0,172.2,5.0,2.0,861.0,5.0,2.0,119.4,4.0,2.0,176.6,4.0,2.0,1274.0
5.0,4.0,55.3,5.0,4.0,57.7,5.0,4.0,1327.0,5.0,3.0,536.5,4.0,3.0,835.6,4.0,3.0,3693.0
5.0,6.0,150.6,5.0,6.0,169.0,5.0,6.0,1833.0,5.0,6.0,278.5,4.0,6.0,451.0,4.0,5.0,2770.0
6.0,2.0,207.2,6.0,1.0,339.8,6.0,1.0,2740.0,6.0,1.0,722.0,6.0,1.0,446.3,5.0,1.0,1415.0
6.0,3.0,629.3,6.0,3.0,629.3,6.0,2.0,2523.0,6.0,2.0,478.1,6.0,2.0,391.5,5.0,2.0,1535.0
6.0,4.0,365.6,6.0,4.0,258.7,6.0,4.0,2863.0,6.0,3.0,1573.0,6.0,3.0,980.2,5.0,3.0,2896.0
6.0,5.0,422.6,6.0,5.0,340.7,6.0,5.0,2896.0,6.0,5.0,690.7,6.0,4.0,749.6,5.0,4.0,2159.0
