1,森野 正弘,森野 正弘.1,2,山本 浩輔,山本 浩輔.1,3,赤坂 俊輔,赤坂 俊輔.1,4,佐々木　完太,佐々木　完太.1,5,早川 尚人,早川 尚人.1,6,中野 希一,中野 希一.1
2.0,3.0,31.4,1.0,3.0,230.1,1.0,2.0,55.6,1.0,2.0,78.7,1.0,2.0,996.3,1.0,2.0,1163.0
2.0,4.0,37.3,1.0,4.0,349.4,1.0,4.0,13.7,1.0,3.0,25.6,1.0,3.0,380.0,1.0,3.0,1343.0
2.0,5.0,105.7,1.0,5.0,710.7,1.0,5.0,41.7,1.0,5.0,63.2,1.0,4.0,510.4,1.0,4.0,955.2
2.0,6.0,199.4,1.0,6.0,871.3,1.0,6.0,114.4,1.0,6.0,126.8,1.0,6.0,1144.0,1.0,5.0,2192.0
3.0,2.0,13.6,3.0,1.0,386.3,2.0,1.0,192.2,2.0,1.0,299.6,2.0,1.0,1456.0,2.0,1.0,1509.0
3.0,4.0,3.3,3.0,4.0,634.8,2.0,4.0,278.7,2.0,3.0,405.9,2.0,3.0,2313.0,2.0,3.0,2508.0
3.0,5.0,18.6,3.0,5.0,1096.0,2.0,5.0,594.9,2.0,5.0,617.9,2.0,4.0,1946.0,2.0,4.0,1639.0
3.0,6.0,50.0,3.0,6.0,1531.0,2.0,6.0,856.9,2.0,6.0,678.3,2.0,6.0,2704.0,2.0,5.0,2814.0
4.0,2.0,16.4,4.0,1.0,528.5,4.0,1.0,27.1,3.0,1.0,40.8,3.0,1.0,504.2,3.0,1.0,1293.0
4.0,3.0,4.8,4.0,3.0,749.0,4.0,2.0,140.5,3.0,2.0,202.3,3.0,2.0,1779.0,3.0,2.0,2933.0
4.0,5.0,17.7,4.0,5.0,1183.0,4.0,5.0,77.1,3.0,5.0,123.0,3.0,4.0,917.3,3.0,4.0,1520.0
4.0,6.0,48.3,4.0,6.0,1137.0,4.0,6.0,153.5,3.0,6.0,207.6,3.0,6.0,2479.0,3.0,5.0,2339.0
5.0,2.0,150.0,5.0,1.0,1946.0,5.0,1.0,200.6,5.0,1.0,160.0,4.0,1.0,607.1,4.0,1.0,1254.0
5.0,3.0,66.5,5.0,3.0,2002.0,5.0,2.0,603.6,5.0,2.0,389.9,4.0,2.0,1589.0,4.0,2.0,1983.0
5.0,4.0,81.9,5.0,4.0,2146.0,5.0,4.0,270.8,5.0,3.0,222.4,4.0,3.0,929.6,4.0,3.0,1614.0
5.0,6.0,256.7,5.0,6.0,2124.0,5.0,6.0,694.1,5.0,6.0,352.9,4.0,6.0,1859.0,4.0,5.0,2508.0
6.0,2.0,349.9,6.0,1.0,1779.0,6.0,1.0,405.1,6.0,1.0,400.4,6.0,1.0,2740.0,5.0,1.0,3413.0
6.0,3.0,243.2,6.0,3.0,2974.0,6.0,2.0,1057.0,6.0,2.0,843.1,6.0,2.0,3718.0,5.0,2.0,4338.0
6.0,4.0,236.6,6.0,4.0,1706.0,6.0,4.0,512.9,6.0,3.0,559.8,6.0,3.0,3529.0,5.0,3.0,4083.0
6.0,5.0,444.0,6.0,5.0,1946.0,6.0,5.0,1067.0,6.0,5.0,652.8,6.0,4.0,2740.0,5.0,4.0,4004.0
