1,溝口　海義也,溝口　海義也.1,2,北川 潤二,北川 潤二.1,3,山根 大樹,山根 大樹.1,4,郷原 章平,郷原 章平.1,5,岩永 節也,岩永 節也.1,6,高山 敬悟,高山 敬悟.1
2.0,3.0,11.0,1.0,3.0,73.5,1.0,2.0,294.5,1.0,2.0,36.7,1.0,2.0,367.3,1.0,2.0,196.3
2.0,4.0,3.1,1.0,4.0,23.8,1.0,4.0,325.1,1.0,3.0,173.2,1.0,3.0,762.1,1.0,3.0,641.8
2.0,5.0,18.8,1.0,5.0,97.9,1.0,5.0,458.4,1.0,5.0,99.0,1.0,4.0,491.7,1.0,4.0,239.1
2.0,6.0,13.0,1.0,6.0,72.8,1.0,6.0,556.8,1.0,6.0,89.5,1.0,6.0,739.0,1.0,5.0,717.3
3.0,2.0,30.2,3.0,1.0,382.2,2.0,1.0,437.0,2.0,1.0,65.4,2.0,1.0,495.7,2.0,1.0,314.3
3.0,4.0,31.9,3.0,4.0,402.4,2.0,4.0,446.6,2.0,3.0,340.6,2.0,3.0,1487.0,2.0,3.0,1033.0
3.0,5.0,72.6,3.0,5.0,890.1,2.0,5.0,818.4,2.0,5.0,229.6,2.0,4.0,734.6,2.0,4.0,401.1
3.0,6.0,67.8,3.0,6.0,717.3,2.0,6.0,1024.0,2.0,6.0,194.1,2.0,6.0,1207.0,2.0,5.0,890.1
4.0,2.0,6.4,4.0,1.0,62.9,4.0,1.0,530.2,3.0,1.0,435.5,3.0,1.0,1108.0,3.0,1.0,1098.0
4.0,3.0,20.5,4.0,3.0,311.8,4.0,2.0,530.2,3.0,2.0,546.8,3.0,2.0,2032.0,3.0,2.0,1505.0
4.0,5.0,27.3,4.0,5.0,277.7,4.0,5.0,975.5,3.0,5.0,858.7,3.0,4.0,1401.0,3.0,4.0,1625.0
4.0,6.0,21.1,4.0,6.0,215.4,4.0,6.0,835.2,3.0,6.0,762.1,3.0,6.0,1999.0,3.0,5.0,1693.0
5.0,2.0,73.2,5.0,1.0,374.0,5.0,1.0,846.8,5.0,1.0,172.0,4.0,1.0,559.3,4.0,1.0,381.0
5.0,3.0,137.3,5.0,3.0,938.0,5.0,2.0,771.8,5.0,2.0,200.5,4.0,2.0,681.2,4.0,2.0,474.5
5.0,4.0,98.1,5.0,4.0,421.9,5.0,4.0,903.3,5.0,3.0,591.9,4.0,3.0,1340.0,4.0,3.0,1583.0
5.0,6.0,156.9,5.0,6.0,871.0,5.0,6.0,1325.0,5.0,6.0,229.6,4.0,6.0,1033.0,4.0,5.0,1244.0
6.0,2.0,51.1,6.0,1.0,312.6,6.0,1.0,1150.0,6.0,1.0,184.4,6.0,1.0,1451.0,5.0,1.0,960.2
6.0,3.0,150.9,6.0,3.0,1007.0,6.0,2.0,1219.0,6.0,2.0,255.1,6.0,2.0,1401.0,5.0,2.0,1118.0
6.0,4.0,70.7,6.0,4.0,388.3,6.0,4.0,1469.0,6.0,3.0,807.6,6.0,3.0,1742.0,5.0,3.0,1999.0
6.0,5.0,209.5,6.0,5.0,802.2,6.0,5.0,1905.0,6.0,5.0,360.7,6.0,4.0,1469.0,5.0,4.0,1207.0
