1,大田 直弥,大田 直弥.1,2,後藤 陽介,後藤 陽介.1,3,梶山 涼斗,梶山 涼斗.1,4,高橋 勲,高橋 勲.1,5,中山 将,中山 将.1,6,青木　幸太郎,青木　幸太郎.1
2.0,3.0,15.8,1.0,3.0,27.0,1.0,2.0,106.0,1.0,2.0,165.8,1.0,2.0,85.9,1.0,2.0,137.6
2.0,4.0,18.9,1.0,4.0,36.4,1.0,4.0,113.7,1.0,3.0,290.1,1.0,3.0,139.1,1.0,3.0,221.5
2.0,5.0,13.9,1.0,5.0,24.5,1.0,5.0,84.8,1.0,5.0,145.3,1.0,4.0,137.6,1.0,4.0,236.0
2.0,6.0,28.0,1.0,6.0,36.7,1.0,6.0,109.2,1.0,6.0,170.2,1.0,6.0,88.7,1.0,5.0,161.8
3.0,2.0,27.5,3.0,1.0,58.4,2.0,1.0,119.0,2.0,1.0,231.0,2.0,1.0,107.9,2.0,1.0,148.7
3.0,4.0,31.5,3.0,4.0,82.4,2.0,4.0,184.8,2.0,3.0,420.5,2.0,3.0,206.8,2.0,3.0,171.0
3.0,5.0,24.9,3.0,5.0,49.7,2.0,5.0,102.8,2.0,5.0,147.3,2.0,4.0,189.7,2.0,4.0,274.3
3.0,6.0,45.8,3.0,6.0,66.5,2.0,6.0,119.4,2.0,6.0,220.8,2.0,6.0,124.8,2.0,5.0,167.6
4.0,2.0,43.9,4.0,1.0,104.4,4.0,1.0,220.8,3.0,1.0,433.4,3.0,1.0,213.1,3.0,1.0,293.8
4.0,3.0,60.4,4.0,3.0,112.6,4.0,2.0,297.5,3.0,2.0,592.6,3.0,2.0,282.0,3.0,2.0,250.3
4.0,5.0,45.2,4.0,5.0,88.9,4.0,5.0,213.7,3.0,5.0,454.5,3.0,4.0,434.8,3.0,4.0,472.9
4.0,6.0,62.1,4.0,6.0,116.0,4.0,6.0,247.7,3.0,6.0,434.8,3.0,6.0,243.4,3.0,5.0,312.1
5.0,2.0,32.0,5.0,1.0,62.1,5.0,1.0,139.0,5.0,1.0,162.3,4.0,1.0,229.8,4.0,1.0,391.2
5.0,3.0,42.4,5.0,3.0,66.3,5.0,2.0,166.8,5.0,2.0,150.3,4.0,2.0,300.7,4.0,2.0,424.3
5.0,4.0,37.3,5.0,4.0,88.7,5.0,4.0,244.2,5.0,3.0,372.5,4.0,3.0,471.3,4.0,3.0,632.6
5.0,6.0,33.3,5.0,6.0,62.4,5.0,6.0,162.1,5.0,6.0,113.6,4.0,6.0,155.0,4.0,5.0,248.5
6.0,2.0,74.7,6.0,1.0,100.8,6.0,1.0,223.2,6.0,1.0,300.1,6.0,1.0,133.1,5.0,1.0,206.5
6.0,3.0,91.1,6.0,3.0,116.2,6.0,2.0,203.8,6.0,2.0,346.7,6.0,2.0,152.8,5.0,2.0,209.9
6.0,4.0,104.5,6.0,4.0,181.4,6.0,4.0,377.5,6.0,3.0,536.0,6.0,3.0,251.2,5.0,3.0,315.6
6.0,5.0,78.0,6.0,5.0,106.1,6.0,5.0,229.1,6.0,5.0,191.0,6.0,4.0,178.0,5.0,4.0,235.6
