1,長岡 良也,長岡 良也.1,2,井川 大作,井川 大作.1,3,松山 裕基,松山 裕基.1,4,篠崎 仁志,篠崎 仁志.1,5,米田 隆弘,米田 隆弘.1,6,眞鳥 章太,眞鳥 章太.1
2.0,3.0,32.9,1.0,3.0,176.9,1.0,2.0,221.7,1.0,2.0,21.1,1.0,2.0,296.2,1.0,2.0,1893.0
2.0,4.0,9.1,1.0,4.0,48.3,1.0,4.0,104.6,1.0,3.0,49.9,1.0,3.0,533.3,1.0,3.0,2680.0
2.0,5.0,25.4,1.0,5.0,100.8,1.0,5.0,206.3,1.0,5.0,14.7,1.0,4.0,150.1,1.0,4.0,1051.0
2.0,6.0,71.1,1.0,6.0,277.1,1.0,6.0,365.9,1.0,6.0,39.3,1.0,6.0,440.3,1.0,5.0,1914.0
3.0,2.0,48.1,3.0,1.0,357.4,2.0,1.0,397.4,2.0,1.0,55.9,2.0,1.0,434.4,2.0,1.0,3186.0
3.0,4.0,21.6,3.0,4.0,275.5,2.0,4.0,335.0,2.0,3.0,206.3,2.0,3.0,1141.0,2.0,3.0,3733.0
3.0,5.0,59.7,3.0,5.0,518.4,2.0,5.0,563.7,2.0,5.0,64.9,2.0,4.0,361.6,2.0,4.0,2159.0
3.0,6.0,116.1,3.0,6.0,1057.0,2.0,6.0,951.9,2.0,6.0,162.7,2.0,6.0,862.4,2.0,5.0,3021.0
4.0,2.0,6.5,4.0,1.0,59.9,4.0,1.0,137.2,3.0,1.0,142.1,3.0,1.0,1093.0,3.0,1.0,3733.0
4.0,3.0,13.9,4.0,3.0,199.6,4.0,2.0,274.7,3.0,2.0,282.6,3.0,2.0,1669.0,3.0,2.0,4283.0
4.0,5.0,7.6,4.0,5.0,83.2,4.0,5.0,196.0,3.0,5.0,192.2,3.0,4.0,967.8,3.0,4.0,2512.0
4.0,6.0,24.5,4.0,6.0,251.3,4.0,6.0,355.7,3.0,6.0,302.8,3.0,6.0,1669.0,3.0,5.0,5074.0
5.0,2.0,46.3,5.0,1.0,260.9,5.0,1.0,529.5,5.0,1.0,24.5,4.0,1.0,129.4,4.0,1.0,926.6
5.0,3.0,94.6,5.0,3.0,655.7,5.0,2.0,898.0,5.0,2.0,48.0,4.0,2.0,233.4,4.0,2.0,1928.0
5.0,4.0,29.0,5.0,4.0,210.0,5.0,4.0,510.3,5.0,3.0,121.4,4.0,3.0,516.4,4.0,3.0,2549.0
5.0,6.0,110.6,5.0,6.0,612.7,5.0,6.0,973.2,5.0,6.0,42.3,4.0,6.0,270.0,4.0,5.0,1319.0
6.0,2.0,222.0,6.0,1.0,1179.0,6.0,1.0,1280.0,6.0,1.0,121.7,6.0,1.0,781.2,5.0,1.0,2343.0
6.0,3.0,320.8,6.0,3.0,1979.0,6.0,2.0,1771.0,6.0,2.0,221.5,6.0,2.0,1271.0,5.0,2.0,2969.0
6.0,4.0,121.9,6.0,4.0,881.3,6.0,4.0,1133.0,6.0,3.0,362.9,6.0,3.0,1488.0,5.0,3.0,3929.0
6.0,5.0,237.6,6.0,5.0,1039.0,6.0,5.0,1633.0,6.0,5.0,127.0,6.0,4.0,724.8,5.0,4.0,1343.0
