1,小池 礼乃,小池 礼乃.1,2,大澤 真菜,大澤 真菜.1,3,藤原 菜希,藤原 菜希.1,4,真子　奈津実,真子　奈津実.1,5,石井 裕美,石井 裕美.1,6,片岡 恵里,片岡 恵里.1
2.0,3.0,24.6,1.0,3.0,127.1,1.0,2.0,47.2,1.0,2.0,178.8,1.0,2.0,768.7,1.0,2.0,1126.0
2.0,4.0,41.5,1.0,4.0,183.2,1.0,4.0,14.7,1.0,3.0,57.7,1.0,3.0,244.9,1.0,3.0,310.1
2.0,5.0,77.4,1.0,5.0,336.0,1.0,5.0,23.7,1.0,5.0,82.9,1.0,4.0,370.5,1.0,4.0,591.2
2.0,6.0,86.9,1.0,6.0,299.0,1.0,6.0,22.7,1.0,6.0,72.5,1.0,6.0,476.6,1.0,5.0,1106.0
3.0,2.0,18.0,3.0,1.0,168.2,2.0,1.0,118.4,2.0,1.0,336.0,2.0,1.0,986.6,2.0,1.0,1740.0
3.0,4.0,6.4,3.0,4.0,233.1,2.0,4.0,147.7,2.0,3.0,413.6,2.0,3.0,1147.0,2.0,3.0,1588.0
3.0,5.0,11.6,3.0,5.0,396.6,2.0,5.0,230.0,2.0,5.0,555.2,2.0,4.0,1169.0,2.0,4.0,1613.0
3.0,6.0,13.1,3.0,6.0,335.2,2.0,6.0,187.0,2.0,6.0,466.5,2.0,6.0,1639.0,2.0,5.0,2539.0
4.0,2.0,45.2,4.0,1.0,393.6,4.0,1.0,28.3,3.0,1.0,64.2,3.0,1.0,266.6,3.0,1.0,292.8
4.0,3.0,16.2,4.0,3.0,398.7,4.0,2.0,113.6,3.0,2.0,269.1,3.0,2.0,935.9,3.0,2.0,1173.0
4.0,5.0,32.3,4.0,5.0,751.9,4.0,5.0,41.0,3.0,5.0,94.7,3.0,4.0,443.8,3.0,4.0,440.7
4.0,6.0,30.0,4.0,6.0,606.2,4.0,6.0,36.4,3.0,6.0,77.7,3.0,6.0,514.6,3.0,5.0,851.1
5.0,2.0,153.2,5.0,1.0,782.3,5.0,1.0,77.4,5.0,1.0,114.4,4.0,1.0,358.1,4.0,1.0,723.8
5.0,3.0,53.3,5.0,3.0,848.8,5.0,2.0,257.5,5.0,2.0,319.7,4.0,2.0,956.2,4.0,2.0,1622.0
5.0,4.0,86.2,5.0,4.0,1173.0,5.0,4.0,88.7,5.0,3.0,133.0,4.0,3.0,411.4,4.0,3.0,515.4
5.0,6.0,114.2,5.0,6.0,1130.0,5.0,6.0,92.9,5.0,6.0,118.1,4.0,6.0,400.2,4.0,5.0,877.6
6.0,2.0,178.3,6.0,1.0,744.7,6.0,1.0,66.2,6.0,1.0,125.8,6.0,1.0,697.7,5.0,1.0,1503.0
6.0,3.0,57.1,6.0,3.0,828.3,6.0,2.0,239.9,6.0,2.0,432.7,6.0,2.0,1770.0,5.0,2.0,2647.0
6.0,4.0,88.3,6.0,4.0,1053.0,6.0,4.0,78.2,6.0,3.0,142.3,6.0,3.0,757.4,5.0,3.0,1134.0
6.0,5.0,154.7,6.0,5.0,1647.0,6.0,5.0,129.0,6.0,5.0,162.8,6.0,4.0,674.9,5.0,4.0,1053.0
